Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,36.5,38.65,35.9,37.05,36.8399898986,51478.0,296.0,1896449.0,39853.0,77.42,2.75,0.55
2015-04-06,37.95,39.0,37.2,37.9,37.719535464,54506.0,161.0,2055941.0,44601.0,81.83,1.8,-0.05
2015-04-07,38.5,39.7,35.55,36.6,37.1598211248,20573.0,176.0,764489.0,9563.0,46.48,4.15,-1.9
2015-04-08,36.7,38.5,36.65,37.15,36.8725112396,12456.0,161.0,459284.0,1541.0,12.37,1.85,0.45
2015-04-09,35.6,42.6,35.5,40.6,36.9894267539,162391.0,1068.0,6006750.0,99494.0,61.27,7.1,5.0
2015-04-10,42.45,42.45,39.1,40.6,40.7485905256,73609.0,671.0,2999463.0,53466.0,72.64,3.35,-1.85
2015-04-13,40.1,40.8,36.95,37.65,39.2373515721,52635.0,477.0,2065258.0,36964.0,70.23,3.85,-2.45
2015-04-15,38.0,38.7,36.1,36.75,37.6726228462,15670.0,194.0,590330.0,3884.0,24.79,2.6,-1.25
2015-04-16,37.1,37.5,35.5,36.15,36.4793595679,46656.0,527.0,1701981.0,22495.0,48.21,2.0,-0.95
2015-04-17,35.3,37.75,35.05,36.1,35.9745376876,106746.0,313.0,3840138.0,79309.0,74.3,2.7,0.8
2015-04-20,35.55,35.95,34.0,35.05,35.5806434054,36742.0,198.0,1307304.0,25303.0,68.87,1.95,-0.5
2015-04-21,35.0,35.1,34.4,34.85,34.7854707037,29031.0,102.0,1009857.0,19649.0,67.68,0.7,-0.15
2015-04-22,35.0,35.25,34.2,34.9,34.707864265,12436.0,137.0,431627.0,1676.0,13.48,1.05,-0.1
2015-04-23,35.0,35.7,34.6,35.1,35.0278722522,12055.0,128.0,422261.0,2015.0,16.72,1.1,0.1
2015-04-24,35.2,35.3,34.5,34.7,34.8953674121,22536.0,145.0,786402.0,12444.0,55.22,0.8,-0.5
2015-04-27,35.4,35.55,34.25,34.45,35.1341777053,36161.0,197.0,1270487.0,25455.0,70.39,1.3,-0.95
2015-04-28,35.0,35.5,34.0,34.55,34.610561639,39634.0,247.0,1371755.0,26022.0,65.66,1.5,-0.45
2015-04-29,34.8,35.0,33.85,34.0,34.6068270481,15380.0,181.0,532253.0,3537.0,23.0,1.15,-0.8
2015-04-30,35.0,35.0,33.8,33.85,34.1323448988,16457.0,179.0,561716.0,5219.0,31.71,1.2,-1.15
2015-05-04,34.9,34.9,33.75,34.5,34.4151431807,24724.0,189.0,850880.0,14875.0,60.16,1.15,-0.4
2015-05-05,34.7,40.9,33.75,38.15,37.0863414926,100172.0,1222.0,3715013.0,49461.0,49.38,7.15,3.45
2015-05-06,38.5,38.5,33.35,35.2,35.0047612407,50197.0,991.0,1757134.0,29050.0,57.87,5.15,-3.3
2015-05-07,34.0,35.4,33.7,34.55,33.8924663677,11150.0,251.0,377901.0,909.0,8.15,1.7,0.55
2015-05-08,35.3,35.3,33.5,33.75,34.6744350033,28363.0,308.0,983471.0,13754.0,48.49,1.8,-1.55
2015-05-11,34.0,35.0,33.75,34.05,34.2774910394,13950.0,64.0,478171.0,3512.0,25.18,1.25,0.05
2015-05-12,34.2,34.3,33.5,33.75,33.8116129335,42556.0,112.0,1438887.0,26010.0,61.12,0.8,-0.45
2015-05-13,34.95,34.95,33.5,33.75,33.7926952505,20781.0,33.0,702246.0,20566.0,98.97,1.45,-1.2
2015-05-14,33.75,34.0,33.5,33.5,33.7832788893,9796.0,29.0,330941.0,585.0,5.97,0.5,-0.25
2015-05-15,34.25,34.45,33.4,33.5,33.9131188596,25955.0,60.0,880215.0,15773.0,60.77,1.05,-0.75
2015-05-18,33.5,33.7,33.25,33.5,33.5724922881,9401.0,23.0,315615.0,386.0,4.11,0.45,0.0
2015-05-19,33.6,34.5,33.25,34.0,33.8547083626,79688.0,67.0,2697814.0,78410.0,98.4,1.25,0.4
2015-05-20,33.75,34.25,33.55,33.9,33.9524534654,155637.0,84.0,5284258.0,141757.0,91.08,0.7,0.15
2015-05-21,34.5,34.5,33.7,33.9,33.84385076,10855.0,25.0,367375.0,303.0,2.79,0.8,-0.6
2015-05-22,33.75,34.2,33.55,34.05,33.7082585278,11140.0,24.0,375510.0,1855.0,16.65,0.65,0.3
2015-05-25,33.6,34.15,33.55,34.1,33.7510345847,13532.0,39.0,456719.0,2770.0,20.47,0.6,0.5
2015-05-26,33.75,34.0,33.5,33.9,33.911480772,157141.0,58.0,5328884.0,147932.0,94.14,0.5,0.15
2015-05-27,33.8,34.7,33.4,33.9,33.8001677778,22649.0,75.0,765540.0,10028.0,44.28,1.3,0.1
2015-05-28,33.9,33.95,32.2,32.9,33.349042111,22132.0,159.0,738081.0,11350.0,51.28,1.75,-1.0
2015-05-29,33.25,33.35,32.0,32.7,33.0218350755,17220.0,59.0,568636.0,3470.0,20.15,1.35,-0.55
2015-06-01,32.85,33.2,32.55,32.55,32.8164106407,10676.0,29.0,350348.0,7800.0,73.06,0.65,-0.3
