Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,5.9,6.28,5.81,6.2,6.1084906666,656674.0,1872.0,4011287.0,306439.0,46.67,0.47,0.3
2015-04-06,6.2,7.1,6.2,6.88,6.73267234226,1262952.0,3241.0,8503042.0,585052.0,46.32,0.9,0.68
2015-04-07,7.0,7.28,7.0,7.08,7.11145393648,890314.0,2263.0,6331427.0,405283.0,45.52,0.28,0.08
2015-04-08,7.15,7.34,7.05,7.08,7.19112313115,664446.0,1367.0,4778113.0,381026.0,57.34,0.29,-0.07
2015-04-09,7.2,7.5,6.95,7.34,7.23528620426,810243.0,1952.0,5862340.0,361826.0,44.66,0.55,0.14
2015-04-10,7.51,7.95,7.47,7.69,7.70420785382,1792529.0,4393.0,13810016.0,951103.0,53.06,0.48,0.18
2015-04-13,7.69,8.18,7.2,7.39,7.71772040698,2289163.0,5134.0,17667120.0,1088059.0,47.53,0.98,-0.3
2015-04-15,7.32,7.88,7.32,7.53,7.64220834354,1052934.0,2657.0,8046741.0,388667.0,36.91,0.56,0.21
2015-04-16,7.55,7.67,7.22,7.37,7.39060240153,594620.0,1229.0,4394600.0,288475.0,48.51,0.45,-0.18
2015-04-17,7.3,7.36,7.13,7.18,7.22003601096,376552.0,825.0,2718719.0,209250.0,55.57,0.23,-0.12
2015-04-20,7.02,7.18,6.7,6.89,6.96598054871,443364.0,1100.0,3088465.0,223198.0,50.34,0.48,-0.13
2015-04-21,7.03,7.07,6.8,6.86,6.92778513774,146438.0,560.0,1014491.0,90629.0,61.89,0.27,-0.17
2015-04-22,6.85,7.05,6.8,6.84,6.89278218174,213444.0,595.0,1471223.0,100433.0,47.05,0.25,-0.01
2015-04-23,6.82,7.18,6.8,6.86,6.96201661827,347810.0,677.0,2421459.0,132543.0,38.11,0.38,0.04
2015-04-24,6.83,6.95,6.53,6.57,6.65904692791,206700.0,678.0,1376425.0,119123.0,57.63,0.42,-0.26
2015-04-27,6.6,6.77,6.2,6.37,6.4552553289,309914.0,1337.0,2000574.0,106734.0,34.44,0.57,-0.23
2015-04-28,6.42,6.55,6.2,6.3,6.3187321458,802332.0,2667.0,5069721.0,395961.0,49.35,0.35,-0.12
2015-04-29,6.3,6.35,6.1,6.14,6.19602252767,270423.0,933.0,1675547.0,193768.0,71.65,0.25,-0.16
2015-04-30,6.24,6.24,5.95,6.04,6.02908638728,629676.0,1292.0,3796371.0,393505.0,62.49,0.29,-0.2
2015-05-04,6.02,7.24,6.02,6.24,6.80478973109,3728226.0,7088.0,25369794.0,1225032.0,32.86,1.22,0.22
2015-05-05,6.22,6.3,5.9,6.04,6.08921627169,1133773.0,2343.0,6903789.0,734962.0,64.82,0.4,-0.18
2015-05-06,6.0,6.02,5.6,5.74,5.84163828305,1405447.0,2363.0,8210113.0,751666.0,53.48,0.42,-0.26
2015-05-07,5.77,5.8,5.28,5.34,5.48554522986,1704593.0,2737.0,9350622.0,1048972.0,61.54,0.52,-0.43
2015-05-08,5.41,5.57,4.96,5.01,5.23114101132,2223396.0,3758.0,11630898.0,1267484.0,57.01,0.61,-0.4
2015-05-11,5.06,5.24,4.65,4.8,4.89536192494,2604960.0,3109.0,12752222.0,1194049.0,45.84,0.59,-0.26
2015-05-12,4.75,4.84,3.84,3.84,4.09632831054,4319374.0,3964.0,17693574.0,2548845.0,59.01,1.0,-0.91
2015-05-13,3.8,3.95,3.46,3.46,3.49043353792,10628851.0,5254.0,37099298.0,4579436.0,43.08,0.49,-0.34
2015-05-14,3.55,3.55,3.16,3.21,3.26074762926,7631590.0,4609.0,24884689.0,3872002.0,50.74,0.39,-0.34
2015-05-15,3.15,3.15,2.89,2.9,2.96968439525,9507018.0,4960.0,28232843.0,4998060.0,52.57,0.26,-0.25
2015-05-18,2.94,3.04,2.76,2.77,2.92926422509,18298096.0,6271.0,53599958.0,8472585.0,46.3,0.28,-0.17
2015-05-19,2.81,2.83,2.64,2.64,2.6884322447,7464309.0,2968.0,20067289.0,3594049.0,48.15,0.19,-0.17
2015-05-20,2.69,2.69,2.51,2.51,2.52731103122,5348132.0,1265.0,13516393.0,3060099.0,57.22,0.18,-0.18
2015-05-21,2.46,2.48,2.39,2.39,2.41398528251,6470259.0,1850.0,15619110.0,3246690.0,50.18,0.09,-0.07
2015-05-22,2.34,2.43,2.28,2.28,2.30590011955,13414457.0,3673.0,30932398.0,6249277.0,46.59,0.15,-0.06
2015-05-25,2.24,2.39,2.18,2.39,2.26571943723,3827443.0,1157.0,8671912.0,1575752.0,41.17,0.21,0.15
2015-05-26,2.5,2.5,2.5,2.5,2.5,41270.0,41.0,103175.0,41270.0,100.0,0.0,0.0
2015-05-27,2.62,2.62,2.62,2.62,2.61999137559,57975.0,47.0,151894.0,57975.0,100.0,0.0,0.0
2015-05-28,2.75,2.75,2.75,2.75,2.74999944725,904562.0,85.0,2487545.0,568897.0,62.89,0.0,0.0
2015-05-29,2.88,2.88,2.88,2.88,2.87999934606,305840.0,96.0,880819.0,305840.0,100.0,0.0,0.0
2015-06-01,3.02,3.02,3.02,3.02,3.01999836826,208367.0,120.0,629268.0,208367.0,100.0,0.0,0.0
2015-06-02,3.17,3.17,3.17,3.17,3.16999909305,529244.0,171.0,1677703.0,529244.0,100.0,0.0,0.0
