Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,8121.95,8121.95,7850.2,7886.0,7892.875,80.0,84.0,631430.0,59.0,73.75,271.75,-235.95
2015-04-06,7940.2,8200.0,7940.2,8157.5,8118.83870968,341.0,265.0,2768524.0,176.0,51.61,259.8,217.3
2015-04-07,7980.6,8854.75,7975.0,8608.25,8579.53180212,1132.0,650.0,9712030.0,329.0,29.06,879.75,627.65
2015-04-08,8700.05,9436.95,8644.0,9319.1,9165.56527977,1394.0,1468.0,12776798.0,540.0,38.74,792.95,619.05
2015-04-09,9550.0,9600.0,8996.4,9314.75,9334.25605816,1238.0,1093.0,11555809.0,582.0,47.01,603.6,-235.25
2015-04-10,9252.0,9497.0,9098.0,9300.9,9355.85343384,1194.0,472.0,11170889.0,936.0,78.39,399.0,48.9
2015-04-13,9300.9,9300.9,9002.0,9076.8,9166.50170648,293.0,220.0,2685785.0,220.0,75.09,298.9,-224.1
2015-04-15,9030.0,9030.0,8727.0,8824.6,8894.75,408.0,379.0,3629058.0,213.0,52.21,303.0,-205.4
2015-04-16,8800.0,8919.1,8575.0,8628.75,8748.57324841,471.0,498.0,4120578.0,335.0,71.13,344.1,-171.25
2015-04-17,8527.55,8825.0,8527.55,8785.3,8770.19148936,188.0,255.0,1648796.0,125.0,66.49,297.45,257.75
2015-04-20,8875.8,8880.0,8610.0,8637.95,8721.84848485,198.0,206.0,1726926.0,143.0,72.22,270.0,-237.85
2015-04-21,8600.0,8600.0,8301.0,8332.15,8440.45525292,257.0,311.0,2169197.0,198.0,77.04,299.0,-267.85
2015-04-22,8450.0,8797.8,8351.4,8546.8,8549.13942308,208.0,275.0,1778221.0,93.0,44.71,446.4,96.8
2015-04-23,8609.7,8720.0,8340.0,8440.8,8495.81012658,237.0,298.0,2013507.0,149.0,62.87,380.0,-168.9
2015-04-24,8387.0,8389.4,8080.0,8146.95,8207.02358491,212.0,244.0,1739889.0,132.0,62.26,309.4,-240.05
2015-04-27,8050.0,8050.0,7676.55,7712.25,7770.36513158,304.0,366.0,2362191.0,165.0,54.28,373.45,-337.75
2015-04-28,7527.0,8080.0,7500.0,7928.9,7898.05691057,123.0,177.0,971461.0,48.0,39.02,580.0,401.9
2015-04-29,8088.4,8099.0,7860.0,7950.25,7986.03539823,113.0,175.0,902422.0,37.0,32.74,239.0,-138.15
2015-04-30,7845.15,8015.0,7845.15,7952.5,7963.34883721,129.0,163.0,1027272.0,88.0,68.22,169.85,107.35
2015-05-04,8020.95,8070.3,7943.4,7957.15,7988.5,76.0,79.0,607126.0,59.0,77.63,126.9,-63.8
2015-05-05,7855.0,8066.0,7855.0,7990.55,8013.69791667,96.0,102.0,769315.0,19.0,19.79,211.0,135.55
2015-05-06,7852.0,7900.0,7676.45,7713.75,7797.4,115.0,156.0,896701.0,72.0,62.61,223.55,-138.25
2015-05-07,7920.15,7920.15,7502.1,7664.55,7665.07303371,178.0,238.0,1364383.0,95.0,53.37,418.05,-255.6
2015-05-08,7730.55,7790.05,7715.45,7725.95,7747.0,50.0,34.0,387350.0,45.0,90.0,74.6,-4.6
2015-05-11,7900.0,7999.95,7900.0,7991.65,7952.1369863,73.0,36.0,580506.0,49.0,67.12,99.95,91.65
2015-05-12,7870.0,7900.0,7770.0,7801.45,7828.0,527.0,38.0,4125356.0,485.0,92.03,130.0,-68.55
2015-05-13,7831.6,7905.0,7699.0,7756.25,7763.57142857,133.0,54.0,1032555.0,103.0,77.44,206.0,-75.35
2015-05-14,7704.4,7900.05,7700.0,7900.0,7843.85,80.0,34.0,627508.0,58.0,72.5,200.05,195.6
2015-05-15,7990.0,8199.0,7950.0,8101.8,8049.71084337,83.0,40.0,668126.0,57.0,68.67,249.0,111.8
2015-05-18,8181.0,8300.0,8150.85,8248.75,8238.72727273,132.0,83.0,1087512.0,83.0,62.88,149.15,67.75
2015-05-19,8151.0,8270.0,8070.0,8106.55,8200.72672673,333.0,52.0,2730842.0,293.0,87.99,200.0,-44.45
2015-05-20,8224.05,8313.0,8068.0,8132.8,8188.71212121,132.0,75.0,1080910.0,60.0,45.45,245.0,-91.25
2015-05-21,8100.0,8147.95,8080.0,8080.0,8087.66666667,27.0,13.0,218367.0,24.0,88.89,67.95,-20.0
