Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,9.97,9.97,7.62,8.0,8.22937390287,1709.0,22.0,14064.0,1507.0,88.18,2.35,-1.97
2015-04-06,7.55,8.88,7.55,7.85,8.04133925521,2927.0,32.0,23537.0,2383.0,81.41,1.33,0.3
2015-04-07,7.66,9.15,7.3,8.0,8.15736284889,2078.0,28.0,16951.0,2017.0,97.06,1.85,0.34
2015-04-08,8.97,9.38,8.0,8.95,8.88542963885,1606.0,24.0,14270.0,1512.0,94.15,1.38,-0.02
2015-04-09,8.1,10.0,8.1,8.88,9.00883218842,1019.0,14.0,9180.0,1017.0,99.8,1.9,0.78
2015-04-10,8.0,10.27,8.0,9.18,9.31114808652,1202.0,8.0,11192.0,1200.0,99.83,2.27,1.18
2015-04-13,10.06,10.06,8.56,8.81,8.96582466568,2019.0,37.0,18102.0,2004.0,99.26,1.5,-1.25
2015-04-15,8.75,8.75,8.11,8.46,8.53749315818,1827.0,23.0,15598.0,1826.0,99.95,0.64,-0.29
2015-04-16,8.46,9.3,7.21,7.21,8.45853658537,205.0,12.0,1734.0,201.0,98.05,2.09,-1.25
2015-04-17,7.54,8.39,7.53,7.6,7.53333333333,15.0,6.0,113.0,13.0,86.67,0.86,0.06
2015-04-20,8.69,8.69,7.46,7.46,7.9,50.0,6.0,395.0,50.0,100.0,1.23,-1.23
2015-04-21,7.02,8.8,7.02,7.49,8.2265880812,1527.0,16.0,12562.0,1400.0,91.68,1.78,0.47
2015-04-22,6.98,8.4,6.98,7.61,7.64928909953,2954.0,30.0,22596.0,2122.0,71.83,1.42,0.63
2015-04-23,7.15,8.0,7.15,7.56,7.66016377649,4152.0,20.0,31805.0,2162.0,52.07,0.85,0.41
2015-04-24,6.62,8.69,6.62,7.2,7.47386964181,3406.0,18.0,25456.0,1903.0,55.87,2.07,0.58
2015-04-27,7.16,7.87,7.16,7.16,7.15978835979,945.0,8.0,6766.0,945.0,100.0,0.71,0.0
2015-04-28,7.5,7.95,6.12,7.68,7.50771388499,1426.0,16.0,10706.0,1326.0,92.99,1.83,0.18
2015-04-29,8.0,8.0,8.0,8.0,8.0,10.0,2.0,80.0,10.0,100.0,0.0,0.0
2015-04-30,7.68,7.68,7.68,7.68,7.68,1000.0,2.0,7680.0,1000.0,100.0,0.0,0.0
2015-05-04,7.68,7.68,7.0,7.01,7.00900900901,111.0,6.0,778.0,110.0,99.1,0.68,-0.67
2015-05-05,7.7,8.17,7.7,7.7,7.70061099796,491.0,4.0,3781.0,491.0,100.0,0.47,0.0
2015-05-06,8.2,8.2,7.9,7.9,8.13611111111,360.0,8.0,2929.0,360.0,100.0,0.3,-0.3
2015-05-07,8.88,8.96,7.63,7.63,8.36142857143,1400.0,20.0,11706.0,800.0,57.14,1.33,-1.25
2015-05-08,7.01,8.0,7.01,8.0,7.1347826087,230.0,13.0,1641.0,211.0,91.74,0.99,0.99
2015-05-11,7.79,7.79,7.79,7.79,7.73333333333,15.0,1.0,116.0,15.0,100.0,0.0,0.0
2015-05-12,8.0,8.0,7.49,7.49,7.50512555253,10633.0,8.0,79802.0,10633.0,100.0,0.51,-0.51
2015-05-13,7.25,7.25,7.25,7.25,7.25,1000.0,1.0,7250.0,1000.0,100.0,0.0,0.0
2015-05-14,6.55,7.0,6.55,6.89,6.7188495319,10361.0,20.0,69614.0,7556.0,72.93,0.45,0.34
2015-05-15,6.31,7.38,6.31,6.93,6.9521965999,5941.0,22.0,41303.0,5336.0,89.82,1.07,0.62
2015-05-18,6.7,7.25,6.5,7.25,6.93765586035,401.0,5.0,2782.0,401.0,100.0,0.75,0.55
2015-05-19,6.7,7.5,6.5,7.24,6.98838641563,5683.0,23.0,39715.0,2082.0,36.64,1.0,0.54
2015-05-20,6.89,7.48,6.89,7.3,7.08333333333,672.0,8.0,4760.0,392.0,58.33,0.59,0.41
2015-05-21,7.1,7.8,6.75,7.55,6.98455790785,4015.0,14.0,28043.0,3384.0,84.28,1.05,0.45
2015-05-22,7.01,7.7,7.01,7.58,7.44794520548,730.0,8.0,5437.0,714.0,97.81,0.69,0.57
2015-05-26,7.17,7.49,7.17,7.17,7.16983016983,1001.0,2.0,7177.0,1000.0,99.9,0.32,0.0
2015-05-27,7.5,7.5,7.5,7.5,7.5,100.0,1.0,750.0,100.0,100.0,0.0,0.0
2015-05-28,7.65,7.65,7.65,7.65,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2015-05-29,7.0,7.4,7.0,7.4,7.07317073171,123.0,2.0,870.0,123.0,100.0,0.4,0.4
2015-06-01,7.11,7.48,7.1,7.11,7.1081530782,601.0,4.0,4272.0,600.0,99.83,0.38,0.0
2015-06-03,7.2,7.2,7.0,7.0,7.06622516556,1510.0,4.0,10670.0,1510.0,100.0,0.2,-0.2
2015-06-04,6.9,6.99,6.71,6.99,6.73,500.0,4.0,3365.0,490.0,98.0,0.28,0.09
2015-06-05,7.1,7.1,7.1,7.1,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2015-06-08,6.42,6.99,6.42,6.99,6.41906873614,451.0,2.0,2895.0,450.0,99.78,0.57,0.57
2015-06-09,6.4,6.93,6.3,6.93,6.34992383437,100439.0,9.0,637780.0,100439.0,100.0,0.63,0.53
2015-06-10,6.9,6.9,6.24,6.49,6.4552323385,2647.0,12.0,17087.0,2640.0,99.74,0.66,-0.41
2015-06-11,6.97,6.97,6.31,6.97,6.928125,320.0,5.0,2217.0,319.0,99.69,0.66,0.0
2015-06-12,7.28,7.28,7.28,7.28,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2015-06-15,7.27,7.9,7.27,7.9,7.36688079943,1401.0,8.0,10321.0,1401.0,100.0,0.63,0.63
2015-06-16,7.89,7.89,7.26,7.27,7.82944090587,1413.0,4.0,11063.0,1363.0,96.46,0.63,-0.62
2015-06-17,7.0,7.98,6.93,6.93,6.95348837209,86.0,4.0,598.0,85.0,98.84,1.05,-0.07
