Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,711.0,723.0,703.0,715.5,713.593454359,7822.0,727.0,5581728.0,3829.0,48.95,20.0,4.5
2015-04-06,718.75,775.0,715.0,761.0,753.302340926,34858.0,3311.0,26258613.0,11960.0,34.31,60.0,42.25
2015-04-07,770.0,817.0,759.0,785.25,788.083179248,37317.0,3826.0,29408900.0,9582.0,25.68,58.0,15.25
2015-04-08,790.0,799.0,767.0,778.0,782.370251074,12108.0,1529.0,9472939.0,5208.0,43.01,32.0,-12.0
2015-04-09,787.5,867.75,785.0,852.0,837.784271855,75864.0,7504.0,63557666.0,15119.0,19.93,82.75,64.5
2015-04-10,860.0,883.75,803.5,834.5,846.890231938,54023.0,6746.0,45751551.0,15523.0,28.73,80.25,-25.5
2015-04-13,845.0,872.0,826.0,849.5,852.691587827,29279.0,3137.0,24965957.0,9794.0,33.45,46.0,4.5
2015-04-15,865.0,891.0,740.75,783.75,802.8081019,114936.0,11367.0,92271552.0,17892.0,15.57,150.25,-81.25
2015-04-16,783.0,798.75,755.25,758.75,769.939125949,13569.0,1496.0,10447304.0,4042.0,29.79,43.5,-24.25
2015-04-17,760.0,774.75,704.0,711.5,736.169458846,23339.0,2628.0,17181459.0,6992.0,29.96,70.75,-48.5
2015-04-20,720.0,749.0,700.0,706.0,721.703910334,19896.0,2151.0,14359021.0,5685.0,28.57,49.0,-14.0
2015-04-21,709.5,723.0,695.5,704.0,711.042777896,9374.0,956.0,6665315.0,3892.0,41.52,27.5,-5.5
2015-04-22,715.0,745.0,710.5,717.0,725.292650803,22778.0,2034.0,16520716.0,4359.0,19.14,34.5,2.0
2015-04-23,725.0,733.0,701.25,703.75,717.523664355,13121.0,1520.0,9414628.0,2827.0,21.55,31.75,-21.25
2015-04-24,711.0,711.0,656.5,664.5,678.071461588,10817.0,1254.0,7334699.0,4897.0,45.27,54.5,-46.5
2015-04-27,683.75,685.0,623.75,638.75,643.664624986,8653.0,1106.0,5569630.0,2738.0,31.64,61.25,-45.0
2015-04-28,629.0,673.0,625.0,668.75,657.375750673,9658.0,1138.0,6348935.0,3486.0,36.09,48.0,39.75
2015-04-29,657.5,687.0,646.75,677.0,670.171158628,10055.0,1248.0,6738571.0,2263.0,22.51,40.25,19.5
2015-04-30,670.0,694.0,670.0,677.5,679.360700718,9476.0,813.0,6437622.0,3134.0,33.07,24.0,7.5
2015-05-04,680.0,720.0,680.0,696.75,701.637540183,23953.0,3253.0,16806324.0,2947.0,12.3,40.0,16.75
2015-05-05,700.0,710.75,690.0,695.5,698.720227845,7549.0,871.0,5274639.0,2136.0,28.3,20.75,-4.5
2015-05-06,695.0,695.0,644.0,649.75,665.039771502,9278.0,1350.0,6170239.0,2684.0,28.93,51.0,-45.25
2015-05-07,660.0,679.0,645.0,662.75,665.09538211,8597.0,1073.0,5717825.0,2246.0,26.13,34.0,2.75
2015-05-08,660.0,686.0,660.0,668.0,673.904659882,1867.0,321.0,1258180.0,642.0,34.39,26.0,8.0
2015-05-11,680.0,727.0,674.0,712.5,708.666390094,15668.0,1080.0,11103385.0,4294.0,27.41,53.0,32.5
2015-05-12,710.0,716.0,692.0,700.75,701.724344569,6675.0,272.0,4684010.0,3893.0,58.32,24.0,-9.25
2015-05-13,709.0,716.0,690.0,693.25,700.12854641,2855.0,279.0,1998867.0,1218.0,42.66,26.0,-15.75
2015-05-14,695.0,701.5,685.0,692.25,691.359665184,3823.0,337.0,2643068.0,1294.0,33.85,16.5,-2.75
2015-05-15,691.0,722.75,691.0,718.5,715.124860534,9859.0,612.0,7050416.0,4763.0,48.31,31.75,27.5
2015-05-18,717.75,720.75,703.25,707.75,709.344596973,2841.0,210.0,2015248.0,1749.0,61.56,17.5,-10.0
2015-05-19,712.5,725.75,695.5,698.75,710.324405507,3995.0,266.0,2837746.0,1333.0,33.37,30.25,-13.75
2015-05-20,705.5,713.0,688.5,691.25,698.644819277,2075.0,163.0,1449688.0,1099.0,52.96,24.5,-14.25
2015-05-21,690.0,699.5,684.0,690.75,689.617787189,1889.0,131.0,1302688.0,877.0,46.43,15.5,0.75
