Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,472.0,473.5,472.0,473.5,472.76968523,10325.0,127.0,4881347.0,10325.0,100.0,1.5,1.5
2015-04-06,472.1,473.5,472.1,473.0,472.576333538,16310.0,53.0,7707720.0,16310.0,100.0,1.4,0.9
2015-04-07,471.5,472.9,467.0,472.9,472.101316373,20283.0,125.0,9575631.0,20283.0,100.0,5.9,1.4
2015-04-08,471.1,472.0,471.1,472.0,471.528467153,10960.0,115.0,5167952.0,10960.0,100.0,0.9,0.9
2015-04-09,471.1,472.1,471.1,471.4,471.650714286,7000.0,38.0,3301555.0,7000.0,100.0,1.0,0.3
2015-04-10,471.0,471.5,471.0,471.5,471.229667395,8238.0,52.0,3881990.0,8238.0,100.0,0.5,0.5
2015-04-13,471.4,471.5,471.0,471.0,471.315254237,2950.0,10.0,1390380.0,2950.0,100.0,0.5,-0.4
2015-04-15,471.0,471.5,471.0,471.2,471.206451613,3100.0,16.0,1460740.0,3100.0,100.0,0.5,0.2
2015-04-16,470.9,470.9,470.9,470.9,470.9,800.0,8.0,376720.0,800.0,100.0,0.0,0.0
2015-04-17,471.0,471.5,471.0,471.4,471.24950495,5050.0,40.0,2379810.0,5050.0,100.0,0.5,0.4
2015-04-20,471.9,473.0,471.0,473.0,472.012059817,10365.0,64.0,4892405.0,10365.0,100.0,2.0,1.1
2015-04-21,471.1,472.4,471.1,472.4,471.61,5000.0,38.0,2358050.0,5000.0,100.0,1.3,1.3
2015-04-22,471.5,472.4,471.1,471.4,471.617567568,7400.0,64.0,3489970.0,7400.0,100.0,1.3,-0.1
2015-04-23,465.8,466.5,465.5,466.5,466.226923077,520.0,8.0,242438.0,520.0,100.0,1.0,0.7
2015-04-24,471.0,471.5,471.0,471.5,471.156603774,7950.0,70.0,3745695.0,7950.0,100.0,0.5,0.5
2015-04-27,470.6,472.1,470.5,471.1,471.186238532,10900.0,54.0,5135930.0,10900.0,100.0,1.6,0.5
2015-04-28,382.0,565.0,382.0,471.9,472.264189334,9338.0,76.0,4410003.0,9238.0,98.93,183.0,89.9
2015-04-29,472.9,472.9,468.1,470.2,469.309247424,23001.0,128.0,10794582.0,23001.0,100.0,4.8,-2.7
2015-04-30,469.9,470.5,469.5,470.2,470.042045455,8800.0,25.0,4136370.0,8800.0,100.0,1.0,0.3
2015-05-04,470.3,471.0,470.2,470.8,470.504424779,5650.0,29.0,2658350.0,5650.0,100.0,0.8,0.5
2015-05-05,470.2,472.0,470.1,472.0,470.988679245,5300.0,43.0,2496240.0,5300.0,100.0,1.9,1.8
2015-05-06,470.1,470.2,470.1,470.2,470.15,1000.0,6.0,470150.0,1000.0,100.0,0.1,0.1
2015-05-07,468.0,468.5,468.0,468.5,468.231858407,5650.0,20.0,2645510.0,5650.0,100.0,0.5,0.5
2015-05-08,468.5,470.5,468.1,470.0,469.501657577,9351.0,70.0,4390310.0,9351.0,100.0,2.4,1.5
2015-05-11,470.0,470.0,470.0,470.0,470.0,4000.0,13.0,1880000.0,4000.0,100.0,0.0,0.0
2015-05-12,469.5,469.8,469.5,469.8,469.714285714,2800.0,5.0,1315200.0,2800.0,100.0,0.3,0.3
2015-05-13,469.3,469.3,469.3,469.3,469.3,1000.0,1.0,469300.0,1000.0,100.0,0.0,0.0
2015-05-14,468.9,469.4,468.9,469.4,469.134437086,7550.0,48.0,3541965.0,7550.0,100.0,0.5,0.5
2015-05-15,469.5,470.5,469.0,469.7,469.599019608,10200.0,38.0,4789910.0,10200.0,100.0,1.5,0.2
2015-05-18,469.5,471.2,468.0,468.4,469.5,7400.0,26.0,3474300.0,7400.0,100.0,3.2,-1.1
2015-05-20,470.0,470.5,470.0,470.5,470.25,6000.0,2.0,2821500.0,6000.0,100.0,0.5,0.5
2015-05-25,469.0,472.2,467.1,472.2,468.557638889,14400.0,62.0,6747230.0,14400.0,100.0,5.1,3.2
