Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-10-08,12.5,13.12,12.5,13.12,12.52,105.0,2.0,1315.0,105.0,100.0,0.62,0.62
2015-10-12,13.77,13.77,13.77,13.77,13.76,25.0,1.0,344.0,25.0,100.0,0.0,0.0
2015-10-13,14.45,14.45,14.45,14.45,14.44,25.0,1.0,361.0,25.0,100.0,0.0,0.0
2015-10-14,15.17,15.17,15.17,15.17,15.13,15.0,1.0,227.0,15.0,100.0,0.0,0.0
2015-10-15,15.74,15.74,15.74,15.74,15.72,25.0,1.0,393.0,25.0,100.0,0.0,0.0
2015-10-16,15.74,15.74,15.74,15.74,15.7,10.0,1.0,157.0,10.0,100.0,0.0,0.0
2015-10-19,16.52,16.52,16.52,16.52,16.52,25.0,1.0,413.0,25.0,100.0,0.0,0.0
2015-10-20,17.05,17.05,17.05,17.05,17.04,25.0,1.0,426.0,25.0,100.0,0.0,0.0
2015-10-21,17.05,17.05,17.05,17.05,17.0,10.0,1.0,170.0,10.0,100.0,0.0,0.0
2015-10-23,20.46,20.46,20.46,20.46,20.46,100.0,1.0,2046.0,100.0,100.0,0.0,0.0
2015-10-26,24.55,24.55,24.55,24.55,24.55,100.0,1.0,2455.0,100.0,100.0,0.0,0.0
2015-10-27,26.59,26.59,26.59,26.59,26.59,100.0,1.0,2659.0,100.0,100.0,0.0,0.0
2015-10-28,26.59,26.59,26.59,26.59,26.59,100.0,1.0,2659.0,100.0,100.0,0.0,0.0
2015-11-02,29.2,29.2,29.2,29.2,29.2,100.0,2.0,2920.0,100.0,100.0,0.0,0.0
2015-11-03,32.1,32.1,32.1,32.1,32.1,40.0,1.0,1284.0,40.0,100.0,0.0,0.0
2015-11-04,34.55,34.55,34.55,34.55,34.55,60.0,2.0,2073.0,60.0,100.0,0.0,0.0
2015-11-05,34.55,34.55,34.55,34.55,34.54,50.0,1.0,1727.0,50.0,100.0,0.0,0.0
2015-11-06,34.55,34.55,34.55,34.55,34.54,50.0,1.0,1727.0,50.0,100.0,0.0,0.0
2015-11-09,34.55,34.55,34.55,34.55,34.55,315.0,1.0,10883.0,315.0,100.0,0.0,0.0
2015-11-11,34.55,34.55,34.55,34.55,34.55,100.0,1.0,3455.0,100.0,100.0,0.0,0.0
2015-11-13,34.55,34.55,34.55,34.55,34.55,175.0,1.0,6046.0,175.0,100.0,0.0,0.0
2015-11-19,34.55,34.55,34.55,34.55,34.55,300.0,2.0,10365.0,300.0,100.0,0.0,0.0
2015-11-30,34.55,34.55,34.55,34.55,34.55,100.0,1.0,3455.0,100.0,100.0,0.0,0.0
2015-12-01,36.25,36.25,36.25,36.25,36.25,1000.0,1.0,36250.0,1000.0,100.0,0.0,0.0
2015-12-02,38.05,38.05,38.05,38.05,38.05,60.0,1.0,2283.0,60.0,100.0,0.0,0.0
2015-12-03,39.35,39.35,39.35,39.35,39.34,50.0,1.0,1967.0,50.0,100.0,0.0,0.0
2015-12-10,39.35,39.35,39.35,39.35,39.35,1050.0,2.0,41317.0,1050.0,100.0,0.0,0.0
2016-01-01,41.3,41.3,41.3,41.3,41.3,200.0,1.0,8260.0,200.0,100.0,0.0,0.0
2016-01-04,43.3,43.3,43.3,43.3,43.3,672.0,5.0,29097.0,672.0,100.0,0.0,0.0
2016-01-05,45.45,45.45,45.4,45.4,45.43,600.0,6.0,27255.0,600.0,100.0,0.05,-0.05
2016-01-06,47.6,47.6,47.6,47.6,47.6,550.0,2.0,26180.0,550.0,100.0,0.0,0.0
2016-01-07,49.5,49.55,49.5,49.55,49.5,610.0,6.0,30197.0,610.0,100.0,0.05,0.05
2016-01-08,49.5,49.55,48.0,49.5,49.4,650.0,8.0,32107.0,650.0,100.0,1.55,0.0
2016-01-11,47.05,51.1,47.05,51.1,49.81,2400.0,15.0,119534.0,1710.0,71.25,4.05,4.05
2016-01-12,51.1,51.15,51.1,51.15,51.11,5350.0,32.0,273440.0,5350.0,100.0,0.05,0.05
2016-01-13,51.15,51.15,51.0,51.05,51.12,1300.0,5.0,66460.0,1300.0,100.0,0.15,-0.1
2016-01-14,51.15,51.15,51.15,51.15,51.13,45.0,1.0,2301.0,45.0,100.0,0.0,0.0
