Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,235.0,245.8,232.6,242.8,241.477729885,5568.0,226.0,1344548.0,4528.0,81.32,13.2,7.8
2015-04-06,252.0,255.9,245.0,245.1,250.856569343,2740.0,103.0,687347.0,1910.0,69.71,10.9,-6.9
2015-04-07,245.1,257.0,245.1,255.9,253.711219364,6569.0,260.0,1666629.0,5035.0,76.65,11.9,10.8
2015-04-08,244.0,273.5,244.0,262.0,265.8667931,11073.0,509.0,2943943.0,7158.0,64.64,29.5,18.0
2015-04-09,262.0,269.9,260.1,263.0,265.514243615,2036.0,140.0,540587.0,1496.0,73.48,9.8,1.0
2015-04-10,262.0,268.5,259.0,267.6,263.09013571,4937.0,175.0,1298876.0,3285.0,66.54,9.5,5.6
2015-04-13,270.0,270.0,263.7,268.8,267.319826707,3924.0,108.0,1048963.0,3390.0,86.39,6.3,-1.2
2015-04-15,272.0,299.0,272.0,283.8,285.234775358,39574.0,730.0,11287881.0,34294.0,86.66,27.0,11.8
2015-04-16,280.0,282.0,269.9,273.0,273.960068699,2329.0,131.0,638053.0,1530.0,65.69,12.1,-7.0
2015-04-17,274.9,296.0,274.0,283.3,277.280537654,27155.0,281.0,7529553.0,25651.0,94.46,22.0,8.4
2015-04-20,283.1,316.0,283.1,304.2,301.227566828,27047.0,730.0,8147302.0,22937.0,84.8,32.9,21.1
2015-04-21,303.0,318.8,296.5,305.2,307.113834173,8732.0,449.0,2681718.0,5042.0,57.74,22.3,2.2
2015-04-22,302.1,311.5,280.0,290.4,300.351655629,4530.0,205.0,1360593.0,3630.0,80.13,31.5,-11.7
2015-04-23,298.9,298.9,285.0,285.2,288.822094055,2254.0,96.0,651005.0,1941.0,86.11,13.9,-13.7
2015-04-24,281.2,300.0,278.0,280.5,281.011992236,14426.0,315.0,4053879.0,10772.0,74.67,22.0,-0.7
2015-04-27,280.0,294.0,276.0,290.1,288.344257683,14219.0,262.0,4099967.0,10122.0,71.19,18.0,10.1
2015-04-28,290.1,294.9,285.0,291.2,289.093139989,1793.0,86.0,518344.0,1160.0,64.7,9.9,1.1
2015-04-29,288.0,296.0,288.0,294.3,290.792054484,4405.0,86.0,1280939.0,4250.0,96.48,8.0,6.3
2015-04-30,299.0,325.8,299.0,315.1,311.558861202,17176.0,577.0,5351335.0,13841.0,80.58,26.8,16.1
2015-05-04,317.5,331.0,317.5,328.0,328.144365935,13445.0,468.0,4411901.0,9687.0,72.05,13.5,10.5
2015-05-05,328.0,350.0,313.0,342.3,339.446035391,14806.0,540.0,5025838.0,12005.0,81.08,37.0,14.3
2015-05-06,348.8,356.9,315.0,319.4,329.946269417,7854.0,455.0,2591398.0,5449.0,69.38,41.9,-29.4
2015-05-07,319.0,327.4,310.0,316.2,318.460151109,4103.0,274.0,1306642.0,3061.0,74.6,17.4,-2.8
2015-05-08,323.3,326.0,311.4,313.0,321.410164569,10330.0,281.0,3320167.0,8137.0,78.77,14.6,-10.3
2015-05-11,318.0,318.0,305.1,310.0,310.877163121,3525.0,91.0,1095842.0,2773.0,78.67,12.9,-8.0
2015-05-12,312.9,313.2,291.2,295.8,302.698147311,2213.0,65.0,669871.0,1557.0,70.36,22.0,-17.1
2015-05-13,309.9,309.9,299.0,303.6,304.542805917,4462.0,126.0,1358870.0,2835.0,63.54,10.9,-6.3
2015-05-14,308.0,308.0,295.1,295.9,299.405956977,1813.0,53.0,542823.0,1693.0,93.38,12.9,-12.1
2015-05-15,299.1,317.0,299.0,306.5,309.239758258,21676.0,233.0,6703081.0,16773.0,77.38,18.0,7.4
2015-05-18,314.8,314.8,301.5,305.2,308.057669959,6884.0,89.0,2120669.0,6196.0,90.01,13.3,-9.6
2015-05-19,318.7,319.7,301.0,301.8,306.249089806,3296.0,76.0,1009397.0,2700.0,81.92,18.7,-16.9
2015-05-20,302.0,308.7,301.0,302.0,303.156073446,1416.0,31.0,429269.0,1396.0,98.59,7.7,0.0
2015-05-21,306.0,310.0,300.0,303.5,303.473532495,3816.0,59.0,1158055.0,2883.0,75.55,10.0,-2.5
2015-05-22,301.4,307.5,298.0,300.2,301.60340803,4284.0,69.0,1292069.0,3498.0,81.65,9.5,-1.2
2015-05-25,296.2,309.7,296.2,299.8,302.541008052,3353.0,66.0,1014420.0,2895.0,86.34,13.5,3.6
2015-05-26,297.0,299.8,275.0,280.8,294.9087475,27002.0,163.0,7963126.0,26073.0,96.56,24.8,-16.2
2015-05-27,276.0,287.9,276.0,279.7,281.54126822,10771.0,118.0,3032481.0,8810.0,81.79,11.9,3.7
2015-05-28,280.0,284.7,276.6,280.0,280.480319452,5259.0,60.0,1475046.0,4948.0,94.09,8.1,0.0
2015-05-29,280.4,288.0,280.0,285.2,284.336118598,3710.0,57.0,1054887.0,3045.0,82.08,8.0,4.8
2015-06-01,289.9,290.0,285.0,285.1,286.940194715,719.0,15.0,206310.0,669.0,93.05,5.0,-4.8
2015-06-02,283.0,285.3,280.0,280.0,280.847058824,2550.0,49.0,716160.0,2273.0,89.14,5.3,-3.0
2015-06-03,278.0,282.4,272.0,280.2,278.617715884,17521.0,99.0,4881661.0,16039.0,91.54,10.4,2.2
2015-06-04,280.1,281.2,266.3,270.4,273.694666107,7143.0,80.0,1955001.0,4967.0,69.54,14.9,-9.7
2015-06-05,264.7,272.9,264.7,267.4,268.923430322,1306.0,35.0,351214.0,995.0,76.19,8.2,2.7
2015-06-08,266.6,277.0,258.5,259.7,264.141357027,1238.0,47.0,327007.0,1083.0,87.48,18.5,-6.9
2015-06-09,260.0,260.0,240.0,243.8,248.567004505,5328.0,134.0,1324365.0,4257.0,79.9,20.0,-16.2
2015-06-10,250.0,250.0,241.3,245.0,245.567677946,1714.0,44.0,420903.0,1252.0,73.05,8.7,-5.0
2015-06-11,245.0,245.5,241.0,244.0,243.383399209,1518.0,32.0,369456.0,1055.0,69.5,4.5,-1.0
2015-06-12,242.0,248.0,239.0,242.2,242.156746032,504.0,19.0,122047.0,423.0,83.93,9.0,0.2
2015-06-15,245.0,257.5,242.3,247.4,249.135146805,2316.0,40.0,576997.0,2184.0,94.3,15.2,2.4
2015-06-16,258.4,258.4,243.0,251.2,250.371167048,2185.0,30.0,547061.0,2105.0,96.34,15.4,-7.2
2015-06-17,255.0,260.0,249.8,251.1,253.781536697,1744.0,36.0,442595.0,1533.0,87.9,10.2,-3.9
2015-06-18,275.0,275.0,249.5,253.9,252.135454079,1949.0,44.0,491412.0,1605.0,82.35,25.5,-21.1
2015-06-19,248.5,269.0,248.5,258.0,259.4165697,4297.0,34.0,1114713.0,3221.0,74.96,20.5,9.5
2015-06-22,258.0,262.0,252.4,262.0,258.318604651,430.0,13.0,111077.0,415.0,96.51,9.6,4.0
2015-06-23,269.0,269.0,253.5,254.3,260.268693272,13882.0,33.0,3613050.0,2621.0,18.88,15.5,-14.7
2015-06-24,256.1,262.0,254.0,255.5,256.593710692,3975.0,38.0,1019960.0,2890.0,72.7,8.0,-0.6
