Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,15.2,16.5,15.2,16.05,16.0077459654,72683.0,727.0,1163491.0,21084.0,29.01,1.3,0.85
2015-04-06,16.5,16.9,16.0,16.6,16.4372895029,99170.0,649.0,1630086.0,50569.0,50.99,0.9,0.1
2015-04-07,16.5,16.9,16.35,16.8,16.6488819485,92214.0,808.0,1535260.0,44188.0,47.92,0.55,0.3
2015-04-08,16.8,17.45,16.75,17.05,17.1352626733,78196.0,690.0,1339909.0,37300.0,47.7,0.7,0.25
2015-04-09,17.15,19.6,17.15,18.5,18.7579916262,391222.0,3071.0,7338539.0,139222.0,35.59,2.45,1.35
2015-04-10,18.95,19.0,18.0,18.3,18.4700343678,134137.0,1045.0,2477515.0,52118.0,38.85,1.0,-0.65
2015-04-13,18.1,19.2,18.1,18.6,18.8012257384,96758.0,691.0,1819169.0,45892.0,47.43,1.1,0.5
2015-04-15,18.7,18.95,18.0,18.3,18.4600619436,102997.0,749.0,1901331.0,54729.0,53.14,0.95,-0.4
2015-04-16,18.9,18.9,17.55,17.95,18.0860165643,93575.0,772.0,1692399.0,40229.0,42.99,1.35,-0.95
2015-04-17,17.8,17.8,17.0,17.1,17.4388265005,74444.0,473.0,1298216.0,49865.0,66.98,0.8,-0.7
2015-04-20,17.15,17.25,16.55,16.95,16.9294218033,98444.0,545.0,1666600.0,59679.0,60.62,0.7,-0.2
2015-04-21,16.75,16.75,16.2,16.3,16.4142024999,49442.0,498.0,811551.0,27105.0,54.82,0.55,-0.45
2015-04-22,16.6,16.75,16.35,16.6,16.5764670112,39468.0,338.0,654240.0,27139.0,68.76,0.4,0.0
2015-04-23,16.6,16.85,16.4,16.55,16.6580028099,74024.0,386.0,1233092.0,51108.0,69.04,0.45,-0.05
2015-04-24,16.55,16.55,15.3,15.6,15.7143574376,63737.0,553.0,1001586.0,34146.0,53.57,1.25,-0.95
2015-04-27,15.6,15.6,14.5,14.85,15.0245230577,52889.0,469.0,794632.0,25001.0,47.27,1.1,-0.75
2015-04-28,14.6,15.8,14.45,15.5,15.1762290564,36288.0,372.0,550715.0,18780.0,51.75,1.35,0.9
2015-04-29,15.2,15.75,15.1,15.55,15.4937737852,38627.0,274.0,598478.0,25533.0,66.1,0.65,0.35
2015-04-30,15.35,15.7,15.25,15.6,15.5154548455,18182.0,160.0,282102.0,11598.0,63.79,0.45,0.25
2015-05-04,15.8,17.25,15.7,16.9,16.5452231928,101773.0,902.0,1683857.0,52985.0,52.06,1.55,1.1
