Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,0.15,0.18,0.15,0.17,0.163956101898,743449.0,137.0,121893.0,686080.0,92.28,0.03,0.02
2015-04-06,0.17,0.18,0.15,0.16,0.162142022301,2714799.0,171.0,440183.0,2537748.0,93.48,0.03,-0.01
2015-04-07,0.16,0.17,0.15,0.16,0.160106826329,2080386.0,152.0,333084.0,2065096.0,99.27,0.02,0.0
2015-04-08,0.16,0.17,0.15,0.15,0.155608030144,2480354.0,166.0,385963.0,2135640.0,86.1,0.02,-0.01
2015-04-09,0.15,0.16,0.15,0.16,0.15880439541,360922.0,88.0,57316.0,360922.0,100.0,0.01,0.01
2015-04-10,0.16,0.16,0.14,0.16,0.150127085569,2420023.0,193.0,363311.0,1584931.0,65.49,0.02,0.0
2015-04-13,0.16,0.16,0.14,0.16,0.154046625995,1399005.0,147.0,215512.0,1086593.0,77.67,0.02,0.0
2015-04-15,0.16,0.17,0.15,0.16,0.157918212639,499955.0,105.0,78952.0,303600.0,60.73,0.02,0.0
2015-04-16,0.15,0.17,0.14,0.15,0.155059095931,1928813.0,210.0,299080.0,1320183.0,68.45,0.03,0.0
2015-04-17,0.15,0.17,0.15,0.17,0.162663417753,578655.0,108.0,94126.0,446034.0,77.08,0.02,0.02
2015-04-20,0.17,0.18,0.15,0.16,0.162113766935,1226947.0,164.0,198905.0,923938.0,75.3,0.03,-0.01
2015-04-21,0.16,0.17,0.15,0.16,0.160131222788,512411.0,114.0,82053.0,453711.0,88.54,0.02,0.0
2015-04-22,0.17,0.19,0.15,0.19,0.176087513843,2270178.0,337.0,399750.0,1927019.0,84.88,0.04,0.02
2015-04-23,0.19,0.22,0.18,0.2,0.199397006748,1556568.0,349.0,310375.0,1231672.0,79.13,0.04,0.01
2015-04-24,0.2,0.21,0.17,0.19,0.18983446609,829981.0,123.0,157559.0,610445.0,73.55,0.04,-0.01
2015-04-27,0.2,0.2,0.18,0.19,0.190024162927,191202.0,46.0,36333.0,191201.0,100.0,0.02,-0.01
2015-04-28,0.19,0.2,0.17,0.19,0.187370073963,336249.0,104.0,63003.0,237603.0,70.66,0.03,0.0
2015-04-29,0.19,0.2,0.16,0.17,0.172101137956,2368369.0,241.0,407599.0,2095481.0,88.48,0.04,-0.02
2015-04-30,0.17,0.18,0.16,0.16,0.164501430235,347845.0,97.0,57221.0,282264.0,81.15,0.02,-0.01
2015-05-04,0.15,0.17,0.15,0.16,0.159233473006,562746.0,93.0,89608.0,496623.0,88.25,0.02,0.01
2015-05-05,0.16,0.17,0.14,0.15,0.15016750491,1622042.0,155.0,243578.0,1424640.0,87.83,0.03,-0.01
2015-05-06,0.15,0.16,0.14,0.15,0.149108527312,646851.0,139.0,96451.0,644851.0,99.69,0.02,0.0
2015-05-07,0.15,0.15,0.14,0.15,0.145531848915,657856.0,146.0,95739.0,488391.0,74.24,0.01,0.0
2015-05-08,0.14,0.15,0.14,0.14,0.140807164733,1677997.0,98.0,236274.0,1569232.0,93.52,0.01,0.0
2015-05-11,0.15,0.16,0.14,0.15,0.149171122469,2086979.0,74.0,311317.0,1945150.0,93.2,0.02,0.0
2015-05-12,0.15,0.16,0.13,0.13,0.134406625463,7825083.0,141.0,1051743.0,6925083.0,88.5,0.03,-0.02
2015-05-13,0.13,0.14,0.13,0.14,0.139967347348,3794485.0,89.0,531104.0,3790711.0,99.9,0.01,0.01
2015-05-14,0.14,0.15,0.13,0.15,0.148221566517,417193.0,94.0,61837.0,310035.0,74.31,0.02,0.01
2015-05-15,0.15,0.15,0.13,0.14,0.137455312078,918313.0,69.0,126227.0,902013.0,98.23,0.02,-0.01
2015-05-18,0.14,0.14,0.12,0.12,0.120359782958,36914033.0,1029.0,4442965.0,30030877.0,81.35,0.02,-0.02
2015-05-19,0.12,0.13,0.11,0.11,0.119687588693,1046441.0,120.0,125246.0,823684.0,78.71,0.02,-0.01
2015-05-20,0.12,0.12,0.11,0.12,0.119162499159,1351927.0,100.0,161099.0,1112451.0,82.29,0.01,0.0
2015-05-21,0.13,0.13,0.11,0.12,0.122230711393,1647851.0,111.0,201418.0,1312579.0,79.65,0.02,-0.01
2015-05-22,0.11,0.13,0.11,0.12,0.119139103042,2412600.0,67.0,287435.0,2392982.0,99.19,0.02,0.01
2015-05-25,0.11,0.12,0.11,0.12,0.118791832517,619285.0,70.0,73566.0,568915.0,91.87,0.01,0.01
2015-05-26,0.11,0.13,0.11,0.12,0.119033150508,6136467.0,147.0,730443.0,4431945.0,72.22,0.02,0.01
2015-05-27,0.11,0.12,0.11,0.12,0.118442713562,1338816.0,57.0,158573.0,1332166.0,99.5,0.01,0.01
2015-05-28,0.12,0.13,0.11,0.12,0.119745772234,1646555.0,78.0,197168.0,1590013.0,96.57,0.02,0.0
2015-05-29,0.11,0.13,0.11,0.11,0.116480124454,1951569.0,80.0,227319.0,1698280.0,87.02,0.02,0.0
2015-06-01,0.12,0.12,0.11,0.12,0.119914622519,8242923.0,138.0,988447.0,7624188.0,92.49,0.01,0.0
2015-06-02,0.12,0.12,0.11,0.12,0.118169126022,1882336.0,92.0,222434.0,1855765.0,98.59,0.01,0.0
2015-06-03,0.12,0.12,0.11,0.12,0.112040509613,4008925.0,142.0,449162.0,2619956.0,65.35,0.01,0.0
2015-06-04,0.11,0.12,0.11,0.11,0.113777882607,890340.0,48.0,101301.0,844313.0,94.83,0.01,0.0
2015-06-05,0.11,0.12,0.1,0.12,0.11224032046,2151161.0,66.0,241447.0,1201161.0,55.84,0.02,0.01
2015-06-08,0.12,0.12,0.11,0.12,0.118785803997,377402.0,29.0,44830.0,377352.0,99.99,0.01,0.0
2015-06-09,0.12,0.13,0.11,0.12,0.117373352888,5194927.0,128.0,609746.0,5184247.0,99.79,0.02,0.0
2015-06-10,0.11,0.13,0.1,0.1,0.11386640397,7090555.0,93.0,807376.0,5922841.0,83.53,0.03,-0.01
2015-06-11,0.11,0.11,0.09,0.1,0.103263334075,3153462.0,167.0,325637.0,3153459.0,100.0,0.02,-0.01
2015-06-12,0.1,0.11,0.09,0.1,0.0991389431706,2010088.0,77.0,199278.0,1757826.0,87.45,0.02,0.0
2015-06-15,0.1,0.11,0.09,0.1,0.1019711406,900088.0,69.0,91783.0,896007.0,99.55,0.02,0.0
2015-06-16,0.1,0.11,0.1,0.11,0.105645929305,361216.0,37.0,38161.0,361213.0,100.0,0.01,0.01
2015-06-17,0.11,0.11,0.09,0.1,0.107611294271,1052817.0,72.0,113295.0,711080.0,67.54,0.02,-0.01
2015-06-18,0.11,0.11,0.1,0.11,0.107880526472,803157.0,44.0,86645.0,694362.0,86.45,0.01,0.0
2015-06-19,0.11,0.11,0.1,0.11,0.107083852065,854648.0,43.0,91519.0,842148.0,98.54,0.01,0.0
2015-06-22,0.11,0.12,0.1,0.11,0.108301746255,1208300.0,91.0,130861.0,936201.0,77.48,0.02,0.0
2015-06-23,0.11,0.11,0.1,0.11,0.109278100854,305569.0,56.0,33392.0,305569.0,100.0,0.01,0.0
2015-06-24,0.11,0.13,0.1,0.12,0.116800230526,1776803.0,85.0,207531.0,1480905.0,83.35,0.03,0.01
2015-06-25,0.11,0.14,0.11,0.14,0.131893027042,2055211.0,88.0,271068.0,1219527.0,59.34,0.03,0.03
2015-06-26,0.14,0.16,0.14,0.16,0.155324653516,952785.0,63.0,147991.0,589774.0,61.9,0.02,0.02
2015-06-29,0.17,0.17,0.17,0.17,0.169999958632,3142489.0,147.0,534223.0,3081480.0,98.06,0.0,0.0
2015-06-30,0.18,0.18,0.17,0.18,0.179950117137,20066611.0,987.0,3610989.0,19102460.0,95.2,0.01,0.0
2015-07-01,0.19,0.19,0.18,0.19,0.189866916173,6201054.0,374.0,1177375.0,5121986.0,82.6,0.01,0.0
2015-07-02,0.2,0.2,0.18,0.19,0.192355152844,3315305.0,240.0,637716.0,3133992.0,94.53,0.02,-0.01
