Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-10,4.64,4.64,4.64,4.64,4.6,10.0,2.0,46.0,10.0,100.0,0.0,0.0
2015-04-15,4.85,4.85,4.85,4.85,4.0,1.0,2.0,4.0,1.0,100.0,0.0,0.0
2015-04-16,5.09,5.09,5.09,5.09,5.09,100.0,2.0,509.0,100.0,100.0,0.0,0.0
2015-04-21,5.34,5.34,5.34,5.34,5.0,1.0,2.0,5.0,1.0,100.0,0.0,0.0
2015-04-23,5.5,5.5,5.5,5.5,5.5,10.0,2.0,55.0,10.0,100.0,0.0,0.0
2015-04-28,5.77,5.77,5.77,5.77,5.7,10.0,2.0,57.0,10.0,100.0,0.0,0.0
2015-04-30,6.0,6.0,6.0,6.0,6.0,10.0,2.0,60.0,10.0,100.0,0.0,0.0
2015-05-05,6.25,6.25,6.25,6.25,6.25,100.0,2.0,625.0,100.0,100.0,0.0,0.0
2015-05-06,6.5,6.5,6.5,6.5,6.5,50.0,2.0,325.0,50.0,100.0,0.0,0.0
2015-05-20,6.2,6.2,6.2,6.2,6.2,100.0,1.0,620.0,100.0,100.0,0.0,0.0
2015-06-24,5.89,5.89,5.89,5.89,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0
2015-06-25,6.18,6.18,6.18,6.18,6.1,10.0,1.0,61.0,10.0,100.0,0.0,0.0
2015-06-30,5.88,5.88,5.88,5.88,5.88,200.0,1.0,1176.0,200.0,100.0,0.0,0.0
2015-07-06,5.59,5.59,5.59,5.59,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0
2015-07-07,5.32,5.32,5.32,5.32,5.32,100.0,1.0,532.0,100.0,100.0,0.0,0.0
2015-07-13,5.06,5.06,5.06,5.06,5.06,100.0,1.0,506.0,100.0,100.0,0.0,0.0
2015-08-03,4.81,4.81,4.81,4.81,4.8,50.0,1.0,240.0,50.0,100.0,0.0,0.0
2015-08-06,4.57,4.57,4.57,4.57,4.4,5.0,1.0,22.0,5.0,100.0,0.0,0.0
2015-08-28,4.35,4.35,4.35,4.35,4.35,100.0,2.0,435.0,100.0,100.0,0.0,0.0
2015-08-31,4.35,4.35,4.35,4.35,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2015-09-02,4.14,4.14,4.14,4.14,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2015-09-03,3.94,3.94,3.94,3.94,3.94,1001.0,2.0,3943.0,1001.0,100.0,0.0,0.0
2015-09-07,3.75,3.75,3.75,3.75,3.75,201.0,2.0,753.0,201.0,100.0,0.0,0.0
2015-09-08,3.57,3.57,3.57,3.57,3.56,105.0,2.0,374.0,105.0,100.0,0.0,0.0
2015-09-09,3.4,3.4,3.4,3.4,3.4,201.0,3.0,683.0,201.0,100.0,0.0,0.0
2015-09-10,3.4,3.4,3.23,3.23,3.23,311.0,3.0,1004.0,311.0,100.0,0.17,-0.17
2015-09-11,3.07,3.07,3.07,3.07,3.0,6.0,2.0,18.0,6.0,100.0,0.0,0.0
2015-09-16,2.92,2.92,2.92,2.92,2.9,10.0,1.0,29.0,10.0,100.0,0.0,0.0
2015-09-18,2.78,2.78,2.78,2.78,2.78,310.0,2.0,861.0,310.0,100.0,0.0,0.0
2015-09-21,2.65,2.65,2.65,2.65,2.65,110.0,2.0,291.0,110.0,100.0,0.0,0.0
2015-09-22,2.52,2.52,2.52,2.52,2.52,2651.0,3.0,6680.0,2651.0,100.0,0.0,0.0
2015-09-23,2.4,2.4,2.4,2.4,2.33,12.0,3.0,28.0,12.0,100.0,0.0,0.0
2015-09-24,2.36,2.36,2.36,2.36,2.3,10.0,1.0,23.0,10.0,100.0,0.0,0.0
2015-09-28,2.32,2.32,2.32,2.32,2.3,10.0,1.0,23.0,10.0,100.0,0.0,0.0
2015-09-29,2.28,2.28,2.28,2.28,2.2,10.0,1.0,22.0,10.0,100.0,0.0,0.0
2015-09-30,2.24,2.24,2.24,2.24,2.2,10.0,1.0,22.0,10.0,100.0,0.0,0.0
2015-10-06,2.2,2.2,2.2,2.2,2.2,500.0,2.0,1100.0,500.0,100.0,0.0,0.0
2015-10-07,2.16,2.16,2.16,2.16,2.16,1075.0,4.0,2322.0,1075.0,100.0,0.0,0.0
2015-10-09,2.16,2.16,2.16,2.16,2.1,10.0,1.0,21.0,10.0,100.0,0.0,0.0
2015-10-20,2.2,2.2,2.12,2.12,2.2,117.0,2.0,257.0,117.0,100.0,0.08,-0.08
2015-10-21,2.08,2.08,2.08,2.08,2.08,1000.0,1.0,2080.0,1000.0,100.0,0.0,0.0
2015-11-16,2.1,2.1,2.08,2.08,2.08,11550.0,4.0,24044.0,11550.0,100.0,0.02,-0.02
2015-11-18,2.1,2.1,2.1,2.1,2.08,25.0,1.0,52.0,25.0,100.0,0.0,0.0
2015-11-20,2.2,2.2,2.2,2.2,2.2,25.0,1.0,55.0,25.0,100.0,0.0,0.0
2015-11-24,2.31,2.31,2.31,2.31,2.28,25.0,1.0,57.0,25.0,100.0,0.0,0.0
2015-11-26,2.31,2.31,2.31,2.31,2.3,50.0,1.0,115.0,50.0,100.0,0.0,0.0
2015-11-27,2.31,2.31,2.31,2.31,2.0,3.0,1.0,6.0,3.0,100.0,0.0,0.0
2015-12-01,2.38,2.38,2.38,2.38,2.38,542.0,3.0,1289.0,542.0,100.0,0.0,0.0
2015-12-02,2.38,2.45,2.38,2.45,2.39,105.0,2.0,251.0,105.0,100.0,0.07,0.07
2015-12-08,2.5,2.5,2.5,2.5,2.5,100.0,1.0,250.0,100.0,100.0,0.0,0.0
2015-12-09,2.55,2.55,2.55,2.55,2.33,3.0,1.0,7.0,3.0,100.0,0.0,0.0
2015-12-10,2.59,2.59,2.59,2.59,2.59,100.0,1.0,259.0,100.0,100.0,0.0,0.0
2015-12-11,2.64,2.64,2.64,2.64,2.64,100.0,1.0,264.0,100.0,100.0,0.0,0.0
2015-12-17,2.51,2.51,2.51,2.51,2.51,163.0,2.0,409.0,163.0,100.0,0.0,0.0
2015-12-21,2.63,2.63,2.63,2.63,2.63,100.0,3.0,263.0,100.0,100.0,0.0,0.0
2015-12-24,2.75,2.75,2.75,2.75,2.75,32040.0,4.0,88110.0,32040.0,100.0,0.0,0.0
2015-12-28,2.88,2.88,2.88,2.88,2.88,1000.0,2.0,2880.0,1000.0,100.0,0.0,0.0
2015-12-29,2.88,2.88,2.88,2.88,2.88,175.0,3.0,504.0,175.0,100.0,0.0,0.0
2015-12-30,2.95,2.95,2.95,2.95,2.91,11.0,1.0,32.0,11.0,100.0,0.0,0.0
2016-01-01,2.95,3.05,2.95,3.05,2.98,360.0,2.0,1072.0,360.0,100.0,0.1,0.1
2016-01-20,3.17,3.17,3.17,3.17,3.0,1.0,1.0,3.0,1.0,100.0,0.0,0.0
2016-01-29,3.17,3.17,3.17,3.17,3.17,7000.0,11.0,22190.0,7000.0,100.0,0.0,0.0
2016-02-03,3.02,3.02,3.02,3.02,3.02,100.0,1.0,302.0,100.0,100.0,0.0,0.0
2016-02-09,3.02,3.02,3.02,3.02,3.02,1000.0,1.0,3020.0,1000.0,100.0,0.0,0.0
2016-02-10,3.0,3.0,3.0,3.0,3.0,250.0,1.0,750.0,250.0,100.0,0.0,0.0
2016-02-11,2.99,2.99,2.99,2.99,2.99,500.0,1.0,1495.0,500.0,100.0,0.0,0.0
2016-02-12,2.97,2.98,2.85,2.95,2.8,5.0,4.0,14.0,5.0,100.0,0.13,-0.02
2016-02-18,2.96,2.96,2.96,2.96,2.95,110.0,2.0,325.0,110.0,100.0,0.0,0.0
2016-02-23,2.9,2.9,2.9,2.9,2.9,100.0,2.0,290.0,100.0,100.0,0.0,0.0
2016-02-24,2.76,2.76,2.76,2.76,2.76,2000.0,1.0,5520.0,2000.0,100.0,0.0,0.0
2016-02-25,2.76,2.76,2.74,2.74,2.76,600.0,3.0,1654.0,600.0,100.0,0.02,-0.02
2016-02-26,2.74,2.74,2.74,2.74,2.73,120.0,2.0,328.0,120.0,100.0,0.0,0.0
2016-03-10,2.86,2.86,2.86,2.86,2.0,1.0,1.0,2.0,1.0,100.0,0.0,0.0
2016-03-14,2.85,2.85,2.85,2.85,2.84,88.0,1.0,250.0,88.0,100.0,0.0,0.0
2016-03-15,2.71,2.85,2.71,2.85,2.78,18050.0,9.0,50167.0,18050.0,100.0,0.14,0.14
2016-03-22,2.71,2.71,2.71,2.71,2.71,200.0,2.0,542.0,200.0,100.0,0.0,0.0
2016-04-11,2.71,2.71,2.71,2.71,2.57,7.0,1.0,18.0,7.0,100.0,0.0,0.0
2016-04-20,2.61,2.61,2.61,2.61,2.61,24357.0,7.0,63571.0,24357.0,100.0,0.0,0.0
2016-04-21,2.61,2.61,2.61,2.61,2.5,8.0,1.0,20.0,8.0,100.0,0.0,0.0
2016-04-22,2.73,2.73,2.61,2.61,2.63,600.0,2.0,1578.0,600.0,100.0,0.12,-0.12
2016-04-28,2.48,2.48,2.48,2.48,2.48,5647.0,14.0,14004.0,5647.0,100.0,0.0,0.0
2016-05-05,2.36,2.36,2.36,2.36,2.36,100.0,1.0,236.0,100.0,100.0,0.0,0.0
2016-05-06,2.25,2.25,2.25,2.25,2.25,105.0,2.0,236.0,105.0,100.0,0.0,0.0
2016-05-11,2.14,2.14,2.14,2.14,2.1,10.0,1.0,21.0,10.0,100.0,0.0,0.0
2016-05-13,2.04,2.04,2.04,2.04,2.04,1000.0,1.0,2040.0,1000.0,100.0,0.0,0.0
2016-05-16,1.94,1.94,1.94,1.94,1.93,30.0,2.0,58.0,30.0,100.0,0.0,0.0
2016-05-17,1.95,1.95,1.85,1.85,1.9,2000.0,3.0,3800.0,2000.0,100.0,0.1,-0.1
2016-05-18,1.76,1.76,1.76,1.76,1.76,50.0,1.0,88.0,50.0,100.0,0.0,0.0
2016-05-19,1.74,1.74,1.74,1.74,1.74,500.0,1.0,870.0,500.0,100.0,0.0,0.0
2016-05-27,1.74,1.74,1.74,1.74,1.74,500.0,1.0,870.0,500.0,100.0,0.0,0.0
2016-06-16,1.66,1.66,1.66,1.66,1.5,2.0,1.0,3.0,2.0,100.0,0.0,0.0
2016-07-08,1.66,1.66,1.66,1.66,1.66,550.0,1.0,913.0,550.0,100.0,0.0,0.0
2016-07-11,1.66,1.66,1.66,1.66,1.66,550.0,2.0,913.0,550.0,100.0,0.0,0.0
2016-07-12,1.66,1.66,1.66,1.66,1.66,2000.0,1.0,3320.0,2000.0,100.0,0.0,0.0
2016-07-19,1.63,1.63,1.58,1.63,1.62,1325.0,4.0,2144.0,1325.0,100.0,0.05,0.0
2016-07-20,1.57,1.57,1.55,1.55,1.56,1235.0,4.0,1922.0,1235.0,100.0,0.02,-0.02
2016-07-21,1.5,1.5,1.48,1.48,1.49,1584.0,4.0,2364.0,1584.0,100.0,0.02,-0.02
2016-07-22,1.48,1.48,1.43,1.43,1.44,1600.0,4.0,2303.0,1600.0,100.0,0.05,-0.05
2016-07-25,1.38,1.38,1.36,1.36,1.37,31165.0,14.0,42551.0,30308.0,97.25,0.02,-0.02
2016-07-26,1.31,1.31,1.3,1.3,1.3,3245.0,7.0,4220.0,3245.0,100.0,0.01,-0.01
2016-07-27,1.24,1.24,1.24,1.24,1.24,811.0,3.0,1005.0,811.0,100.0,0.0,0.0
2016-07-28,1.18,1.19,1.18,1.18,1.18,33250.0,11.0,39333.0,33250.0,100.0,0.01,0.0
2016-07-29,1.17,1.17,1.17,1.17,1.17,62209.0,10.0,72784.0,62209.0,100.0,0.0,0.0
2016-08-01,1.22,1.22,1.22,1.22,1.22,37428.0,12.0,45662.0,37428.0,100.0,0.0,0.0
2016-08-02,1.27,1.27,1.18,1.18,1.19,10725.0,4.0,12790.0,10725.0,100.0,0.09,-0.09
2016-08-08,1.19,1.23,1.19,1.23,1.2,83687.0,11.0,100795.0,83687.0,100.0,0.04,0.04
2016-08-09,1.17,1.17,1.17,1.17,1.17,1600.0,4.0,1872.0,1600.0,100.0,0.0,0.0
2016-08-12,1.16,1.16,1.16,1.16,1.16,1500.0,3.0,1740.0,1500.0,100.0,0.0,0.0
2016-08-16,1.15,1.15,1.15,1.15,1.15,2400.0,6.0,2760.0,2400.0,100.0,0.0,0.0
