Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,50.0,52.0,48.0,51.9,51.9157303371,178.0,22.0,9241.0,175.0,98.31,4.0,1.9
2015-04-06,57.05,57.05,51.8,55.4,55.6685878963,347.0,22.0,19317.0,231.0,66.57,5.25,-1.65
2015-04-07,50.15,52.9,49.9,50.55,50.4470284238,387.0,19.0,19523.0,265.0,68.48,3.0,0.4
2015-04-08,47.55,51.85,45.5,51.85,47.6064516129,310.0,16.0,14758.0,310.0,100.0,6.35,4.3
2015-04-09,53.0,53.0,49.0,49.05,49.7209302326,430.0,18.0,21380.0,405.0,94.19,4.0,-3.95
2015-04-10,51.95,51.95,49.0,50.05,49.9064220183,545.0,20.0,27199.0,525.0,96.33,2.95,-1.9
2015-04-13,46.0,49.9,46.0,49.9,48.251396648,358.0,10.0,17274.0,258.0,72.07,3.9,3.9
2015-04-15,50.0,51.9,50.0,50.05,51.1573604061,1182.0,12.0,60468.0,1182.0,100.0,1.9,0.05
2015-04-16,46.8,54.5,46.8,48.45,50.0834298957,863.0,18.0,43222.0,141.0,16.34,7.7,1.65
2015-04-17,43.7,43.7,43.7,43.7,43.0,1.0,2.0,43.0,1.0,100.0,0.0,0.0
2015-04-20,43.7,48.05,39.35,42.15,40.5179310345,10150.0,135.0,411257.0,8141.0,80.21,8.7,-1.55
2015-04-21,43.8,43.85,43.45,43.65,43.7684210526,95.0,6.0,4158.0,85.0,89.47,0.4,-0.15
2015-04-22,45.9,45.9,44.5,44.5,45.32,25.0,6.0,1133.0,25.0,100.0,1.4,-1.4
2015-04-23,43.85,43.85,43.85,43.85,43.7777777778,9.0,2.0,394.0,9.0,100.0,0.0,0.0
2015-04-24,40.1,40.1,39.5,39.5,39.6401869159,214.0,12.0,8483.0,214.0,100.0,0.6,-0.6
2015-04-27,39.4,39.4,36.75,36.75,38.2375,80.0,8.0,3059.0,80.0,100.0,2.65,-2.65
2015-04-28,36.75,40.0,36.75,40.0,36.9023809524,420.0,14.0,15499.0,400.0,95.24,3.25,3.25
2015-04-30,43.65,43.65,43.65,43.65,43.6,10.0,4.0,436.0,0.0,0.0,0.0,0.0
2015-05-04,46.9,46.95,39.3,43.0,45.1951219512,1804.0,31.0,81532.0,1550.0,85.92,7.65,-3.9
2015-05-05,44.9,44.9,38.9,43.0,39.5392156863,204.0,14.0,8066.0,197.0,96.57,6.0,-1.9
2015-05-06,45.85,45.85,38.7,43.9,38.9707317073,205.0,14.0,7989.0,198.0,96.59,7.15,-1.95
2015-05-07,48.0,48.0,48.0,48.0,48.0,1.0,2.0,48.0,1.0,100.0,0.0,0.0
2015-05-08,52.8,52.8,43.2,43.2,44.4875776398,644.0,18.0,28650.0,642.0,99.69,9.6,-9.6
2015-05-11,42.0,47.5,38.9,39.65,41.2986111111,720.0,18.0,29735.0,677.0,94.03,8.6,-2.35
2015-05-12,38.0,38.0,35.7,35.7,37.7509246746,56236.0,69.0,2122961.0,55716.0,99.08,2.3,-2.3
2015-05-13,34.0,38.5,34.0,38.5,38.3152,625.0,10.0,23947.0,625.0,100.0,4.5,4.5
2015-05-14,41.65,41.65,41.65,41.65,41.5,4.0,1.0,166.0,4.0,100.0,0.0,0.0
2015-05-20,39.0,45.7,39.0,45.55,39.5939393939,165.0,3.0,6533.0,165.0,100.0,6.7,6.55
2015-05-21,41.0,44.85,41.0,44.85,41.0664335664,286.0,5.0,11745.0,276.0,96.5,3.85,3.85
2015-05-22,40.45,47.95,40.4,46.9,45.0152098966,24655.0,23.0,1109850.0,24200.0,98.15,7.55,6.45
2015-05-25,42.4,49.3,42.4,49.3,45.5,2.0,2.0,91.0,1.0,50.0,6.9,6.9
2015-05-26,44.4,44.4,44.4,44.4,44.0,1.0,1.0,44.0,1.0,100.0,0.0,0.0
2015-05-27,47.8,47.9,40.0,40.0,40.5451062348,2871.0,18.0,116405.0,2269.0,79.03,7.9,-7.8
2015-05-28,40.1,43.5,40.1,43.5,40.1407407407,405.0,3.0,16257.0,405.0,100.0,3.4,3.4
2015-06-02,39.3,39.3,39.15,39.15,39.18,260.0,4.0,10188.0,204.0,78.46,0.15,-0.15
2015-06-03,39.15,39.15,39.15,39.15,39.15,100.0,1.0,3915.0,100.0,100.0,0.0,0.0
2015-06-04,39.0,39.0,39.0,39.0,39.0,4.0,2.0,156.0,4.0,100.0,0.0,0.0
2015-06-05,38.0,38.0,38.0,38.0,38.0,200.0,1.0,7600.0,200.0,100.0,0.0,0.0
2015-06-08,34.0,44.95,34.0,44.95,41.29,258.0,7.0,10652.0,219.0,84.88,10.95,10.95
2015-06-09,50.9,50.9,45.85,45.9,46.86,50.0,3.0,2343.0,50.0,100.0,5.05,-5.0
2015-06-12,38.0,38.0,38.0,38.0,38.0,100.0,1.0,3800.0,100.0,100.0,0.0,0.0
2015-06-17,36.0,44.95,36.0,44.95,36.08,101.0,2.0,3644.0,101.0,100.0,8.95,8.95
2015-06-18,51.0,51.0,40.0,47.0,40.76,343.0,13.0,13979.0,323.0,94.17,11.0,-4.0
2015-06-19,48.0,48.0,41.0,41.9,44.87,155.0,4.0,6955.0,155.0,100.0,7.0,-6.1
2015-06-22,46.95,46.95,36.15,37.6,40.2,1220.0,12.0,49048.0,559.0,45.82,10.8,-9.35
2015-06-23,37.6,37.6,37.1,37.1,37.1,100.0,2.0,3710.0,100.0,100.0,0.5,-0.5
2015-06-24,42.0,42.0,42.0,42.0,42.0,75.0,2.0,3150.0,75.0,100.0,0.0,0.0
