Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-20,10.02,10.52,10.02,10.52,10.4389067524,622.0,10.0,6493.0,622.0,100.0,0.5,0.5
2015-04-21,11.04,11.04,11.04,11.04,11.04,1300.0,4.0,14352.0,1300.0,100.0,0.0,0.0
2015-04-22,11.59,11.59,11.59,11.59,11.5897435897,78.0,2.0,904.0,78.0,100.0,0.0,0.0
2015-04-23,12.16,12.16,12.16,12.16,12.1584507042,284.0,9.0,3453.0,284.0,100.0,0.0,0.0
2015-04-24,12.76,12.76,12.76,12.76,12.76,925.0,13.0,11803.0,925.0,100.0,0.0,0.0
2015-04-27,13.39,13.39,13.39,13.39,13.39,100.0,2.0,1339.0,100.0,100.0,0.0,0.0
2015-04-28,14.05,14.05,14.05,14.05,14.0461538462,130.0,4.0,1826.0,130.0,100.0,0.0,0.0
2015-04-29,14.75,14.75,14.75,14.75,14.7491961415,622.0,6.0,9174.0,622.0,100.0,0.0,0.0
2015-04-30,15.48,15.48,15.48,15.48,15.4794871795,780.0,8.0,12074.0,780.0,100.0,0.0,0.0
2015-05-04,16.25,16.25,16.25,16.25,16.2498982499,2457.0,12.0,39926.0,2457.0,100.0,0.0,0.0
2015-05-05,17.05,17.05,17.05,17.05,17.0497737557,663.0,6.0,11304.0,663.0,100.0,0.0,0.0
2015-05-06,17.9,17.9,17.9,17.9,17.8989547038,574.0,7.0,10274.0,574.0,100.0,0.0,0.0
2015-05-07,18.75,18.75,17.1,18.3,18.463180189,12276.0,89.0,226654.0,12276.0,100.0,1.65,-0.45
2015-05-08,18.0,19.2,18.0,19.0,18.5591511936,7540.0,44.0,139936.0,7540.0,100.0,1.2,1.0
2015-05-11,19.5,19.5,18.05,18.5,18.8844731978,2164.0,17.0,40866.0,2164.0,100.0,1.45,-1.0
2015-05-12,17.6,17.6,17.6,17.6,17.0,1.0,1.0,17.0,1.0,100.0,0.0,0.0
2015-05-14,17.5,17.5,17.5,17.5,17.5,1000.0,1.0,17500.0,1000.0,100.0,0.0,0.0
2015-05-15,17.0,17.0,16.65,16.65,16.9257503949,633.0,5.0,10714.0,633.0,100.0,0.35,-0.35
2015-05-18,15.85,15.85,15.85,15.85,15.8492063492,756.0,6.0,11982.0,756.0,100.0,0.0,0.0
2015-05-19,15.1,15.1,15.1,15.1,15.1,50.0,1.0,755.0,50.0,100.0,0.0,0.0
2015-05-21,14.35,14.35,14.35,14.35,14.0,1.0,1.0,14.0,1.0,100.0,0.0,0.0
2015-05-22,13.65,13.65,13.65,13.65,13.0,1.0,1.0,13.0,1.0,100.0,0.0,0.0
2015-05-25,13.0,13.0,13.0,13.0,13.0,1.0,1.0,13.0,1.0,100.0,0.0,0.0
2015-05-26,12.35,12.35,12.35,12.35,12.3396226415,53.0,2.0,654.0,53.0,100.0,0.0,0.0
2015-05-27,11.75,11.75,11.75,11.75,11.0,1.0,1.0,11.0,1.0,100.0,0.0,0.0
2015-05-28,11.2,11.2,11.2,11.2,11.2,10.0,2.0,112.0,10.0,100.0,0.0,0.0
2015-05-29,10.65,10.7,10.65,10.65,10.6550290939,2406.0,12.0,25636.0,2406.0,100.0,0.05,0.0
2015-06-01,10.12,10.15,10.12,10.13,10.1302854123,3784.0,12.0,38333.0,3784.0,100.0,0.03,0.01
2015-06-02,10.13,10.13,9.93,9.93,10.0,10.0,2.0,100.0,10.0,100.0,0.2,-0.2
2015-06-03,9.74,9.74,9.74,9.74,9.73333333333,15.0,3.0,146.0,15.0,100.0,0.0,0.0
2015-06-04,9.7,9.7,9.55,9.55,9.56776556777,819.0,5.0,7836.0,819.0,100.0,0.15,-0.15
2015-06-05,9.36,9.36,9.36,9.36,9.33333333333,15.0,2.0,140.0,15.0,100.0,0.0,0.0
2015-06-08,9.18,9.18,9.18,9.18,9.13333333333,15.0,2.0,137.0,15.0,100.0,0.0,0.0
2015-06-09,9.0,9.0,9.0,9.0,9.0,15.0,2.0,135.0,15.0,100.0,0.0,0.0
2015-06-11,9.18,9.18,9.18,9.18,9.16666666667,6.0,2.0,55.0,6.0,100.0,0.0,0.0
2015-06-12,9.15,9.18,9.15,9.18,9.17171717172,99.0,3.0,908.0,99.0,100.0,0.03,0.03
2015-06-15,9.0,9.0,9.0,9.0,9.0,44.0,4.0,396.0,44.0,100.0,0.0,0.0
2015-06-16,9.0,9.0,8.82,8.82,8.84705882353,170.0,6.0,1504.0,170.0,100.0,0.18,-0.18
2015-06-18,8.65,8.65,8.65,8.65,8.65,120.0,4.0,1038.0,120.0,100.0,0.0,0.0
2015-06-19,8.48,8.48,8.48,8.48,8.46153846154,26.0,2.0,220.0,26.0,100.0,0.0,0.0
2015-06-22,8.32,8.32,8.32,8.32,8.3064516129,62.0,2.0,515.0,62.0,100.0,0.0,0.0
2015-06-23,8.17,8.17,8.16,8.16,8.16666666667,372.0,4.0,3038.0,372.0,100.0,0.01,-0.01
2015-06-29,8.2,8.2,8.0,8.0,8.0,26.0,2.0,208.0,26.0,100.0,0.2,-0.2
2015-07-03,8.16,8.16,8.16,8.16,8.15983393876,1927.0,6.0,15724.0,1927.0,100.0,0.0,0.0
2015-07-06,8.32,8.32,8.0,8.07,8.07443682664,1021.0,8.0,8244.0,1021.0,100.0,0.32,-0.25
2015-07-07,8.23,8.23,7.92,8.05,8.05413400385,6761.0,18.0,54454.0,6761.0,100.0,0.31,-0.18
2015-07-08,8.0,8.07,7.89,7.89,7.97815333883,2426.0,18.0,19355.0,2426.0,100.0,0.18,-0.11
2015-07-09,7.75,8.04,7.75,8.04,8.03790613718,5540.0,3.0,44530.0,5540.0,100.0,0.29,0.29
2015-07-10,8.2,8.2,7.9,8.2,8.19309671117,3071.0,6.0,25161.0,3071.0,100.0,0.3,0.0
2015-07-13,8.36,8.36,8.36,8.36,8.35998484274,5278.0,7.0,44124.0,5278.0,100.0,0.0,0.0
2015-07-14,8.52,8.52,8.52,8.52,8.5,2.0,1.0,17.0,2.0,100.0,0.0,0.0
2015-07-15,8.69,8.69,8.69,8.69,8.6,5.0,1.0,43.0,5.0,100.0,0.0,0.0
2015-07-16,8.86,8.86,8.86,8.86,8.0,1.0,1.0,8.0,1.0,100.0,0.0,0.0
2015-07-17,8.7,8.7,8.7,8.7,8.6975308642,162.0,4.0,1409.0,162.0,100.0,0.0,0.0
2015-07-20,8.87,8.87,8.87,8.87,8.86865671642,335.0,3.0,2971.0,335.0,100.0,0.0,0.0
2015-07-21,9.04,9.04,9.04,9.04,9.0395480226,177.0,2.0,1600.0,177.0,100.0,0.0,0.0
2015-07-22,9.2,9.2,8.86,9.2,9.14622641509,848.0,9.0,7756.0,848.0,100.0,0.34,0.0
2015-07-23,9.38,9.38,9.03,9.03,9.20192307692,104.0,2.0,957.0,104.0,100.0,0.35,-0.35
2015-07-24,9.21,9.21,9.21,9.21,9.20825515947,533.0,4.0,4908.0,533.0,100.0,0.0,0.0
2015-07-28,9.39,9.39,9.39,9.39,9.38461538462,39.0,1.0,366.0,39.0,100.0,0.0,0.0
2015-07-30,9.3,9.57,9.3,9.57,9.3023255814,43.0,2.0,400.0,43.0,100.0,0.27,0.27
2015-07-31,9.76,9.76,9.76,9.76,9.75979112272,383.0,1.0,3738.0,383.0,100.0,0.0,0.0
2015-08-03,9.95,9.95,9.95,9.95,9.95,824.0,5.0,8198.0,824.0,100.0,0.0,0.0
2015-08-04,10.14,10.14,10.14,10.14,10.14,286.0,2.0,2900.0,286.0,100.0,0.0,0.0
2015-08-05,10.34,10.34,10.34,10.34,10.34,504.0,2.0,5211.0,504.0,100.0,0.0,0.0
2015-08-06,10.54,10.54,10.54,10.54,10.54,26.0,1.0,274.0,26.0,100.0,0.0,0.0
2015-08-07,11.06,11.06,11.06,11.06,11.06,753.0,3.0,8328.0,753.0,100.0,0.0,0.0
2015-08-10,11.61,11.61,11.61,11.61,11.6,50.0,1.0,580.0,50.0,100.0,0.0,0.0
2015-08-11,12.19,12.19,12.19,12.19,12.19,3097.0,13.0,37752.0,3097.0,100.0,0.0,0.0
2015-08-12,11.61,11.75,11.6,11.75,11.64,485.0,7.0,5643.0,485.0,100.0,0.15,0.14
2015-08-13,12.0,12.33,12.0,12.01,12.07,2435.0,11.0,29397.0,2435.0,100.0,0.33,0.01
2015-08-14,12.6,12.6,11.42,11.42,12.49,560.0,9.0,6994.0,560.0,100.0,1.18,-1.18
2015-08-19,11.3,11.99,11.0,11.99,11.55,379.0,4.0,4378.0,379.0,100.0,0.99,0.69
2015-08-24,11.43,11.43,11.4,11.4,11.42,2246.0,5.0,25641.0,2246.0,100.0,0.03,-0.03
2015-08-25,11.4,11.4,11.4,11.4,11.4,100.0,1.0,1140.0,100.0,100.0,0.0,0.0
2015-08-28,11.0,11.0,11.0,11.0,11.0,100.0,3.0,1100.0,100.0,100.0,0.0,0.0
2015-08-31,10.45,11.55,10.45,10.45,10.47,178.0,9.0,1864.0,178.0,100.0,1.1,0.0
2015-09-02,9.95,9.95,9.95,9.95,9.95,500.0,2.0,4975.0,500.0,100.0,0.0,0.0
2015-09-04,10.44,10.44,10.44,10.44,10.0,1.0,1.0,10.0,1.0,100.0,0.0,0.0
2015-09-11,10.5,10.5,10.5,10.5,10.33,3.0,3.0,31.0,3.0,100.0,0.0,0.0
2015-09-21,10.99,10.99,10.99,10.99,10.5,2.0,2.0,21.0,2.0,100.0,0.0,0.0
2015-09-23,10.99,11.5,10.99,11.5,11.35,26.0,4.0,295.0,26.0,100.0,0.51,0.51
2015-10-05,11.0,11.0,11.0,11.0,11.0,350.0,1.0,3850.0,350.0,100.0,0.0,0.0
2015-10-06,11.0,11.0,10.45,10.45,10.72,129.0,2.0,1383.0,129.0,100.0,0.55,-0.55
2015-10-09,10.5,10.97,10.5,10.97,10.65,69.0,2.0,735.0,69.0,100.0,0.47,0.47
2015-10-12,11.0,11.0,11.0,11.0,11.0,145.0,1.0,1595.0,145.0,100.0,0.0,0.0
2015-10-15,11.55,11.55,10.45,10.45,11.08,234.0,5.0,2592.0,234.0,100.0,1.1,-1.1
2015-10-21,9.93,9.93,9.93,9.93,9.92,51.0,5.0,506.0,51.0,100.0,0.0,0.0
2015-10-23,10.0,10.42,9.46,10.42,10.26,302.0,8.0,3100.0,302.0,100.0,0.96,0.42
2015-10-27,10.94,10.94,10.94,10.94,10.94,250.0,1.0,2735.0,250.0,100.0,0.0,0.0
