Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,11.8,11.8,11.8,11.8,11.8,12000.0,4.0,141600.0,12000.0,100.0,0.0,0.0
2015-04-06,11.8,11.8,11.8,11.8,11.8,6000.0,2.0,70800.0,6000.0,100.0,0.0,0.0
2015-04-16,11.2,12.0,9.44,11.45,10.3202777778,216000.0,68.0,2229180.0,102000.0,47.22,2.56,0.25
2015-04-21,11.2,11.2,11.2,11.2,11.2,6000.0,2.0,67200.0,6000.0,100.0,0.0,0.0
2015-04-30,11.1,13.43,11.1,12.27,12.265,12000.0,4.0,147180.0,12000.0,100.0,2.33,1.17
2015-05-04,11.1,11.1,10.25,10.25,10.675,12000.0,4.0,128100.0,6000.0,50.0,0.85,-0.85
2015-05-05,11.1,12.3,11.1,11.7,11.7,12000.0,4.0,140400.0,12000.0,100.0,1.2,0.6
2015-05-06,11.1,11.1,11.1,11.1,11.1,6000.0,2.0,66600.0,6000.0,100.0,0.0,0.0
2015-05-07,11.1,11.1,11.1,11.1,11.1,6000.0,2.0,66600.0,6000.0,100.0,0.0,0.0
2015-05-22,10.3,10.3,9.0,9.0,9.5375,24000.0,4.0,228900.0,0.0,0.0,1.3,-1.3
2015-05-25,10.0,10.8,8.0,9.62,8.91666666667,54000.0,9.0,481500.0,24000.0,44.44,2.8,-0.38
2015-05-26,8.4,11.39,8.4,10.09,9.476,30000.0,5.0,284280.0,18000.0,60.0,2.99,1.69
2015-05-27,9.25,10.3,9.25,10.3,9.856,30000.0,5.0,295680.0,24000.0,80.0,1.05,1.05
2015-05-28,10.2,10.2,10.2,10.2,10.2,6000.0,1.0,61200.0,6000.0,100.0,0.0,0.0
2015-06-02,9.5,9.5,9.5,9.5,9.5,12000.0,2.0,114000.0,6000.0,50.0,0.0,0.0
2015-06-03,9.5,9.5,9.5,9.5,9.5,6000.0,1.0,57000.0,6000.0,100.0,0.0,0.0
