Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,13.8,15.0,13.75,14.79,14.5598244923,17777.0,141.0,258830.0,14160.0,79.65,1.25,0.99
2015-04-06,14.5,15.0,14.5,14.83,14.8031593099,17852.0,130.0,264266.0,13382.0,74.96,0.5,0.33
2015-04-07,14.86,15.4,14.01,15.14,14.8329911673,41890.0,216.0,621354.0,30119.0,71.9,1.39,0.28
2015-04-08,14.9,15.62,14.9,15.62,15.4125028694,13069.0,77.0,201426.0,12004.0,91.85,0.72,0.72
2015-04-09,15.74,15.74,15.03,15.29,15.269010989,6825.0,84.0,104211.0,5984.0,87.68,0.71,-0.45
2015-04-10,15.11,15.3,14.85,15.05,15.0392449081,10065.0,83.0,151370.0,9565.0,95.03,0.45,-0.06
2015-04-13,14.46,15.4,14.46,14.99,14.9070005586,21484.0,204.0,320262.0,19475.0,90.65,0.94,0.53
2015-04-15,15.0,15.4,14.6,14.87,15.0007772884,27017.0,172.0,405276.0,19852.0,73.48,0.8,-0.13
2015-04-16,15.38,15.38,14.75,15.02,14.9549614993,13766.0,132.0,205870.0,8814.0,64.03,0.63,-0.36
2015-04-17,14.99,15.49,14.99,15.25,15.2778961015,10799.0,64.0,164986.0,8875.0,82.18,0.5,0.26
2015-04-20,14.93,15.0,14.3,14.69,14.5567320261,7650.0,80.0,111359.0,6415.0,83.86,0.7,-0.24
2015-04-21,15.15,15.2,13.6,14.84,14.6210950797,38189.0,249.0,558365.0,27204.0,71.24,1.6,-0.31
2015-04-22,14.85,14.85,14.41,14.84,14.74925015,1667.0,62.0,24587.0,1378.0,82.66,0.44,-0.01
2015-04-23,15.0,15.0,14.51,14.69,14.8083758578,5683.0,97.0,84156.0,4998.0,87.95,0.49,-0.31
2015-04-24,15.15,15.15,13.71,14.09,14.4554429029,11244.0,66.0,162537.0,8300.0,73.82,1.44,-1.06
2015-04-27,14.41,14.41,13.73,14.0,13.98851796,29176.0,134.0,408129.0,14383.0,49.3,0.68,-0.41
2015-04-28,14.4,14.42,13.75,13.94,13.996750943,26777.0,101.0,374791.0,17291.0,64.57,0.67,-0.46
2015-04-29,14.47,14.47,13.6,13.88,13.8651610057,56675.0,172.0,785808.0,31387.0,55.38,0.87,-0.59
2015-04-30,13.98,14.0,13.65,13.99,13.9506477483,3242.0,34.0,45228.0,2931.0,90.41,0.35,0.01
2015-05-04,13.8,13.8,13.01,13.25,13.2990296894,37926.0,134.0,504379.0,32620.0,86.01,0.79,-0.55
2015-05-05,13.68,13.68,13.55,13.55,13.5532591415,2516.0,23.0,34100.0,2516.0,100.0,0.13,-0.13
2015-05-06,13.2,13.2,12.94,13.07,13.0478244905,10894.0,61.0,142143.0,9794.0,89.9,0.26,-0.13
2015-05-07,13.39,13.98,12.63,13.29,13.2312092686,27620.0,116.0,365446.0,15265.0,55.27,1.35,-0.1
2015-05-08,13.17,13.3,12.5,12.84,12.72798985,36256.0,122.0,461466.0,29756.0,82.07,0.8,-0.33
