Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,645.0,663.25,641.5,649.25,652.187447079,9448.0,801.0,6161867.0,3818.0,40.41,21.75,4.25
2015-04-06,655.75,658.0,645.0,653.25,650.572651694,8059.0,567.0,5242965.0,4692.0,58.22,13.0,-2.5
2015-04-07,653.0,783.75,653.0,783.75,740.141947634,82305.0,8597.0,60917383.0,14363.0,17.45,130.75,130.75
2015-04-08,810.5,874.0,794.75,816.5,839.139936969,159286.0,16031.0,133663244.0,24460.0,15.36,79.25,6.0
2015-04-09,814.75,836.75,772.75,812.75,810.489319521,71626.0,6968.0,58052108.0,9556.0,13.34,64.0,-2.0
2015-04-10,819.75,835.25,802.0,808.75,819.539434276,27045.0,3028.0,22164444.0,5324.0,19.69,33.25,-11.0
2015-04-13,815.0,840.0,802.0,809.5,818.427452952,27844.0,3375.0,22788294.0,6686.0,24.01,38.0,-5.5
2015-04-15,814.75,828.0,786.0,794.75,807.475254102,15053.0,1500.0,12154925.0,6188.0,41.11,42.0,-20.0
2015-04-16,793.0,802.0,770.0,779.0,782.420706164,18381.0,1752.0,14381675.0,7360.0,40.04,32.0,-14.0
2015-04-17,775.75,789.0,751.25,763.25,775.037460899,13107.0,1493.0,10158416.0,3864.0,29.48,37.75,-12.5
2015-04-20,761.0,763.5,712.0,725.0,735.955045199,8186.0,882.0,6024528.0,3252.0,39.73,51.5,-36.0
2015-04-21,725.0,736.0,707.0,709.5,715.739520442,11594.0,1235.0,8298284.0,4586.0,39.55,29.0,-15.5
2015-04-22,712.0,726.25,690.0,707.25,708.686342593,9504.0,1429.0,6735355.0,3079.0,32.4,36.25,-4.75
2015-04-23,713.0,719.0,689.0,693.0,704.02342246,9350.0,1153.0,6582619.0,3728.0,39.87,30.0,-20.0
2015-04-24,696.25,696.25,663.75,673.5,674.924843222,10365.0,1093.0,6995596.0,4744.0,45.77,32.5,-22.75
2015-04-27,675.0,675.0,606.0,655.5,647.170238254,15026.0,2085.0,9724380.0,5091.0,33.88,69.0,-19.5
2015-04-28,635.0,669.0,631.0,661.5,656.8393289,6616.0,811.0,4345649.0,2299.0,34.75,38.0,26.5
2015-04-29,665.5,667.0,567.0,644.0,644.052481111,9794.0,1613.0,6307850.0,3336.0,34.06,100.0,-21.5
2015-04-30,652.25,681.0,644.0,659.25,664.527481218,12645.0,1329.0,8402950.0,4091.0,32.35,37.0,7.0
2015-05-04,670.0,764.75,669.0,738.75,734.575050961,52491.0,6121.0,38558579.0,10177.0,19.39,95.75,68.75
2015-05-05,740.0,750.5,718.0,719.5,730.330234261,13660.0,1943.0,9976311.0,3407.0,24.94,32.5,-20.5
2015-05-06,719.5,721.0,678.0,682.75,691.146535705,11301.0,1485.0,7810647.0,3753.0,33.21,43.0,-36.75
2015-05-07,675.0,693.75,653.5,672.75,673.922665458,11030.0,1061.0,7433367.0,3983.0,36.11,40.25,-2.25
2015-05-08,680.0,712.75,680.0,689.0,698.312004095,7814.0,1010.0,5456610.0,2961.0,37.89,32.75,9.0
2015-05-11,698.0,710.0,688.5,694.75,699.635463101,6057.0,340.0,4237692.0,1976.0,32.62,21.5,-3.25
2015-05-12,687.0,693.75,673.0,679.25,681.987920843,3891.0,325.0,2653615.0,1427.0,36.67,20.75,-7.75
2015-05-13,689.75,691.25,672.0,679.0,681.555579262,4687.0,316.0,3194451.0,1984.0,42.33,19.25,-10.75
2015-05-14,675.0,708.0,675.0,689.25,696.97272378,10412.0,466.0,7256880.0,3788.0,36.38,33.0,14.25
2015-05-15,690.0,703.5,684.0,693.5,692.630063446,6147.0,358.0,4257597.0,2258.0,36.73,19.5,3.5
2015-05-18,695.0,740.0,695.0,735.5,729.519072381,30961.0,1599.0,22586640.0,10053.0,32.47,45.0,40.5
