Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,348.05,348.85,341.35,343.75,343.674660853,28896.0,1897.0,9930823.0,6598.0,22.83,7.5,-4.3
2015-04-06,343.9,350.85,343.25,346.95,346.532028314,11443.0,773.0,3965366.0,4423.0,38.65,7.6,3.05
2015-04-07,347.0,367.9,342.15,362.85,355.943956944,59829.0,3686.0,21295771.0,14417.0,24.1,25.75,15.85
2015-04-08,369.0,381.7,369.0,373.7,377.060479415,78721.0,4081.0,29682578.0,29852.0,37.92,12.7,4.7
2015-04-09,375.7,376.5,363.0,366.8,367.675794294,31443.0,2355.0,11560830.0,4652.0,14.8,13.5,-8.9
2015-04-10,367.2,373.2,362.7,365.9,367.550297863,35419.0,2883.0,13018264.0,6810.0,19.23,10.5,-1.3
2015-04-13,367.45,376.6,366.0,368.85,371.578032505,18582.0,1487.0,6904663.0,3273.0,17.61,10.6,1.4
2015-04-15,369.85,370.15,361.0,363.15,364.718810718,22131.0,2381.0,8071592.0,4029.0,18.21,9.15,-6.7
2015-04-16,363.0,364.0,341.75,349.0,347.759690819,43211.0,2544.0,15027044.0,14761.0,34.16,22.25,-14.0
2015-04-17,350.35,355.0,342.85,346.7,348.058586224,16608.0,1371.0,5780557.0,2669.0,16.07,12.15,-3.65
2015-04-20,345.0,345.0,335.2,339.6,340.473460856,31576.0,3413.0,10750790.0,4271.0,13.53,9.8,-5.4
2015-04-21,337.0,338.4,330.1,333.55,334.154384462,14004.0,1500.0,4679498.0,3753.0,26.8,8.3,-3.45
2015-04-22,331.1,347.0,328.25,338.85,338.821408387,26541.0,1743.0,8992659.0,3017.0,11.37,18.75,7.75
2015-04-23,345.0,351.7,336.05,341.5,344.365932989,22444.0,2062.0,7728949.0,2662.0,11.86,15.65,-3.5
2015-04-24,340.0,340.0,327.1,328.8,331.694483966,18274.0,1436.0,6061385.0,4337.0,23.73,12.9,-11.2
2015-04-27,328.0,328.0,300.0,301.45,313.232965434,41225.0,2724.0,12913029.0,10836.0,26.29,28.0,-26.55
2015-04-28,300.0,319.4,294.0,318.05,311.209893048,34408.0,2680.0,10708110.0,9643.0,28.03,25.4,18.05
2015-04-29,320.0,333.0,320.0,324.65,326.202092812,32970.0,3065.0,10754883.0,9022.0,27.36,13.0,4.65
2015-04-30,320.2,320.2,310.05,313.55,314.36228867,31704.0,2310.0,9966542.0,7297.0,23.02,10.15,-6.65
2015-05-04,316.0,333.0,315.6,328.15,326.472602553,36737.0,2899.0,11993624.0,5172.0,14.08,17.4,12.15
2015-05-05,327.15,329.2,322.5,324.35,325.685353119,14556.0,1250.0,4740676.0,2697.0,18.53,6.7,-2.8
