Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,42.5,44.0,41.55,42.5,42.5724907063,269.0,14.0,11452.0,267.0,99.26,2.45,0.0
2015-04-06,40.6,44.95,40.6,43.15,43.1809290954,409.0,24.0,17661.0,408.0,99.76,4.35,2.55
2015-04-07,43.2,44.5,42.65,44.5,42.7916666667,24.0,8.0,1027.0,22.0,91.67,1.85,1.3
2015-04-08,44.5,46.25,43.9,43.9,44.2156862745,204.0,12.0,9020.0,202.0,99.02,2.35,-0.6
2015-04-09,48.85,48.85,43.6,44.5,45.2430167598,358.0,51.0,16197.0,253.0,70.67,5.25,-4.35
2015-04-10,47.0,47.0,45.0,45.75,45.8028169014,568.0,51.0,26016.0,544.0,95.77,2.0,-1.25
2015-04-13,46.95,48.95,45.25,47.0,46.9444444444,504.0,41.0,23660.0,432.0,85.71,3.7,0.05
2015-04-15,47.0,47.0,45.5,45.5,45.8409090909,528.0,68.0,24204.0,525.0,99.43,1.5,-1.5
2015-04-16,46.55,48.5,45.05,45.7,46.08,100.0,32.0,4608.0,17.0,17.0,3.45,-0.85
2015-04-17,46.15,46.9,44.0,44.05,45.4871794872,195.0,26.0,8870.0,143.0,73.33,2.9,-2.1
2015-04-20,42.15,47.75,42.15,43.0,42.8226466576,1466.0,42.0,62778.0,1066.0,72.71,5.6,0.85
2015-04-21,42.1,43.0,42.0,42.2,42.141634981,3156.0,32.0,132999.0,2678.0,84.85,1.0,0.1
2015-04-22,46.0,46.0,46.0,46.0,46.0,25.0,2.0,1150.0,25.0,100.0,0.0,0.0
2015-04-23,42.45,44.65,42.45,42.55,42.5483870968,248.0,16.0,10552.0,99.0,39.92,2.2,0.1
2015-04-24,42.0,44.85,39.4,43.05,43.3610547667,493.0,28.0,21377.0,302.0,61.26,5.45,1.05
2015-04-27,42.35,43.0,40.6,42.9,42.2118226601,609.0,20.0,25707.0,290.0,47.62,2.4,0.55
2015-04-28,41.0,41.0,40.05,40.4,40.48,150.0,7.0,6072.0,100.0,66.67,0.95,-0.6
2015-04-30,41.1,42.0,38.8,39.3,39.9133627019,681.0,52.0,27181.0,631.0,92.66,3.2,-1.8
2015-05-04,41.5,42.85,40.15,42.2,40.904315197,533.0,48.0,21802.0,492.0,92.31,2.7,0.7
2015-05-05,41.55,41.55,41.55,41.55,41.55,200.0,6.0,8310.0,200.0,100.0,0.0,0.0
2015-05-06,41.45,41.5,41.45,41.5,41.47,100.0,4.0,4147.0,100.0,100.0,0.05,0.05
2015-05-07,40.15,42.3,38.3,38.6,39.6477987421,159.0,15.0,6304.0,150.0,94.34,4.0,-1.55
2015-05-08,37.6,39.25,37.55,39.25,38.4428571429,420.0,10.0,16146.0,200.0,47.62,1.7,1.65
2015-05-12,39.8,40.05,39.8,40.0,39.9296187683,682.0,5.0,27232.0,682.0,100.0,0.25,0.2
2015-05-14,37.05,41.5,37.05,38.6,39.500665779,1502.0,33.0,59330.0,1042.0,69.37,4.45,1.55
2015-05-19,38.25,39.45,38.25,39.4,38.827,1000.0,4.0,38827.0,500.0,50.0,1.2,1.15
2015-05-20,40.0,42.3,40.0,42.2,40.98,350.0,11.0,14343.0,350.0,100.0,2.3,2.2
2015-05-21,40.0,40.0,40.0,40.0,40.0,100.0,2.0,4000.0,100.0,100.0,0.0,0.0
2015-05-22,40.0,40.0,40.0,40.0,40.0,85.0,1.0,3400.0,85.0,100.0,0.0,0.0
2015-05-25,40.65,40.9,40.65,40.9,40.775,400.0,6.0,16310.0,0.0,0.0,0.25,0.25
2015-05-27,39.1,39.6,39.05,39.6,39.4888888889,90.0,4.0,3554.0,5.0,5.56,0.55,0.5
2015-05-28,42.65,42.65,40.0,40.0,40.0257425743,505.0,3.0,20213.0,500.0,99.01,2.65,-2.65
2015-05-29,39.35,39.5,39.25,39.25,39.3986842105,760.0,7.0,29943.0,750.0,98.68,0.25,-0.1
2015-06-02,38.05,39.95,38.05,39.1,38.7834032355,3338.0,26.0,129459.0,1999.0,59.89,1.9,1.05
2015-06-03,38.2,40.5,38.2,39.75,39.0314341847,1018.0,13.0,39734.0,1008.0,99.02,2.3,1.55
2015-06-04,39.75,45.0,39.5,43.25,42.9871465296,389.0,15.0,16722.0,273.0,70.18,5.5,3.5
2015-06-05,42.5,43.5,42.5,43.5,42.7456790123,405.0,3.0,17312.0,405.0,100.0,1.0,1.0
2015-06-08,43.1,43.1,43.1,43.1,43.1,100.0,1.0,4310.0,100.0,100.0,0.0,0.0
2015-06-09,40.65,40.65,40.55,40.6,40.6044444444,225.0,4.0,9136.0,225.0,100.0,0.1,-0.05
2015-06-10,40.3,41.0,40.1,40.65,40.388034188,585.0,7.0,23627.0,550.0,94.02,0.9,0.35
2015-06-11,41.1,41.1,41.1,41.1,41.1,50.0,1.0,2055.0,50.0,100.0,0.0,0.0
2015-06-15,38.5,41.9,38.5,41.9,39.0666666667,120.0,2.0,4688.0,100.0,83.33,3.4,3.4
2015-06-18,38.15,40.65,38.15,39.1,39.2923076923,325.0,6.0,12770.0,225.0,69.23,2.5,0.95
2015-06-22,41.95,41.95,38.5,38.5,40.0,535.0,8.0,21400.0,330.0,61.68,3.45,-3.45
2015-06-23,40.0,41.6,40.0,41.3,40.6857142857,1400.0,8.0,56960.0,1400.0,100.0,1.6,1.3
2015-06-24,41.3,46.9,41.3,44.5,44.9774319066,3855.0,56.0,173388.0,2511.0,65.14,5.6,3.2
2015-06-25,43.2,45.0,43.2,43.7,43.4266666667,750.0,4.0,32570.0,750.0,100.0,1.8,0.5
2015-06-26,42.65,42.65,42.65,42.65,42.6457142857,175.0,2.0,7463.0,175.0,100.0,0.0,0.0
2015-06-29,43.45,43.45,40.5,41.85,41.6441558442,385.0,6.0,16033.0,265.0,68.83,2.95,-1.6
2015-06-30,41.8,45.0,41.8,43.4,43.2482348569,5382.0,17.0,232762.0,936.0,17.39,3.2,1.6
2015-07-01,47.35,47.4,44.8,45.35,46.1751085384,1382.0,32.0,63814.0,1081.0,78.22,2.6,-2.0
2015-07-02,46.95,48.5,46.95,47.5,47.5070707071,1980.0,24.0,94064.0,1910.0,96.46,1.55,0.55
2015-07-03,51.7,52.5,48.0,49.6,51.5532105972,2227.0,22.0,114809.0,1977.0,88.77,4.5,-2.1
2015-07-06,50.0,51.0,47.4,49.5,49.2217418159,1619.0,28.0,79690.0,840.0,51.88,3.6,-0.5
