Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,26.9,28.3,26.65,26.8,27.1615564416,7273.0,85.0,197546.0,6618.0,90.99,1.65,-0.1
2015-04-06,26.5,26.8,26.45,26.45,26.5683309892,8532.0,708.0,226681.0,5516.0,64.65,0.35,-0.05
2015-04-07,26.75,27.05,26.45,26.85,26.7808326787,6365.0,477.0,170460.0,3300.0,51.85,0.6,0.1
2015-04-08,26.6,26.6,26.5,26.5,26.590630741,3266.0,117.0,86845.0,3266.0,100.0,0.1,-0.1
2015-04-09,26.7,26.9,26.45,26.45,26.7310999642,5582.0,304.0,149213.0,5062.0,90.68,0.45,-0.25
2015-04-10,26.5,26.85,26.45,26.8,26.7138793233,6679.0,277.0,178422.0,6259.0,93.71,0.4,0.3
2015-04-13,26.75,26.85,26.5,26.65,26.71265418,6567.0,239.0,175422.0,2157.0,32.85,0.35,-0.1
2015-04-15,26.75,27.0,26.55,26.65,26.7612687813,8386.0,384.0,224420.0,5964.0,71.12,0.45,-0.1
2015-04-16,26.75,28.0,26.75,27.5,27.3386715319,14799.0,916.0,404585.0,8390.0,56.69,1.25,0.75
2015-04-17,26.9,29.05,26.55,27.4,27.3333333333,9690.0,136.0,264860.0,1502.0,15.5,2.5,0.5
2015-04-20,27.5,28.5,27.35,27.85,27.5658372562,7435.0,197.0,204952.0,3949.0,53.11,1.15,0.35
2015-04-21,27.9,30.5,27.65,28.15,28.6417484513,71835.0,3623.0,2057480.0,10695.0,14.89,2.85,0.25
2015-04-22,29.85,29.85,27.95,28.25,28.6702460384,38368.0,3448.0,1100020.0,1860.0,4.85,1.9,-1.6
2015-04-23,28.0,29.55,27.95,28.2,28.5359523655,46353.0,3145.0,1322727.0,3434.0,7.41,1.6,0.2
2015-04-24,30.0,30.5,27.95,28.0,28.4603255422,62849.0,2530.0,1788703.0,9406.0,14.97,2.55,-2.0
2015-04-27,28.15,28.2,27.75,27.8,27.94686539,57232.0,1521.0,1599455.0,3150.0,5.5,0.45,-0.35
2015-04-28,27.85,27.9,27.5,27.85,27.7988899114,34772.0,1240.0,966623.0,7722.0,22.21,0.4,0.0
2015-04-29,27.8,28.0,27.45,27.55,27.5766868484,45751.0,1454.0,1261661.0,5564.0,12.16,0.55,-0.25
2015-04-30,27.5,28.1,27.4,27.5,27.5048448937,14345.0,479.0,394557.0,4079.0,28.43,0.7,0.0
2015-05-04,27.55,29.15,27.55,29.05,28.4803800475,21050.0,960.0,599512.0,913.0,4.34,1.6,1.5
2015-05-05,28.75,29.6,28.45,29.0,28.7587572977,23980.0,1248.0,689635.0,343.0,1.43,1.15,0.25
2015-05-06,28.75,29.35,28.65,28.65,28.9314510656,22101.0,1230.0,639414.0,1171.0,5.3,0.7,-0.1
2015-05-07,28.7,29.2,27.4,29.15,28.7607462138,24497.0,1224.0,704552.0,3655.0,14.92,1.8,0.45
2015-05-08,29.0,34.5,28.8,30.1,29.9342783505,41128.0,1244.0,1231137.0,5066.0,12.32,5.7,1.1
2015-05-11,32.5,32.9,30.0,30.2,31.1602006347,48845.0,998.0,1522020.0,4045.0,8.28,2.9,-2.3
2015-05-12,30.0,32.75,28.05,30.95,30.3554627012,40685.0,1098.0,1235012.0,9657.0,23.74,4.7,0.95
2015-05-13,31.0,32.0,29.65,31.1,30.2723921765,39880.0,954.0,1207263.0,5022.0,12.59,2.35,0.1
2015-05-14,32.0,34.0,27.95,28.75,30.815873189,55011.0,618.0,1695212.0,10952.0,19.91,6.05,-3.25
2015-05-15,32.0,32.5,26.5,28.85,28.0321535806,42297.0,659.0,1185676.0,7645.0,18.07,6.0,-3.15
2015-05-18,30.9,30.9,27.7,27.85,29.0356837789,46828.0,580.0,1359683.0,9490.0,20.27,3.2,-3.05
2015-05-19,29.0,31.0,29.0,30.3,29.8172015676,47205.0,531.0,1407521.0,9365.0,19.84,2.0,1.3
2015-05-20,29.25,33.2,29.05,32.05,30.3139164839,46506.0,656.0,1409779.0,9796.0,21.06,4.15,2.8
2015-05-21,35.0,35.0,30.05,32.05,30.851947216,3107.0,19.0,95857.0,1087.0,34.99,4.95,-2.95
2015-05-22,28.0,34.3,28.0,29.55,30.2643678161,609.0,20.0,18431.0,485.0,79.64,6.3,1.55
2015-05-25,33.9,33.9,29.4,29.4,29.6252072968,2412.0,12.0,71456.0,2205.0,91.42,4.5,-4.5
2015-05-26,31.0,31.0,29.9,29.9,29.9000908265,2202.0,4.0,65840.0,2201.0,99.95,1.1,-1.1
2015-05-27,28.1,32.0,28.1,28.95,29.890853581,23583.0,62.0,704916.0,14290.0,60.59,3.9,0.85
2015-05-28,31.0,31.0,28.2,29.45,29.4480257857,6205.0,11.0,182725.0,3105.0,50.04,2.8,-1.55
2015-05-29,28.5,28.5,28.0,28.05,28.2725714286,1750.0,7.0,49477.0,875.0,50.0,0.5,-0.45
2015-06-01,31.0,31.0,28.0,28.0,28.001093693,2743.0,66.0,76807.0,2742.0,99.96,3.0,-3.0
2015-06-02,28.0,30.8,27.8,27.85,29.6583846902,15415.0,109.0,457184.0,9255.0,60.04,3.0,-0.15
2015-06-03,27.8,30.2,26.95,27.15,27.699901405,16228.0,272.0,449514.0,3864.0,23.81,3.25,-0.65
2015-06-04,27.5,29.95,26.7,26.9,27.487998909,21998.0,457.0,604681.0,2264.0,10.29,3.25,-0.6
2015-06-05,28.0,28.0,24.75,24.75,26.1483155003,27664.0,632.0,723367.0,5787.0,20.92,3.25,-3.25
2015-06-08,21.05,27.25,21.05,26.6,25.6081784387,26900.0,355.0,688860.0,9004.0,33.47,6.2,5.55
2015-06-09,26.0,28.8,25.95,26.75,26.8001712674,59556.0,1016.0,1596111.0,6748.0,11.33,2.85,0.75
2015-06-10,27.0,27.5,23.5,25.15,25.6192470464,181472.0,1224.0,4649176.0,54376.0,29.96,4.0,-1.85
2015-06-11,25.0,26.0,22.65,23.75,23.7918042153,94512.0,1140.0,2248611.0,30797.0,32.59,3.35,-1.25
2015-06-12,25.0,26.0,23.25,24.35,24.2167213855,57567.0,616.0,1394084.0,19538.0,33.94,2.75,-0.65
2015-06-15,25.0,27.0,23.75,24.15,24.1224973,48148.0,726.0,1161450.0,15928.0,33.08,3.25,-0.85
2015-06-16,24.25,25.5,22.25,22.35,23.3790121431,60940.0,648.0,1424717.0,22873.0,37.53,3.25,-1.9
2015-06-17,23.0,24.0,21.75,22.1,22.6754906662,60479.0,1020.0,1371391.0,15622.0,25.83,2.25,-0.9
2015-06-18,22.5,22.5,20.0,20.5,21.5625079446,31468.0,471.0,678529.0,11766.0,37.39,2.5,-2.0
2015-06-19,21.35,21.35,19.05,19.85,19.8880749258,21568.0,428.0,428946.0,10505.0,48.71,2.3,-1.5
2015-06-22,20.0,22.7,19.2,20.55,20.4310881701,35647.0,716.0,728307.0,9286.0,26.05,3.5,0.55
2015-06-23,20.5,21.9,20.0,20.25,21.0568469342,42289.0,207.0,890473.0,32934.0,77.88,1.9,-0.25
2015-06-24,19.5,19.7,17.9,18.0,18.4997629583,25312.0,729.0,468266.0,18143.0,71.68,1.8,-1.5
2015-06-25,18.0,19.2,17.65,17.9,18.1237820893,35409.0,532.0,641745.0,6341.0,17.91,1.55,-0.1
2015-06-26,18.0,19.1,17.05,18.0,17.577398611,58315.0,815.0,1025026.0,31632.0,54.24,2.05,0.0
2015-06-29,18.0,18.9,17.75,18.05,17.8986840019,25228.0,275.0,451548.0,4298.0,17.04,1.15,0.05
2015-06-30,17.5,19.0,17.4,18.35,18.2192603442,13655.0,134.0,248784.0,8418.0,61.65,1.6,0.85
2015-07-01,18.5,18.75,17.5,18.4,18.1962086384,17619.0,70.0,320599.0,8031.0,45.58,1.25,-0.1
2015-07-02,17.6,18.4,17.1,17.8,17.8393142525,13766.0,226.0,245576.0,9382.0,68.15,1.3,0.2
2015-07-03,18.4,18.7,17.85,17.85,18.0949521719,24149.0,209.0,436975.0,3193.0,13.22,0.85,-0.55
2015-07-06,18.0,18.95,17.45,18.15,17.9572490706,9684.0,148.0,173898.0,6510.0,67.22,1.5,0.15
2015-07-07,18.0,18.8,17.9,18.05,18.0371529276,27804.0,299.0,501505.0,7461.0,26.83,0.9,0.05
2015-07-08,18.85,18.85,17.55,17.6,18.0398219344,12355.0,112.0,222882.0,10586.0,85.68,1.3,-1.25
2015-07-09,17.45,18.15,17.1,17.3,17.9657223988,14791.0,130.0,265731.0,11052.0,74.72,1.05,-0.15
2015-07-10,17.45,18.7,17.45,17.9,17.9834620109,45592.0,102.0,819902.0,38618.0,84.7,1.25,0.45
2015-07-13,17.5,18.9,17.4,18.25,17.9858959726,12266.0,85.0,220615.0,8406.0,68.53,1.5,0.75
2015-07-14,18.0,18.7,17.5,17.6,17.8882620564,5495.0,32.0,98296.0,5065.0,92.17,1.2,-0.4
2015-07-15,17.8,18.1,17.5,17.95,17.8808518286,11129.0,37.0,198996.0,6871.0,61.74,0.6,0.15
2015-07-16,17.8,21.5,17.55,18.05,18.3411679186,12381.0,106.0,227082.0,7170.0,57.91,3.95,0.25
2015-07-17,18.5,20.9,17.5,18.25,18.5223706844,57553.0,354.0,1066018.0,10608.0,18.43,3.4,-0.25
2015-07-20,18.0,19.4,17.6,19.05,18.2363070539,19280.0,158.0,351596.0,10896.0,56.51,1.8,1.05
2015-07-21,19.45,19.9,17.5,17.65,18.4416232586,41275.0,377.0,761178.0,14094.0,34.15,2.4,-1.8
2015-07-22,18.0,18.7,17.4,17.55,18.0612551375,12652.0,89.0,228511.0,10404.0,82.23,1.3,-0.45
2015-07-23,17.95,18.3,17.4,17.6,17.8270324523,8967.0,151.0,159855.0,6002.0,66.93,0.9,-0.35
2015-07-24,17.5,18.0,17.25,17.25,17.5424542454,13332.0,73.0,233876.0,6471.0,48.54,0.75,-0.25
2015-07-27,17.75,17.9,17.0,17.7,17.4147553517,5232.0,23.0,91114.0,5121.0,97.88,0.9,-0.05
2015-07-28,16.75,17.9,15.55,16.2,17.1874375763,9011.0,75.0,154876.0,7832.0,86.92,2.35,-0.55
2015-07-29,15.95,16.85,15.5,15.7,16.0,568.0,18.0,9088.0,566.0,99.65,1.35,-0.25
2015-07-30,16.3,16.3,15.9,16.3,15.9498407643,5024.0,11.0,80132.0,5022.0,99.96,0.4,0.0
2015-07-31,15.6,16.4,15.35,15.55,15.7833694084,5544.0,32.0,87503.0,1564.0,28.21,1.05,-0.05
2015-08-03,15.5,18.5,15.5,17.7,17.9417783784,1229131.0,2635.0,22052796.0,766390.0,62.35,3.0,2.2
2015-08-04,18.05,18.1,16.35,17.1,17.3037860257,977912.0,2609.0,16921580.0,654990.0,66.98,1.75,-0.95
2015-08-05,17.75,17.75,13.7,13.7,15.8046641176,1661236.0,4436.0,26255277.0,1255135.0,75.55,4.05,-4.05
2015-08-06,12.8,13.0,11.0,11.0,11.1658583568,321865.0,804.0,3593899.0,278827.0,86.63,2.0,-1.8
2015-08-07,9.95,10.0,9.9,9.9,9.90332729685,119827.0,335.0,1186686.0,117929.0,98.42,0.1,-0.05
2015-08-10,8.95,8.95,8.95,8.95,8.94999242518,72609.0,125.0,649850.0,72605.0,99.99,0.0,0.0
2015-08-11,8.1,8.1,8.1,8.1,8.0999820499,44568.0,92.0,361000.0,44554.0,99.97,0.0,0.0
2015-08-12,7.7,7.7,7.7,7.7,7.69998642964,36845.0,134.0,283706.0,36780.0,99.82,0.0,0.0
2015-08-13,7.35,7.35,7.35,7.35,7.34998679694,18935.0,45.0,139172.0,18921.0,99.93,0.0,0.0
2015-08-14,7.0,7.7,7.0,7.1,7.05507051713,373739.0,599.0,2636755.0,312989.0,83.75,0.7,0.1
2015-08-17,7.1,7.3,6.75,7.05,7.1205900102,763919.0,1369.0,5439554.0,600121.0,78.56,0.55,-0.05
2015-08-18,7.3,7.3,6.7,6.7,6.81885874762,398457.0,631.0,2717022.0,275888.0,69.24,0.6,-0.6
2015-08-19,6.4,6.8,6.4,6.4,6.46871029764,147189.0,373.0,952123.0,132079.0,89.73,0.4,0.0
2015-08-20,6.1,6.35,6.1,6.1,6.10017561465,39860.0,160.0,243153.0,36140.0,90.67,0.25,0.0
2015-08-21,5.8,6.0,5.8,5.8,5.80002332543,25723.0,75.0,149194.0,25293.0,98.33,0.2,0.0
2015-08-24,5.55,5.55,5.55,5.55,5.54988271009,7247.0,40.0,40220.0,7247.0,100.0,0.0,0.0
2015-08-25,5.3,5.3,5.3,5.3,5.29996400843,19449.0,52.0,103079.0,19249.0,98.97,0.0,0.0
2015-08-26,5.05,5.05,5.05,5.05,5.04998447687,16105.0,54.0,81330.0,16105.0,100.0,0.0,0.0
2015-08-27,4.8,4.8,4.8,4.8,4.79996265638,16067.0,54.0,77121.0,16067.0,100.0,0.0,0.0
2015-08-28,4.6,4.6,4.6,4.6,4.59997617251,25181.0,83.0,115832.0,25181.0,100.0,0.0,0.0
2015-08-31,4.4,4.4,4.4,4.4,4.4,14975.0,44.0,65890.0,14975.0,100.0,0.0,0.0
2015-09-01,4.18,4.18,4.18,4.18,4.179912432,7537.0,18.0,31504.0,7537.0,100.0,0.0,0.0
2015-09-02,3.98,3.98,3.98,3.98,3.97997909906,18181.0,38.0,72360.0,18181.0,100.0,0.0,0.0
2015-09-03,3.91,4.0,3.91,3.92,3.92016373943,150483.0,476.0,589918.0,112539.0,74.79,0.09,0.01
2015-09-04,3.98,3.99,3.85,3.93,3.96554155811,1118855.0,1031.0,4436866.0,833625.0,74.51,0.14,-0.05
2015-09-07,3.93,4.0,3.86,3.96,3.96491274686,1392500.0,1335.0,5521141.0,1051616.0,75.52,0.14,0.03
2015-09-08,4.03,4.03,3.89,3.9,3.95466547427,1601252.0,1519.0,6332416.0,1040383.0,64.97,0.14,-0.13
2015-09-09,3.94,3.94,3.83,3.83,3.84667388448,241994.0,275.0,930872.0,206431.0,85.3,0.11,-0.11
2015-09-10,3.76,3.76,3.76,3.76,3.75999367155,37924.0,74.0,142594.0,37919.0,99.99,0.0,0.0
2015-09-11,3.76,3.76,3.69,3.69,3.69410102437,25479.0,59.0,94122.0,25475.0,99.98,0.07,-0.07
2015-09-14,3.62,3.62,3.62,3.62,3.62,37599.0,72.0,136108.0,37595.0,99.99,0.0,0.0
2015-09-15,3.55,3.55,3.55,3.55,3.55,17454.0,42.0,61961.0,17453.0,99.99,0.0,0.0
2015-09-16,3.48,3.48,3.48,3.48,3.48,14592.0,38.0,50780.0,14586.0,99.96,0.0,0.0
2015-09-18,3.42,3.42,3.42,3.42,3.42,15484.0,30.0,52955.0,15480.0,99.97,0.0,0.0
2015-09-21,3.36,3.36,3.36,3.36,3.36,9384.0,19.0,31530.0,9384.0,100.0,0.0,0.0
2015-09-22,3.3,3.3,3.3,3.3,3.3,21517.0,28.0,71006.0,21517.0,100.0,0.0,0.0
2015-09-23,3.24,3.24,3.24,3.24,3.24,13568.0,24.0,43960.0,13568.0,100.0,0.0,0.0
2015-09-24,3.18,3.18,3.18,3.18,3.18,12995.0,17.0,41324.0,12995.0,100.0,0.0,0.0
2015-09-28,3.12,3.12,3.12,3.12,3.12,8740.0,23.0,27268.0,8738.0,99.98,0.0,0.0
2015-09-29,3.06,3.1,3.06,3.06,3.06,350773.0,266.0,1074445.0,284033.0,80.97,0.04,0.0
2015-09-30,3.0,3.0,3.0,3.0,3.0,18585.0,30.0,55755.0,18585.0,100.0,0.0,0.0
2015-10-01,2.94,2.94,2.94,2.94,2.94,29821.0,31.0,87673.0,29821.0,100.0,0.0,0.0
2015-10-05,2.89,2.89,2.89,2.89,2.89,65856.0,36.0,190323.0,65855.0,100.0,0.0,0.0
2015-10-06,2.84,2.84,2.84,2.84,2.84,15266.0,22.0,43355.0,15266.0,100.0,0.0,0.0
2015-10-07,2.79,2.79,2.79,2.79,2.79,15364.0,46.0,42865.0,15360.0,99.97,0.0,0.0
2015-10-08,2.74,2.74,2.74,2.74,2.74,13317.0,34.0,36488.0,13313.0,99.97,0.0,0.0
2015-10-09,2.69,2.69,2.69,2.69,2.69,18147.0,28.0,48815.0,18147.0,100.0,0.0,0.0
2015-10-12,2.64,2.64,2.64,2.64,2.64,55057.0,28.0,145350.0,55057.0,100.0,0.0,0.0
2015-10-13,2.59,2.59,2.59,2.59,2.59,34625.0,38.0,89678.0,34625.0,100.0,0.0,0.0
2015-10-14,2.54,2.54,2.54,2.54,2.54,23561.0,29.0,59844.0,23560.0,100.0,0.0,0.0
2015-10-15,2.49,2.49,2.49,2.49,2.49,15818.0,31.0,39386.0,15574.0,98.46,0.0,0.0
2015-10-16,2.45,2.53,2.45,2.48,2.51,1782540.0,1422.0,4470557.0,1463111.0,82.08,0.08,0.03
2015-10-19,2.45,2.51,2.44,2.47,2.49,2427442.0,1616.0,6042267.0,2151016.0,88.61,0.07,0.02
2015-10-20,2.51,2.51,2.43,2.45,2.5,4128696.0,2226.0,10303025.0,3406385.0,82.51,0.08,-0.06
2015-10-21,2.41,2.47,2.41,2.45,2.44,1923016.0,1209.0,4695881.0,1570549.0,81.67,0.06,0.04
2015-10-23,2.45,2.48,2.41,2.41,2.44,803046.0,484.0,1958339.0,677411.0,84.36,0.07,-0.04
2015-10-26,2.4,2.4,2.4,2.4,2.4,139963.0,115.0,335911.0,139963.0,100.0,0.0,0.0
2015-10-27,2.39,2.39,2.39,2.39,2.39,38285.0,57.0,91501.0,38285.0,100.0,0.0,0.0
2015-10-28,2.39,2.39,2.39,2.39,2.39,94591.0,52.0,226072.0,94591.0,100.0,0.0,0.0
2015-10-29,2.39,2.39,2.39,2.39,2.39,45297.0,67.0,108259.0,45297.0,100.0,0.0,0.0
2015-10-30,2.39,2.39,2.39,2.39,2.39,97275.0,42.0,232487.0,97275.0,100.0,0.0,0.0
2015-11-02,2.36,2.36,2.35,2.35,2.35,37754.0,36.0,88831.0,37754.0,100.0,0.01,-0.01
2015-11-03,2.31,2.31,2.31,2.31,2.31,39130.0,51.0,90390.0,39129.0,100.0,0.0,0.0
2015-11-04,2.27,2.27,2.27,2.27,2.27,32005.0,44.0,72651.0,32002.0,99.99,0.0,0.0
2015-11-05,2.23,2.23,2.23,2.23,2.23,30173.0,29.0,67285.0,30173.0,100.0,0.0,0.0
2015-11-06,2.12,2.12,2.12,2.12,2.12,31662.0,50.0,67123.0,31662.0,100.0,0.0,0.0
2015-11-09,2.02,2.02,2.02,2.02,2.02,35850.0,37.0,72417.0,35850.0,100.0,0.0,0.0
2015-11-10,1.92,1.92,1.92,1.92,1.92,44122.0,50.0,84714.0,44122.0,100.0,0.0,0.0
