Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-08-18,1.47,1.47,1.47,1.47,1.4,10.0,1.0,14.0,10.0,100.0,0.0,0.0
2015-12-09,1.54,1.54,1.54,1.54,1.54,2000.0,1.0,3080.0,2000.0,100.0,0.0,0.0
2015-12-10,1.61,1.61,1.61,1.61,1.61,400.0,1.0,644.0,400.0,100.0,0.0,0.0
2015-12-14,1.69,1.69,1.69,1.69,1.6,10.0,1.0,16.0,10.0,100.0,0.0,0.0
2015-12-16,1.77,1.77,1.77,1.77,1.77,1100.0,2.0,1947.0,1100.0,100.0,0.0,0.0
2015-12-24,1.85,1.85,1.85,1.85,1.8,10.0,1.0,18.0,10.0,100.0,0.0,0.0
2016-05-27,1.94,1.94,1.94,1.94,1.94,210.0,2.0,407.0,210.0,100.0,0.0,0.0
2016-06-02,2.03,2.03,2.03,2.03,2.03,40.0,1.0,81.0,40.0,100.0,0.0,0.0
2016-07-05,2.13,2.13,2.13,2.13,2.0,1.0,1.0,2.0,1.0,100.0,0.0,0.0
2016-09-16,2.23,2.23,2.2,2.2,2.22,275.0,10.0,610.0,275.0,100.0,0.03,-0.03
2016-09-21,2.28,2.28,2.26,2.26,2.27,120.0,4.0,272.0,120.0,100.0,0.02,-0.02
2017-01-10,2.37,2.37,2.37,2.37,2.37,215.0,2.0,509.0,215.0,100.0,0.0,0.0
2017-01-20,2.48,2.48,2.48,2.48,2.48,185.0,2.0,458.0,185.0,100.0,0.0,0.0
2017-07-26,2.6,2.6,2.57,2.57,2.58,300.0,2.0,774.0,300.0,100.0,0.03,-0.03
2017-09-04,2.56,2.56,2.56,2.56,2.56,200.0,1.0,512.0,200.0,100.0,0.0,0.0
2017-09-11,2.56,2.56,2.56,2.56,2.56,100.0,1.0,256.0,100.0,100.0,0.0,0.0
2017-11-03,2.55,2.55,2.55,2.55,2.55,520.0,11.0,1326.0,520.0,100.0,0.0,0.0
2018-05-31,2.43,2.43,2.43,2.43,2.43,2354.0,1.0,5720.0,2354.0,100.0,0.0,0.0
2018-09-05,2.55,2.55,2.55,2.55,2.55,5000.0,1.0,12750.0,5000.0,100.0,0.0,0.0
2018-09-06,2.67,2.67,2.67,2.67,2.67,8333.0,6.0,22249.0,8333.0,100.0,0.0,0.0
2018-09-11,2.8,2.8,2.8,2.8,2.8,100.0,1.0,280.0,100.0,100.0,0.0,0.0
2018-09-18,2.94,2.94,2.94,2.94,2.94,500.0,1.0,1470.0,500.0,100.0,0.0,0.0
2018-10-04,3.08,3.08,3.08,3.08,3.08,200.0,1.0,616.0,200.0,100.0,0.0,0.0
2018-10-05,3.23,3.23,3.23,3.23,3.23,1200.0,2.0,3876.0,1200.0,100.0,0.0,0.0
2019-03-11,3.39,3.39,3.39,3.39,3.39,100.0,1.0,339.0,100.0,100.0,0.0,0.0
2019-03-15,3.55,3.55,3.55,3.55,3.0,1.0,1.0,3.0,1.0,100.0,0.0,0.0
2019-03-18,3.72,3.72,3.72,3.72,3.0,1.0,1.0,3.0,1.0,100.0,0.0,0.0
2019-03-19,3.9,3.9,3.9,3.9,3.0,1.0,1.0,3.0,1.0,100.0,0.0,0.0
2019-03-20,4.09,4.09,4.09,4.09,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2019-03-22,4.29,4.29,4.29,4.29,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2019-03-25,4.5,4.5,4.5,4.5,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2019-03-27,4.72,4.72,4.72,4.72,4.0,1.0,1.0,4.0,1.0,100.0,0.0,0.0
2019-03-28,4.95,4.95,4.95,4.95,4.95,8001.0,5.0,39604.0,8001.0,100.0,0.0,0.0
2019-03-29,5.19,5.19,5.19,5.19,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0
2019-04-01,5.44,5.44,5.44,5.44,5.44,7001.0,7.0,38085.0,7001.0,100.0,0.0,0.0
2019-04-02,5.71,5.71,5.71,5.71,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0
2019-04-03,5.99,5.99,5.99,5.99,5.0,1.0,1.0,5.0,1.0,100.0,0.0,0.0
2019-04-04,6.28,6.28,6.28,6.28,6.28,5001.0,3.0,31406.0,5001.0,100.0,0.0,0.0
2019-04-05,6.4,6.4,6.4,6.4,6.0,1.0,1.0,6.0,1.0,100.0,0.0,0.0
2019-04-08,6.52,6.52,6.52,6.52,6.52,5000.0,5.0,32600.0,5000.0,100.0,0.0,0.0
2019-04-09,6.65,6.65,6.65,6.65,6.0,1.0,1.0,6.0,1.0,100.0,0.0,0.0
2019-04-10,6.78,6.78,6.78,6.78,6.0,1.0,1.0,6.0,1.0,100.0,0.0,0.0
2019-04-11,6.91,6.91,6.91,6.91,6.0,1.0,1.0,6.0,1.0,100.0,0.0,0.0
2019-04-12,7.04,7.04,7.04,7.04,7.04,5001.0,3.0,35207.0,5001.0,100.0,0.0,0.0
2019-04-15,7.18,7.18,7.18,7.18,7.18,500.0,1.0,3590.0,500.0,100.0,0.0,0.0
2019-04-16,7.32,7.32,7.32,7.32,7.32,1000.0,2.0,7320.0,1000.0,100.0,0.0,0.0
2019-04-18,7.46,7.46,7.46,7.46,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2019-04-22,7.6,7.6,7.6,7.6,7.6,5000.0,3.0,38000.0,5000.0,100.0,0.0,0.0
2019-04-23,7.75,7.75,7.75,7.75,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2019-04-24,7.9,7.9,7.9,7.9,7.0,1.0,1.0,7.0,1.0,100.0,0.0,0.0
2019-04-25,8.05,8.05,8.05,8.05,8.05,120.0,2.0,966.0,120.0,100.0,0.0,0.0
2019-04-26,8.21,8.21,8.21,8.21,8.21,12405.0,7.0,101845.0,12405.0,100.0,0.0,0.0
2019-04-30,8.37,8.37,8.37,8.37,8.0,1.0,1.0,8.0,1.0,100.0,0.0,0.0
2019-05-02,8.53,8.53,8.53,8.53,8.53,700.0,1.0,5971.0,700.0,100.0,0.0,0.0
2019-05-03,8.7,8.7,8.7,8.7,8.0,1.0,1.0,8.0,1.0,100.0,0.0,0.0
2019-05-06,8.87,8.87,8.87,8.87,8.87,12492.0,6.0,110804.0,12492.0,100.0,0.0,0.0
