Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,422.5,434.0,419.0,428.8,426.326841809,192148.0,8599.0,81917850.0,32384.0,16.85,15.0,6.3
2015-04-06,433.9,474.0,433.0,462.75,460.047394671,773146.0,38493.0,355683803.0,88294.0,11.42,41.0,28.85
2015-04-07,465.9,473.0,456.4,461.05,463.404400666,347811.0,17640.0,161177148.0,51146.0,14.71,16.6,-4.85
2015-04-08,463.0,471.6,452.7,454.25,461.958854017,281121.0,15401.0,129866335.0,69005.0,24.55,18.9,-8.75
2015-04-09,457.0,461.7,450.55,457.35,456.885126332,202640.0,9302.0,92583202.0,35052.0,17.3,11.15,0.35
2015-04-10,457.6,466.4,451.0,457.4,458.78586608,236693.0,11236.0,108591403.0,29697.0,12.55,15.4,-0.2
2015-04-13,458.7,472.25,457.5,466.2,466.524439176,263184.0,12288.0,122781768.0,50345.0,19.13,14.75,7.5
2015-04-15,469.7,477.0,461.25,465.1,470.975949302,232592.0,11376.0,109545238.0,51709.0,22.23,15.75,-4.6
2015-04-16,467.45,481.9,464.05,467.8,471.946408639,302810.0,14662.0,142910092.0,49860.0,16.47,17.85,0.35
2015-04-17,470.0,478.7,464.0,466.35,471.740494718,270376.0,13062.0,127547308.0,42949.0,15.88,14.7,-3.65
2015-04-20,468.7,470.3,447.6,454.4,458.823965793,171194.0,8933.0,78547910.0,34724.0,20.28,22.7,-14.3
2015-04-21,452.1,458.0,446.7,448.5,450.642759019,155780.0,7931.0,70201129.0,36058.0,23.15,11.3,-3.6
2015-04-22,450.0,454.7,433.35,441.3,444.239545569,193913.0,9821.0,86143823.0,31406.0,16.2,21.35,-8.7
2015-04-23,445.8,448.0,437.0,439.25,441.431467376,158596.0,8176.0,70009265.0,26570.0,16.75,11.0,-6.55
2015-04-24,440.0,441.0,414.6,416.1,423.640007328,240191.0,12040.0,101754517.0,84745.0,35.28,26.4,-23.9
2015-04-27,416.2,418.3,402.0,405.25,407.777627719,159197.0,9278.0,64916975.0,30895.0,19.41,16.3,-10.95
2015-04-28,404.7,413.6,395.1,399.95,402.932140008,216873.0,10981.0,87385102.0,56802.0,26.19,18.5,-4.75
2015-04-29,405.0,408.0,397.0,401.6,403.800565155,234272.0,12827.0,94599166.0,57892.0,24.71,11.0,-3.4
2015-04-30,402.1,409.9,392.75,394.45,399.999737534,205741.0,12691.0,82296346.0,63079.0,30.66,17.15,-7.65
2015-05-04,395.8,406.9,395.5,405.25,402.764272699,211295.0,10080.0,85102077.0,49432.0,23.39,11.4,9.45
2015-05-05,407.4,407.8,398.55,401.65,402.97316482,207936.0,9790.0,83792628.0,49400.0,23.76,9.25,-5.75
2015-05-06,402.0,412.0,396.15,399.1,402.839797283,360306.0,16585.0,145145596.0,64670.0,17.95,15.85,-2.9
2015-05-07,397.9,399.65,383.0,389.25,389.538609571,206296.0,10409.0,80360257.0,42147.0,20.43,16.65,-8.65
2015-05-08,394.0,396.95,385.85,391.15,391.649504328,155748.0,7944.0,60998627.0,38751.0,24.88,11.1,-2.85
2015-05-11,395.0,400.65,390.85,393.0,395.11917391,152332.0,3993.0,60189294.0,51247.0,33.64,9.8,-2.0
2015-05-12,394.5,394.5,382.0,385.1,386.138117404,116010.0,3401.0,44795883.0,29230.0,25.2,12.5,-9.4
2015-05-13,388.7,394.9,383.05,389.3,388.46404185,145280.0,4000.0,56436056.0,35615.0,24.51,11.85,0.6
2015-05-14,390.0,395.3,385.45,391.6,391.462650391,125423.0,3511.0,49098420.0,37536.0,29.93,9.85,1.6
2015-05-15,393.4,395.0,386.15,387.9,390.512101174,122798.0,3210.0,47954105.0,26602.0,21.66,8.85,-5.5
2015-05-18,389.35,395.9,384.0,393.85,393.004511219,127460.0,3129.0,50092355.0,41228.0,32.35,11.9,4.5
2015-05-19,392.5,401.15,389.4,395.4,396.906067057,251786.0,6097.0,99935391.0,31719.0,12.6,11.75,2.9
2015-05-20,398.0,399.9,391.0,393.8,394.870752005,119321.0,2859.0,47116373.0,31740.0,26.6,8.9,-4.2
2015-05-21,394.1,395.7,387.9,391.55,391.085014258,104853.0,2720.0,41006437.0,22210.0,21.18,7.8,-2.55
2015-05-22,394.0,396.0,391.05,394.35,393.645471951,86704.0,2315.0,34130637.0,27381.0,31.58,4.95,0.35
2015-05-25,397.0,407.35,392.0,395.6,398.856558505,159884.0,4681.0,63770782.0,40365.0,25.25,15.35,-1.4
2015-05-26,397.45,398.25,388.5,393.9,393.578519291,105490.0,2997.0,41518598.0,24328.0,23.06,9.75,-3.55
2015-05-27,391.0,407.0,375.0,395.15,394.034833294,737886.0,21174.0,290752787.0,49459.0,6.7,32.0,4.15
2015-05-28,397.5,407.0,392.9,396.1,400.351210628,253133.0,6742.0,101342103.0,45102.0,17.82,14.1,-1.4
2015-05-29,395.7,398.5,389.0,390.95,392.254090036,163446.0,4655.0,64112362.0,51349.0,31.42,9.5,-4.75
2015-06-01,392.0,394.9,388.85,390.55,391.477360533,100687.0,2719.0,39416681.0,25104.0,24.93,6.05,-1.45
2015-06-02,391.0,391.15,377.0,378.1,382.671396896,117260.0,3251.0,44872048.0,32532.0,27.74,14.15,-12.9
2015-06-03,378.45,379.0,347.9,349.9,357.025590854,227425.0,6553.0,81196545.0,54026.0,23.76,31.1,-28.55
2015-06-04,348.1,349.0,309.5,333.1,329.192063815,457197.0,12157.0,150505624.0,48055.0,10.51,39.5,-15.0
2015-06-05,328.95,336.95,324.45,329.35,330.467011319,259392.0,7186.0,85720499.0,40387.0,15.57,12.5,0.4
2015-06-08,329.4,331.55,316.0,320.2,323.300905771,153902.0,3921.0,49756656.0,30375.0,19.74,15.55,-9.2
2015-06-09,320.0,320.9,308.0,310.25,313.173841789,192819.0,4913.0,60385867.0,37083.0,19.23,12.9,-9.75
2015-06-10,310.9,319.9,310.25,313.9,314.810463929,173281.0,3979.0,54550672.0,37894.0,21.87,9.65,3.0
2015-06-11,316.9,319.65,304.45,309.45,311.205247167,182346.0,4966.0,56747032.0,30008.0,16.46,15.2,-7.45
2015-06-12,306.0,308.0,300.0,303.3,303.800547879,158429.0,3964.0,48130817.0,36218.0,22.86,8.0,-2.7
2015-06-15,303.0,315.7,298.3,307.25,307.737986796,404430.0,9754.0,124458474.0,43762.0,10.82,17.4,4.25
2015-06-16,307.3,313.6,299.1,309.25,305.472156855,203551.0,5120.0,62179163.0,29257.0,14.37,14.5,1.95
2015-06-17,309.5,320.9,307.0,311.5,314.534757284,402261.0,10237.0,126525066.0,67127.0,16.69,13.9,2.0
2015-06-18,312.95,329.25,312.4,320.5,321.135087195,431277.0,10427.0,138498177.0,53638.0,12.44,16.85,7.55
2015-06-19,323.8,327.55,312.75,315.5,319.885359483,236993.0,5454.0,75810591.0,45307.0,19.12,14.8,-8.3
2015-06-22,317.4,323.9,314.55,318.95,318.756594136,181487.0,4397.0,57850178.0,29148.0,16.06,9.35,1.55
2015-06-23,319.1,326.9,315.7,323.25,321.066203197,245683.0,5209.0,78880508.0,37784.0,15.38,11.2,4.15
2015-06-24,324.5,332.0,318.2,320.5,325.88576048,296885.0,7321.0,96750594.0,42779.0,14.41,13.8,-4.0
2015-06-25,320.0,321.8,315.35,317.8,318.008190528,157499.0,3567.0,50085972.0,27232.0,17.29,6.45,-2.2
2015-06-26,317.5,321.8,310.5,315.55,315.953605055,205087.0,4851.0,64797977.0,32260.0,15.73,11.3,-1.95
2015-06-29,308.0,308.0,300.9,303.7,303.71884318,165004.0,4050.0,50114824.0,43006.0,26.06,7.1,-4.3
2015-06-30,304.0,308.4,301.5,303.65,304.589438422,194933.0,4348.0,59374533.0,38525.0,19.76,6.9,-0.35
2015-07-01,303.4,310.8,303.25,304.35,306.452297504,227399.0,5066.0,69686946.0,48502.0,21.33,7.55,0.95
2015-07-02,305.7,309.95,302.55,303.65,306.150835896,226942.0,5069.0,69478483.0,46022.0,20.28,7.4,-2.05
2015-07-03,303.9,307.8,297.0,298.15,302.535112333,210980.0,4609.0,63828858.0,52976.0,25.11,10.8,-5.75
2015-07-06,294.95,304.9,290.6,302.1,298.76201393,240783.0,5648.0,71936814.0,41975.0,17.43,14.3,7.15
2015-07-07,306.0,309.05,296.5,298.95,303.157493443,245915.0,6678.0,74550975.0,57228.0,23.27,12.55,-7.05
2015-07-08,296.0,298.75,287.0,289.25,292.48032962,302409.0,7077.0,88448684.0,69345.0,22.93,11.75,-6.75
2015-07-09,289.0,293.75,284.0,285.85,289.030080962,210964.0,5573.0,60974942.0,70721.0,33.52,9.75,-3.15
2015-07-10,289.7,290.5,276.55,277.9,281.850056961,234369.0,6179.0,66056916.0,80616.0,34.4,13.95,-11.8
2015-07-13,279.15,284.7,276.0,276.9,279.124805202,230367.0,5257.0,64301144.0,75492.0,32.77,8.7,-2.25
2015-07-14,277.5,329.0,277.25,321.65,312.180571194,2953079.0,61157.0,921893889.0,347716.0,11.77,51.75,44.15
2015-07-15,323.8,340.0,323.0,327.65,332.920234843,1540096.0,31825.0,512729122.0,250746.0,16.28,17.0,3.85
2015-07-16,329.7,330.0,310.5,312.75,318.033097285,632922.0,14429.0,201290144.0,164430.0,25.98,19.5,-16.95
2015-07-17,313.0,321.5,306.15,308.1,313.767908703,582538.0,13783.0,182781730.0,123380.0,21.18,15.35,-4.9
2015-07-20,310.0,311.85,297.2,298.5,302.538308606,437095.0,9921.0,132237982.0,115652.0,26.46,14.65,-11.5
2015-07-21,298.8,299.0,286.4,287.55,291.3562906,360220.0,7948.0,104952363.0,87900.0,24.4,12.6,-11.25
2015-07-22,286.95,309.0,282.1,305.05,301.315805359,1017174.0,24476.0,306490603.0,162422.0,15.97,26.9,18.1
2015-07-23,307.0,312.5,301.6,304.15,307.453018146,484453.0,10955.0,148946537.0,87010.0,17.96,10.9,-2.85
2015-07-24,304.5,307.45,294.7,296.15,301.247971906,285613.0,5696.0,86040337.0,70318.0,24.62,12.75,-8.35
2015-07-27,298.5,308.7,298.0,301.6,303.291053594,488319.0,10866.0,148102784.0,83374.0,17.07,10.7,3.1
2015-07-28,303.25,305.4,292.2,293.6,296.817693189,263446.0,6302.0,78195434.0,75951.0,28.83,13.2,-9.65
2015-07-29,295.0,300.9,292.6,295.8,295.838641571,222139.0,5099.0,65717300.0,55527.0,25.0,8.3,0.8
2015-07-30,296.5,303.0,294.5,297.4,298.890146226,301519.0,6789.0,90121058.0,68995.0,22.88,8.5,0.9
2015-07-31,298.9,311.6,298.0,301.0,305.522110708,587272.0,13323.0,179424581.0,112002.0,19.07,13.6,2.1
2015-08-03,301.0,313.9,300.5,303.2,306.661107045,743276.0,16911.0,227933841.0,114654.0,15.43,13.4,2.2
2015-08-04,304.85,310.0,301.3,305.4,305.820480393,432521.0,9623.0,132273780.0,73393.0,16.97,8.7,0.55
2015-08-05,308.0,313.8,306.0,307.75,309.319603967,464406.0,9641.0,143649880.0,114640.0,24.69,7.8,-0.25
2015-08-06,308.7,309.0,303.0,304.45,305.473306507,215708.0,4638.0,65893036.0,51658.0,23.95,6.0,-4.25
2015-08-07,304.9,313.0,304.45,307.0,308.387238641,409972.0,9122.0,126430133.0,76475.0,18.65,8.55,2.1
2015-08-10,307.9,310.0,301.25,302.7,304.672530397,244270.0,4802.0,74422359.0,63385.0,25.95,8.75,-5.2
2015-08-11,297.0,305.3,294.25,297.0,298.387809275,200792.0,4254.0,59913885.0,53747.0,26.77,11.05,0.0
2015-08-12,296.0,296.0,287.0,289.1,290.791374975,198840.0,4628.0,57820957.0,55670.0,28.0,9.0,-6.9
2015-08-13,291.0,294.5,279.05,280.05,284.403372959,351620.0,6344.0,100001914.0,121475.0,34.55,15.45,-10.95
2015-08-14,283.7,288.25,275.05,285.0,283.631433346,298581.0,6445.0,84686957.0,70610.0,23.65,13.2,1.3
2015-08-17,287.0,287.0,278.95,282.6,282.595473833,156247.0,3692.0,44154695.0,38132.0,24.4,8.05,-4.4
2015-08-18,283.9,291.6,283.85,287.4,287.488967549,257649.0,5796.0,74071245.0,44838.0,17.4,7.75,3.5
2015-08-19,287.9,297.0,285.25,288.65,290.066302103,343790.0,7958.0,99721894.0,66412.0,19.32,11.75,0.75
2015-08-20,285.5,287.6,278.2,281.2,282.43147967,214710.0,5335.0,60640863.0,56792.0,26.45,9.4,-4.3
2015-08-21,278.0,278.5,273.0,275.95,275.602617638,192540.0,4930.0,53064528.0,56544.0,29.37,5.5,-2.05
2015-08-24,264.05,264.95,237.7,240.95,251.98652526,372920.0,8041.0,93970815.0,103771.0,27.83,27.25,-23.1
2015-08-25,245.0,250.7,216.0,235.15,232.385503095,370010.0,8954.0,85984960.0,74504.0,20.14,34.7,-9.85
2015-08-26,241.0,246.55,230.5,234.65,238.783034286,288193.0,6748.0,68815599.0,53880.0,18.7,16.05,-6.35
2015-08-27,237.95,244.0,236.0,238.9,239.577592758,213190.0,5681.0,51075547.0,47988.0,22.51,8.0,0.95
2015-08-28,249.0,269.0,247.9,254.7,258.884515471,953132.0,22141.0,246751116.0,137255.0,14.4,21.1,5.7
2015-08-31,255.0,262.8,246.5,248.5,256.263447787,346953.0,7641.0,88911372.0,77703.0,22.4,16.3,-6.5
2015-09-01,248.1,253.0,239.0,243.75,246.274085591,373055.0,8560.0,91873779.0,68109.0,18.26,14.0,-4.35
2015-09-02,245.0,261.5,237.3,250.1,252.048743457,872712.0,20728.0,219965963.0,85100.0,9.75,24.2,5.1
2015-09-03,253.0,255.5,248.25,251.0,251.485901157,290804.0,6994.0,73133106.0,49838.0,17.14,7.25,-2.0
2015-09-04,251.0,251.0,236.0,238.4,239.660772189,288349.0,6821.0,69105944.0,75535.0,26.2,15.0,-12.6
2015-09-07,239.5,243.75,227.0,228.35,233.913392654,276801.0,6119.0,64747461.0,71074.0,25.68,16.75,-11.15
2015-09-08,228.5,230.7,221.0,226.75,225.745729498,367931.0,7308.0,83058852.0,75187.0,20.44,9.7,-1.75
2015-09-09,231.0,244.7,230.3,235.9,237.342213274,488254.0,9726.0,115883285.0,88419.0,18.11,14.4,4.9
2015-09-10,228.8,233.9,224.4,230.6,230.123717445,300572.0,6541.0,69168746.0,49896.0,16.6,9.5,1.8
2015-09-11,232.05,237.0,228.1,231.6,232.419291324,266638.0,6495.0,61971815.0,63353.0,23.76,8.9,-0.45
2015-09-14,231.0,234.8,228.6,232.0,232.16,167801.0,3699.0,38956089.0,44537.0,26.54,6.2,1.0
2015-09-15,232.55,240.7,231.55,232.85,235.9,315352.0,6597.0,74392458.0,49110.0,15.57,9.15,0.3
2015-09-16,234.7,238.0,228.65,230.05,232.57,241599.0,4739.0,56188025.0,73489.0,30.42,9.35,-4.65
2015-09-18,231.9,243.2,231.9,239.8,237.57,381845.0,7226.0,90714584.0,117157.0,30.68,11.3,7.9
2015-09-21,240.2,252.75,238.8,249.35,247.74,419022.0,8837.0,103806509.0,75691.0,18.06,13.95,9.15
2015-09-22,251.5,252.3,236.0,237.35,242.47,272870.0,6197.0,66161765.0,98822.0,36.22,16.3,-14.15
2015-09-23,232.5,238.9,232.25,235.45,235.99,191486.0,4312.0,45188316.0,53609.0,28.0,6.65,2.95
2015-09-24,236.0,237.3,231.5,232.25,233.93,180291.0,4217.0,42174605.0,52943.0,29.37,5.8,-3.75
2015-09-28,236.7,236.7,230.5,231.9,232.99,138197.0,3293.0,32198165.0,28397.0,20.55,6.2,-4.8
2015-09-29,230.8,234.6,225.5,230.75,230.41,230317.0,5123.0,53067615.0,40032.0,17.38,9.1,-0.05
2015-09-30,234.7,234.7,228.2,229.25,230.51,180117.0,4135.0,41519567.0,62337.0,34.61,6.5,-5.45
2015-10-01,231.0,234.8,228.45,230.4,231.46,198232.0,4737.0,45883309.0,39794.0,20.07,6.35,-0.6
2015-10-05,233.7,239.55,231.6,234.5,235.4,281458.0,5775.0,66254314.0,68981.0,24.51,7.95,0.8
2015-10-06,236.25,237.7,231.0,232.05,233.58,234352.0,5613.0,54738960.0,84931.0,36.24,6.7,-4.2
2015-10-07,236.7,250.4,235.2,243.45,245.54,879653.0,17209.0,215985950.0,165335.0,18.8,15.2,6.75
2015-10-08,243.45,257.6,243.45,247.1,252.1,746920.0,14839.0,188298941.0,173151.0,23.18,14.15,3.65
2015-10-09,251.0,252.8,243.15,245.45,247.12,328778.0,6971.0,81246627.0,63966.0,19.46,9.65,-5.55
2015-10-12,247.0,247.8,237.0,237.7,240.19,297072.0,6129.0,71353390.0,109361.0,36.81,10.8,-9.3
2015-10-13,237.9,243.5,235.4,239.15,239.87,298741.0,6477.0,71658984.0,52668.0,17.63,8.1,1.25
2015-10-14,239.8,242.4,236.0,236.7,239.02,411167.0,8751.0,98275287.0,111514.0,27.12,6.4,-3.1
2015-10-15,238.6,241.4,237.0,238.3,238.8,250417.0,5301.0,59800246.0,50966.0,20.35,4.4,-0.3
2015-10-16,238.5,244.75,237.75,239.05,241.05,387481.0,8515.0,93401691.0,92353.0,23.83,7.0,0.55
2015-10-19,240.0,243.2,238.1,240.1,240.33,261819.0,5281.0,62921974.0,70191.0,26.81,5.1,0.1
2015-10-20,239.0,241.85,235.0,236.75,238.42,292190.0,6431.0,69663479.0,75009.0,25.67,6.85,-2.25
2015-10-21,237.6,239.6,234.9,236.15,237.0,221791.0,4662.0,52564911.0,56711.0,25.57,4.7,-1.45
2015-10-23,237.9,239.4,229.0,231.85,234.03,308972.0,7588.0,72308483.0,95894.0,31.04,10.4,-6.05
2015-10-26,231.9,238.1,228.5,231.8,233.26,432829.0,8072.0,100962394.0,82848.0,19.14,9.6,-0.1
2015-10-27,231.9,234.5,230.3,232.2,232.26,256176.0,5234.0,59498768.0,54859.0,21.41,4.2,0.3
2015-10-28,232.7,234.0,229.0,230.1,231.11,205451.0,5122.0,47481540.0,57165.0,27.82,5.0,-2.6
2015-10-29,231.6,236.5,230.7,231.55,233.3,325887.0,6979.0,76028104.0,89930.0,27.6,5.8,-0.05
2015-10-30,232.05,233.75,222.2,224.65,227.97,273104.0,5913.0,62259884.0,109440.0,40.07,11.55,-7.4
2015-11-02,223.7,224.4,218.0,220.65,220.54,254879.0,6692.0,56212067.0,81371.0,31.93,6.4,-3.05
2015-11-03,222.0,227.0,220.75,222.7,223.31,262704.0,6345.0,58665242.0,58032.0,22.09,6.25,0.7
2015-11-04,225.0,225.9,220.3,221.95,222.81,259139.0,5315.0,57739336.0,80501.0,31.06,5.6,-3.05
2015-11-05,222.95,228.3,216.6,221.95,223.91,605158.0,12118.0,135502767.0,79345.0,13.11,11.7,-1.0
2015-11-06,224.7,224.7,216.9,218.0,219.18,235289.0,5250.0,51570630.0,84644.0,35.97,7.8,-6.7
2015-11-09,212.25,218.5,202.65,214.4,213.78,228461.0,5011.0,48841361.0,61338.0,26.85,15.85,2.15
2015-11-10,214.0,218.0,211.0,211.65,213.64,206202.0,4122.0,44052228.0,64209.0,31.14,7.0,-2.35
2015-11-11,213.0,214.9,213.0,214.25,213.96,42765.0,1310.0,9149791.0,17844.0,41.73,1.9,1.25
2015-11-13,211.8,212.75,209.0,210.35,210.75,144082.0,3313.0,30364920.0,47329.0,32.85,3.75,-1.45
2015-11-16,208.65,210.6,207.2,207.85,208.39,191066.0,4490.0,39815492.0,70611.0,36.96,3.4,-0.8
2015-11-17,210.0,212.9,208.3,211.2,210.58,249671.0,6015.0,52576271.0,63966.0,25.62,4.6,1.2
2015-11-18,211.75,219.55,210.1,212.95,215.71,529921.0,12218.0,114307494.0,95803.0,18.08,9.45,1.2
2015-11-19,214.15,215.95,212.7,214.8,214.27,181105.0,4134.0,38805076.0,50025.0,27.62,3.25,0.65
2015-11-20,215.1,222.7,213.6,217.2,218.79,510119.0,10942.0,111608151.0,111988.0,21.95,9.1,2.1
2015-11-23,218.0,222.6,216.7,218.35,218.97,262714.0,5505.0,57526850.0,62127.0,23.65,5.9,0.35
2015-11-24,218.25,229.5,218.25,225.1,224.87,747183.0,15376.0,168021571.0,129003.0,17.27,11.25,6.85
2015-11-26,225.9,227.6,222.0,222.6,224.32,312344.0,7378.0,70065848.0,87113.0,27.89,5.6,-3.3
