Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-06-18,15.8,15.8,15.8,15.8,15.8,99.0,1.0,1564.0,99.0,100.0,0.0,0.0
2015-12-01,16.55,16.55,16.55,16.55,16.0,1.0,1.0,16.0,1.0,100.0,0.0,0.0
2015-12-02,17.35,17.35,17.35,17.35,17.0,1.0,1.0,17.0,1.0,100.0,0.0,0.0
2015-12-07,18.2,18.2,18.2,18.2,18.0,1.0,1.0,18.0,1.0,100.0,0.0,0.0
2015-12-17,19.1,19.1,19.1,19.1,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2016-02-05,20.05,20.05,20.05,20.05,20.0,5.0,1.0,100.0,5.0,100.0,0.0,0.0
2016-02-09,21.05,21.05,21.05,21.05,21.0,5.0,1.0,105.0,5.0,100.0,0.0,0.0
2016-02-10,22.1,22.1,22.1,22.1,22.0,5.0,1.0,110.0,5.0,100.0,0.0,0.0
2016-02-11,23.2,23.2,23.2,23.2,23.0,3.0,1.0,69.0,3.0,100.0,0.0,0.0
2016-02-15,24.35,24.35,24.35,24.35,24.33,6.0,2.0,146.0,6.0,100.0,0.0,0.0
2016-03-02,25.55,25.55,25.55,25.55,25.5,10.0,1.0,255.0,10.0,100.0,0.0,0.0
2016-03-04,3.3,3.3,3.3,3.3,3.3,4600.0,2.0,15180.0,4600.0,100.0,0.0,0.0
2016-03-16,3.45,3.45,3.45,3.45,3.44,50.0,1.0,172.0,50.0,100.0,0.0,0.0
2016-03-17,3.6,3.6,3.6,3.6,3.6,50.0,1.0,180.0,50.0,100.0,0.0,0.0
2016-03-18,3.75,3.75,3.75,3.75,3.74,50.0,1.0,187.0,50.0,100.0,0.0,0.0
2016-03-30,3.9,3.9,3.9,3.9,3.9,100.0,1.0,390.0,100.0,100.0,0.0,0.0
2016-06-07,3.9,3.9,3.9,3.9,3.9,50.0,1.0,195.0,50.0,100.0,0.0,0.0
2016-06-08,3.9,3.9,3.9,3.9,3.9,100.0,1.0,390.0,100.0,100.0,0.0,0.0
