Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,1264.5,1281.0,1264.5,1275.85,1274.1108629442,4925.0,1023.0,6274996.0,977.0,19.84,16.5,11.35
2015-04-06,1285.0,1380.2,1278.3,1342.45,1331.8783247411,21919.0,5336.0,29193441.0,6776.0,30.91,101.9,57.45
2015-04-07,1355.0,1369.0,1335.0,1346.75,1352.5225160829,9793.0,1947.0,13245253.0,2081.0,21.25,34.0,-8.25
2015-04-08,1351.25,1400.0,1345.1,1383.35,1381.8685641641,28318.0,4347.0,39131754.0,7575.0,26.75,54.9,32.1
2015-04-09,1383.35,1386.05,1350.1,1363.1,1370.8263473054,8684.0,1475.0,11904256.0,1494.0,17.2,35.95,-20.25
2015-04-10,1355.5,1375.95,1340.0,1353.55,1351.9350351162,7404.0,1857.0,10009727.0,1922.0,25.96,35.95,-1.95
2015-04-13,1341.0,1420.9,1341.0,1392.45,1395.0110807607,19403.0,3009.0,27067400.0,5010.0,25.82,79.9,51.45
2015-04-15,1394.45,1431.85,1383.65,1393.65,1409.7118187726,21542.0,2837.0,30368012.0,6505.0,30.2,48.2,-0.8
2015-04-16,1415.0,1415.0,1361.0,1379.15,1379.9465168104,10321.0,2134.0,14242428.0,3104.0,30.07,54.0,-35.85
2015-04-17,1372.9,1379.35,1347.0,1357.4,1359.4692141507,7406.0,1257.0,10068229.0,1741.0,23.51,32.35,-15.5
2015-04-20,1358.9,1359.7,1315.0,1324.15,1330.3920012212,6551.0,1303.0,8715398.0,1479.0,22.58,44.7,-34.75
2015-04-21,1322.9,1378.9,1297.7,1362.5,1347.0405883741,12713.0,2878.0,17124927.0,3676.0,28.92,81.2,39.6
2015-04-22,1362.0,1393.0,1340.15,1364.05,1368.3609050445,8088.0,1761.0,11067303.0,1408.0,17.41,52.85,2.05
2015-04-23,1374.0,1388.0,1342.15,1362.4,1371.9007794739,6158.0,1197.0,8448165.0,1479.0,24.02,45.85,-11.6
