Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,3999.95,3999.95,3937.65,3966.3,3981.7428571429,490.0,279.0,1951054.0,316.0,64.49,62.3,-33.65
2015-04-06,3988.0,4087.0,3976.25,4004.45,4033.2569331158,1226.0,582.0,4944773.0,747.0,60.93,110.75,16.45
2015-04-07,4040.0,4040.0,3990.0,4009.85,4010.169527897,466.0,265.0,1868739.0,283.0,60.73,50.0,-30.15
2015-04-08,4039.5,4050.0,4005.0,4027.55,4023.6660079051,506.0,286.0,2035975.0,278.0,54.94,45.0,-11.95
2015-04-09,4044.9,4050.0,3954.95,3970.95,4007.1708609272,755.0,447.0,3025414.0,404.0,53.51,95.05,-73.95
2015-04-10,3980.0,4003.0,3950.5,3958.45,3974.2797202797,286.0,223.0,1136644.0,193.0,67.48,52.5,-21.55
2015-04-13,3965.05,4015.0,3938.7,3990.0,3982.5799086758,219.0,147.0,872185.0,115.0,52.51,76.3,24.95
2015-04-15,4028.8,4029.2,3950.35,3992.6,3987.3345323741,1112.0,482.0,4433916.0,600.0,53.96,78.85,-36.2
2015-04-16,3985.8,3999.9,3878.05,3986.85,3950.0953191489,1175.0,617.0,4641362.0,528.0,44.94,121.85,1.05
2015-04-17,3935.25,3989.0,3916.3,3974.35,3968.9364548495,598.0,289.0,2373424.0,392.0,65.55,72.7,39.1
2015-04-20,3920.1,3948.05,3825.7,3853.05,3878.6558891455,433.0,224.0,1679458.0,222.0,51.27,122.35,-67.05
2015-04-21,3812.2,3897.0,3812.0,3880.0,3879.1538461538,312.0,124.0,1210296.0,185.0,59.29,85.0,67.8
2015-04-22,3903.2,3903.2,3825.7,3852.25,3852.2926760761,14241.0,117.0,54860500.0,14179.0,99.56,77.5,-50.95
2015-04-23,3854.35,3864.9,3799.0,3827.1,3820.5242718447,309.0,256.0,1180542.0,184.0,59.55,65.9,-27.25
2015-04-24,3849.95,3900.0,3796.35,3882.35,3848.6558441558,924.0,285.0,3556158.0,581.0,62.88,103.65,32.4
2015-04-27,3885.95,3950.0,3770.0,3896.75,3860.9243243243,1110.0,601.0,4285626.0,555.0,50.0,180.0,10.8
2015-04-28,3795.0,3899.0,3780.0,3886.05,3863.8173190985,843.0,363.0,3257198.0,354.0,41.99,119.0,91.05
2015-04-29,3809.05,3853.45,3790.0,3813.85,3814.2346938776,392.0,171.0,1495180.0,171.0,43.62,63.45,4.8
2015-04-30,3826.85,3977.95,3790.0,3940.7,3886.1252796421,894.0,498.0,3474196.0,452.0,50.56,187.95,113.85
2015-05-04,3941.5,4000.0,3903.05,3967.4,3972.8073476703,1116.0,493.0,4433653.0,690.0,61.83,96.95,25.9
2015-05-05,3967.0,4009.8,3920.85,3941.45,3974.3049327354,223.0,142.0,886270.0,108.0,48.43,88.95,-25.55
2015-05-06,3931.25,3931.25,3842.15,3871.0,3898.8512720157,511.0,200.0,1992313.0,349.0,68.3,89.1,-60.25
2015-05-07,3869.65,3869.65,3768.0,3823.4,3822.5762711864,413.0,208.0,1578724.0,166.0,40.19,101.65,-46.25
2015-05-08,3860.0,3890.15,3790.0,3792.4,3847.4423076923,208.0,114.0,800268.0,93.0,44.71,100.15,-67.6
2015-05-11,3830.0,3874.95,3793.0,3863.95,3832.3379174853,509.0,114.0,1950660.0,298.0,58.55,81.95,33.95
2015-05-12,3809.65,3872.4,3809.6,3853.15,3847.6581632653,196.0,45.0,754141.0,115.0,58.67,62.8,43.5
2015-05-13,3840.25,3915.0,3830.0,3900.25,3869.2724637681,345.0,132.0,1334899.0,121.0,35.07,85.0,60.0
2015-05-14,3843.05,3880.0,3843.05,3862.2,3860.9411764706,17.0,11.0,65636.0,9.0,52.94,36.95,19.15
2015-05-15,3880.15,3910.0,3811.05,3821.2,3842.9367088608,711.0,219.0,2732328.0,264.0,37.13,98.95,-58.95
2015-05-18,3846.05,3846.85,3810.0,3836.15,3835.4431818182,264.0,62.0,1012557.0,140.0,53.03,36.85,-9.9
2015-05-19,3825.75,3925.0,3825.75,3865.0,3901.2056194125,783.0,193.0,3054644.0,486.0,62.07,99.25,39.25
2015-05-20,3870.3,3899.95,3850.0,3851.8,3872.8484848485,198.0,75.0,766824.0,126.0,63.64,49.95,-18.5
2015-05-21,3902.85,3928.95,3850.0,3864.25,3870.7258883249,197.0,68.0,762533.0,110.0,55.84,78.95,-38.6
2015-05-22,3850.0,3870.0,3838.0,3846.9,3853.9292929293,99.0,33.0,381539.0,55.0,55.56,32.0,-3.1
2015-05-25,3816.5,3871.0,3816.5,3845.35,3853.8850574713,174.0,59.0,670576.0,94.0,54.02,54.5,28.85
2015-05-26,3818.2,3880.0,3815.4,3843.0,3837.1195652174,184.0,73.0,706030.0,95.0,51.63,64.6,24.8
2015-05-27,3870.0,3903.0,3848.15,3875.75,3882.1433333333,300.0,107.0,1164643.0,167.0,55.67,54.85,5.75
2015-05-28,3950.0,3989.95,3913.0,3959.35,3955.3560076287,1573.0,356.0,6221775.0,685.0,43.55,76.95,9.35
2015-05-29,4012.1,4060.55,3940.8,4026.6,4023.3232044199,1448.0,521.0,5825772.0,639.0,44.13,119.75,14.5
