Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,137.5,137.8,135.0,136.6,136.32535497,2465.0,105.0,336042.0,2064.0,83.73,2.8,-0.9
2015-04-06,135.8,137.5,131.4,134.0,134.360536613,1789.0,43.0,240371.0,1730.0,96.7,6.1,-1.8
2015-04-07,133.0,133.0,130.0,131.1,130.655945067,5534.0,70.0,723050.0,5281.0,95.43,3.0,-1.9
2015-04-08,136.0,157.3,134.9,157.3,152.315381988,26349.0,211.0,4013358.0,25263.0,95.88,22.4,21.3
2015-04-09,160.0,166.0,145.0,164.0,161.878504141,35137.0,1484.0,5687925.0,23705.0,67.46,21.0,4.0
2015-04-10,163.9,168.4,159.0,159.9,163.593538566,5912.0,249.0,967165.0,4293.0,72.62,9.4,-4.0
2015-04-13,160.9,164.0,155.0,155.8,160.090886108,7911.0,185.0,1266479.0,5960.0,75.34,9.0,-5.1
2015-04-15,155.2,158.6,155.0,155.6,156.554919313,1921.0,36.0,300742.0,1771.0,92.19,3.6,0.4
2015-04-16,155.0,155.5,145.0,146.3,147.591195762,7928.0,171.0,1170103.0,5727.0,72.24,10.5,-8.7
2015-04-17,140.5,151.5,140.5,149.2,148.646845695,4692.0,80.0,697451.0,2402.0,51.19,11.0,8.7
2015-04-20,145.2,148.6,138.0,140.8,142.221860115,3989.0,88.0,567323.0,3404.0,85.33,10.6,-4.4
2015-04-21,140.0,148.5,138.0,139.4,139.91216349,5089.0,45.0,712013.0,4057.0,79.72,10.5,-0.6
2015-04-22,138.3,140.0,138.0,138.9,139.707732149,5406.0,82.0,755260.0,4855.0,89.81,2.0,0.6
2015-04-23,141.0,141.0,137.0,137.2,138.261585366,1640.0,39.0,226749.0,1489.0,90.79,4.0,-3.8
2015-04-24,135.6,137.8,131.0,131.1,133.327361564,2456.0,58.0,327452.0,2316.0,94.3,6.8,-4.5
2015-04-27,128.0,137.0,127.0,132.7,133.061804697,809.0,32.0,107647.0,527.0,65.14,10.0,4.7
2015-04-28,132.1,132.1,129.8,129.9,130.105913978,1860.0,36.0,241997.0,1860.0,100.0,2.3,-2.2
2015-04-29,130.5,130.5,128.1,130.0,129.866090713,2315.0,37.0,300640.0,2172.0,93.82,2.4,-0.5
2015-04-30,130.1,130.1,130.0,130.0,130.085714286,350.0,4.0,45530.0,350.0,100.0,0.1,-0.1
2015-05-04,130.0,136.8,127.6,133.6,132.660208283,8258.0,211.0,1095508.0,5300.0,64.18,9.2,3.6
2015-05-05,134.7,137.0,133.7,133.8,135.128409091,880.0,26.0,118913.0,860.0,97.73,3.3,-0.9
2015-05-06,131.5,131.5,121.2,125.0,125.118274175,15946.0,337.0,1995136.0,8065.0,50.58,10.3,-6.5
2015-05-07,125.0,126.0,124.0,124.1,124.508374384,2030.0,41.0,252752.0,1680.0,82.76,2.0,-0.9
2015-05-08,123.5,125.5,122.1,122.6,123.68410572,5524.0,68.0,683231.0,4346.0,78.67,3.4,-0.9
2015-05-11,122.6,124.0,120.8,121.3,122.075672646,7136.0,77.0,871132.0,4556.0,63.85,3.2,-1.3
2015-05-12,120.0,122.4,119.5,120.8,120.056994819,965.0,19.0,115855.0,840.0,87.05,2.9,0.8
2015-05-13,120.0,121.0,114.0,115.6,117.86510842,3551.0,56.0,418539.0,3287.0,92.57,7.0,-4.4
2015-05-14,117.7,119.7,117.7,119.7,118.15,520.0,8.0,61438.0,520.0,100.0,2.0,2.0
2015-05-15,121.0,121.0,118.0,119.0,119.461176471,850.0,10.0,101542.0,700.0,82.35,3.0,-2.0
2015-05-18,117.1,118.9,115.1,116.0,116.61514393,1598.0,36.0,186351.0,1240.0,77.6,3.8,-1.1
2015-05-19,117.3,121.0,116.1,118.0,118.263484191,4839.0,45.0,572277.0,4267.0,88.18,4.9,0.7
2015-05-20,117.9,119.6,116.0,116.4,117.516298471,6473.0,68.0,760683.0,4964.0,76.69,3.6,-1.5
2015-05-21,115.3,118.0,115.2,118.0,117.412480974,657.0,14.0,77140.0,600.0,91.32,2.8,2.7
2015-05-22,117.9,118.1,116.5,116.5,117.856742361,3567.0,23.0,420395.0,3180.0,89.15,1.6,-1.4
2015-05-25,115.1,116.7,115.1,116.7,115.9,10.0,2.0,1159.0,5.0,50.0,1.6,1.6
2015-05-26,116.3,118.0,116.2,118.0,117.676119403,670.0,8.0,78843.0,620.0,92.54,1.8,1.7
2015-05-27,114.3,117.0,112.6,115.7,115.581063554,1542.0,10.0,178226.0,308.0,19.97,4.4,1.4
2015-05-28,116.0,119.2,112.5,113.6,113.828688899,2189.0,24.0,249171.0,1709.0,78.07,6.7,-2.4
2015-05-29,116.3,121.9,112.2,112.5,113.93883792,654.0,38.0,74516.0,610.0,93.27,9.7,-3.8
2015-06-01,113.0,116.8,111.0,112.2,114.155430029,5488.0,82.0,626485.0,4444.0,80.98,5.8,-0.8
2015-06-02,112.7,114.0,105.0,108.9,108.357843137,1632.0,63.0,176840.0,1289.0,78.98,9.0,-3.8
2015-06-03,101.0,109.5,100.1,101.3,104.386761711,4910.0,99.0,512539.0,3716.0,75.68,9.4,0.3
2015-06-04,102.0,105.5,100.1,103.2,100.353305785,4356.0,27.0,437139.0,4290.0,98.48,5.4,1.2
2015-06-05,105.0,105.0,103.3,103.5,103.902116402,378.0,5.0,39275.0,288.0,76.19,1.7,-1.5
2015-06-08,103.0,109.8,100.2,107.2,104.796668619,15369.0,89.0,1610620.0,13499.0,87.83,9.6,4.2
2015-06-09,104.3,108.3,104.2,108.1,106.807532155,10807.0,40.0,1154269.0,9519.0,88.08,4.1,3.8
2015-06-10,109.0,117.6,109.0,114.4,112.487741935,3875.0,50.0,435890.0,3434.0,88.62,8.6,5.4
2015-06-11,115.0,115.0,111.0,111.0,113.321465428,1938.0,23.0,219617.0,1424.0,73.48,4.0,-4.0
2015-06-12,100.1,109.7,100.1,109.0,108.436102236,626.0,15.0,67881.0,486.0,77.64,9.6,8.9
2015-06-15,104.0,116.7,104.0,115.2,110.028340081,494.0,19.0,54354.0,411.0,83.2,12.7,11.2
2015-06-16,111.5,114.9,111.5,113.5,112.890410959,292.0,7.0,32964.0,291.0,99.66,3.4,2.0
2015-06-17,113.9,114.0,105.1,107.1,110.7625,560.0,10.0,62027.0,210.0,37.5,8.9,-6.8
2015-06-18,115.0,115.0,110.0,111.9,111.799725652,729.0,14.0,81502.0,400.0,54.87,5.0,-3.1
2015-06-19,110.1,110.1,110.1,110.1,110.097938144,194.0,2.0,21359.0,194.0,100.0,0.0,0.0
2015-06-22,112.2,112.2,106.0,107.1,107.070291777,6032.0,138.0,645848.0,4220.0,69.96,6.2,-5.1
2015-06-23,107.1,110.9,107.0,107.6,108.400279916,1429.0,23.0,154904.0,560.0,39.19,3.9,0.5
2015-06-24,107.5,114.0,106.7,107.5,109.836737549,7148.0,79.0,785113.0,6155.0,86.11,7.3,0.0
2015-06-25,109.2,115.0,109.2,113.7,111.298698138,8219.0,63.0,914764.0,8032.0,97.72,5.8,4.5
2015-06-26,113.0,115.4,112.5,113.9,112.971830986,213.0,12.0,24063.0,180.0,84.51,2.9,0.9
2015-06-29,106.4,109.0,106.0,107.2,106.659539474,4256.0,73.0,453943.0,3139.0,73.75,3.0,0.8
2015-06-30,115.0,115.0,107.0,107.0,108.204871683,2299.0,28.0,248763.0,1903.0,82.78,8.0,-8.0
2015-07-01,109.0,112.6,109.0,112.0,110.361182994,5410.0,48.0,597054.0,4691.0,86.71,3.6,3.0
2015-07-02,113.9,114.1,112.0,112.7,113.465546942,2322.0,24.0,263467.0,1841.0,79.29,2.1,-1.2
2015-07-03,114.0,124.7,113.1,120.3,119.220010477,5727.0,83.0,682773.0,4848.0,84.65,11.6,6.3
2015-07-06,119.0,123.5,115.6,122.9,121.652178722,9042.0,201.0,1099979.0,7013.0,77.56,7.9,3.9
2015-07-07,125.4,125.4,117.0,122.6,121.716203486,4246.0,78.0,516807.0,3213.0,75.67,8.4,-2.8
2015-07-08,120.0,122.0,117.0,118.3,118.120306234,2743.0,70.0,324004.0,1525.0,55.6,5.0,-1.7
2015-07-09,114.2,123.5,114.2,115.8,117.004681648,1068.0,43.0,124961.0,775.0,72.57,9.3,1.6
2015-07-10,118.5,120.2,115.8,118.0,118.848715509,1051.0,31.0,124910.0,689.0,65.56,4.4,-0.5
2015-07-13,119.5,126.0,119.5,122.0,121.772537563,2396.0,39.0,291767.0,1936.0,80.8,6.5,2.5
2015-07-14,120.0,124.9,118.0,123.0,121.725137615,2725.0,41.0,331701.0,2338.0,85.8,6.9,3.0
2015-07-15,122.0,127.5,121.1,124.6,124.803003918,4594.0,57.0,573345.0,3821.0,83.17,6.4,2.6
2015-07-16,125.8,130.0,125.7,128.5,128.42404783,9032.0,110.0,1159926.0,7772.0,86.05,4.3,2.7
2015-07-17,130.4,130.4,124.5,126.5,126.695007065,4246.0,73.0,537947.0,2520.0,59.35,5.9,-3.9
2015-07-20,125.5,128.0,123.0,125.0,124.770822556,1933.0,28.0,241182.0,1269.0,65.65,5.0,-0.5
2015-07-21,126.7,127.0,122.9,123.0,124.18440412,10195.0,49.0,1266060.0,9076.0,89.02,4.1,-3.7
2015-07-22,120.1,129.0,120.1,128.1,123.476812017,27428.0,200.0,3386722.0,21455.0,78.22,8.9,8.0
2015-07-23,128.3,133.0,125.0,129.2,129.20463421,3841.0,41.0,496275.0,3127.0,81.41,8.0,0.9
2015-07-24,130.8,130.8,127.0,129.6,129.753410982,6010.0,55.0,779818.0,5340.0,88.85,3.8,-1.2
2015-07-27,130.0,130.0,123.6,126.0,126.380377358,1325.0,25.0,167454.0,1170.0,88.3,6.4,-4.0
2015-07-28,126.0,130.7,126.0,129.7,129.64313759,11716.0,58.0,1518899.0,9750.0,83.22,4.7,3.7
2015-07-29,132.0,133.0,128.3,131.8,131.423166023,5180.0,58.0,680772.0,4123.0,79.59,4.7,-0.2
2015-07-30,134.0,142.0,134.0,139.1,139.164595722,22534.0,171.0,3135935.0,18949.0,84.09,8.0,5.1
2015-07-31,143.5,143.5,135.0,137.3,139.236848081,13211.0,115.0,1839458.0,6352.0,48.08,8.5,-6.2
2015-08-03,139.0,139.7,135.1,138.4,138.084989429,2365.0,40.0,326571.0,1897.0,80.21,4.6,-0.6
2015-08-04,130.4,140.0,130.4,139.5,136.194280908,1189.0,31.0,161935.0,839.0,70.56,9.6,9.1
2015-08-05,136.0,136.7,136.0,136.5,136.407455013,778.0,12.0,106125.0,589.0,75.71,0.7,0.5
2015-08-06,138.0,138.0,134.0,134.0,135.632193159,2485.0,28.0,337046.0,2365.0,95.17,4.0,-4.0
2015-08-07,134.0,136.0,132.0,132.3,133.245070423,355.0,8.0,47302.0,355.0,100.0,4.0,-1.7
2015-08-10,135.1,136.4,133.2,135.3,135.032334385,2536.0,36.0,342442.0,2443.0,96.33,3.2,0.2
2015-08-11,133.0,140.0,133.0,134.7,136.323807329,8678.0,53.0,1183018.0,5567.0,64.15,7.0,1.7
2015-08-12,134.0,138.0,115.3,117.8,121.597516312,23755.0,322.0,2888549.0,15232.0,64.12,22.7,-16.2
2015-08-13,123.2,132.5,116.1,117.1,123.230387597,3225.0,64.0,397418.0,2526.0,78.33,16.4,-6.1
2015-08-14,121.5,121.5,117.1,117.6,118.393258427,712.0,24.0,84296.0,399.0,56.04,4.4,-3.9
2015-08-17,119.0,119.5,116.3,119.4,118.029494382,1424.0,28.0,168074.0,839.0,58.92,3.2,0.4
2015-08-18,120.0,121.0,117.1,118.9,119.944584383,1191.0,24.0,142854.0,1085.0,91.1,3.9,-1.1
2015-08-19,120.0,123.1,117.0,120.0,119.465079365,630.0,26.0,75263.0,263.0,41.75,6.1,0.0
2015-08-20,119.9,123.5,117.4,118.3,121.449306759,2308.0,39.0,280305.0,1520.0,65.86,6.1,-1.6
2015-08-21,115.0,118.0,114.6,114.9,115.231745508,6067.0,104.0,699111.0,5271.0,86.88,3.4,-0.1
2015-08-24,119.9,119.9,101.1,102.2,105.252313555,7348.0,73.0,773394.0,6736.0,91.67,18.8,-17.7
2015-08-25,109.9,109.9,96.4,102.7,102.89889001,9910.0,46.0,1019728.0,9258.0,93.42,13.5,-7.2
2015-08-26,104.3,107.1,100.6,106.1,105.345824926,10407.0,67.0,1096334.0,10387.0,99.81,6.5,1.8
2015-08-27,102.8,108.5,102.0,106.3,105.984997413,1933.0,16.0,204869.0,1800.0,93.12,6.5,3.5
2015-08-28,109.8,110.0,106.0,107.8,108.28141783,1862.0,34.0,201620.0,1552.0,83.35,4.0,-2.0
2015-08-31,109.0,109.0,104.0,106.5,105.388716356,1932.0,27.0,203611.0,1227.0,63.51,5.0,-2.5
2015-09-01,107.8,107.8,102.1,104.1,105.34283943,1613.0,22.0,169918.0,1500.0,92.99,5.7,-3.7
2015-09-02,103.1,109.5,103.0,107.6,107.552941176,1785.0,38.0,191982.0,1394.0,78.1,6.5,4.5
2015-09-03,103.7,108.0,103.3,105.3,104.023159369,18567.0,39.0,1931398.0,17612.0,94.86,4.7,1.6
2015-09-04,107.9,108.0,100.1,100.1,103.163101604,2244.0,31.0,231498.0,1738.0,77.45,7.9,-7.8
2015-09-07,109.7,109.7,98.6,100.1,100.713554987,2346.0,36.0,236274.0,1575.0,67.14,11.1,-9.6
2015-09-08,105.5,105.5,97.0,103.6,101.559274756,717.0,14.0,72818.0,706.0,98.47,8.5,-1.9
2015-09-09,108.0,108.0,101.3,101.9,102.135043078,4991.0,42.0,509756.0,3717.0,74.47,6.7,-6.1
2015-09-10,101.0,102.0,97.0,97.9,98.8682707993,4904.0,30.0,484850.0,3731.0,76.08,5.0,-3.1
2015-09-11,103.8,103.8,100.1,103.4,103.074519231,416.0,12.0,42879.0,395.0,94.95,3.7,-0.4
2015-09-14,103.0,105.5,101.0,102.5,102.3,2837.0,27.0,290222.0,2020.0,71.2,4.5,-0.5
2015-09-15,101.0,101.9,100.0,100.1,100.36,384.0,17.0,38539.0,330.0,85.94,1.9,-0.9
2015-09-16,100.0,104.4,100.0,101.5,100.76,1042.0,21.0,104993.0,776.0,74.47,4.4,1.5
2015-09-18,102.3,112.0,102.3,106.5,107.13,26988.0,230.0,2891163.0,21200.0,78.55,9.7,4.2
2015-09-21,103.6,108.0,101.3,102.9,102.82,2322.0,73.0,238757.0,1311.0,56.46,6.7,-0.7
2015-09-22,105.8,105.9,105.5,105.5,105.7,1213.0,8.0,128211.0,1210.0,99.75,0.4,-0.3
2015-09-23,102.4,105.0,102.4,103.1,102.9,350.0,10.0,36015.0,346.0,98.86,2.6,0.7
2015-09-24,105.0,108.0,101.0,106.3,104.81,1073.0,29.0,112462.0,864.0,80.52,7.0,1.3
2015-09-28,106.5,106.6,102.0,103.5,105.14,1416.0,21.0,148881.0,1215.0,85.81,4.6,-3.0
2015-09-29,103.7,105.3,102.1,102.3,102.82,1647.0,38.0,169352.0,1254.0,76.14,3.2,-1.4
2015-09-30,105.9,106.9,103.2,103.5,104.83,414.0,14.0,43400.0,324.0,78.26,3.7,-2.4
2015-10-01,109.6,109.6,99.0,105.8,104.11,895.0,21.0,93174.0,619.0,69.16,10.6,-3.8
2015-10-05,101.0,114.0,101.0,109.0,109.6,8447.0,88.0,925788.0,6731.0,79.69,13.0,8.0
2015-10-06,115.0,115.0,106.0,114.2,113.17,11070.0,91.0,1252780.0,10254.0,92.63,9.0,-0.8
2015-10-07,114.9,129.0,114.9,118.2,118.3,6508.0,104.0,769877.0,5297.0,81.39,14.1,3.3
2015-10-08,120.0,126.9,119.8,123.1,124.09,15990.0,202.0,1984250.0,12793.0,80.01,7.1,3.1
2015-10-09,120.1,126.5,117.0,118.3,119.55,1614.0,77.0,192954.0,1273.0,78.87,9.5,-1.8
2015-10-12,119.0,121.5,100.0,117.6,111.19,16072.0,114.0,1787106.0,8767.0,54.55,21.5,-1.4
2015-10-13,114.2,121.7,114.1,120.0,118.39,1582.0,32.0,187288.0,1302.0,82.3,7.6,5.8
2015-10-14,119.8,125.7,119.8,122.5,123.21,3031.0,49.0,373448.0,2520.0,83.14,5.9,2.7
2015-10-15,119.9,124.0,119.8,123.5,121.79,1463.0,27.0,178176.0,1212.0,82.84,4.2,3.6
2015-10-16,120.4,123.3,120.0,123.2,121.57,2192.0,24.0,266479.0,2041.0,93.11,3.3,2.8
2015-10-19,122.0,123.8,119.0,119.6,121.57,4088.0,59.0,496963.0,3490.0,85.37,4.8,-2.4
2015-10-20,120.6,125.7,120.6,125.1,121.8,10759.0,85.0,1310451.0,9311.0,86.54,5.1,4.5
2015-10-21,127.0,130.9,124.5,128.7,128.31,13225.0,132.0,1696965.0,11029.0,83.4,6.4,1.7
2015-10-23,131.4,131.5,127.0,129.8,128.77,2780.0,50.0,357968.0,2259.0,81.26,4.5,-1.6
2015-10-26,126.0,127.8,124.5,125.6,126.12,3556.0,52.0,448477.0,2020.0,56.81,3.3,-0.4
2015-10-27,125.0,127.0,123.6,123.6,123.91,55.0,6.0,6815.0,55.0,100.0,3.4,-1.4
2015-10-28,124.8,125.0,119.7,122.3,122.49,2972.0,45.0,364037.0,2103.0,70.76,5.3,-2.5
2015-10-29,124.6,126.0,120.1,125.6,122.4,4192.0,67.0,513082.0,3433.0,81.89,5.9,1.0
