Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,16.9,16.9,16.9,16.9,16.9,10.0,2.0,169.0,10.0,100.0,0.0,0.0
2015-04-06,16.6,16.6,16.6,16.6,16.6,110.0,4.0,1826.0,110.0,100.0,0.0,0.0
2015-04-07,16.3,16.3,16.3,16.3,16.3,10.0,2.0,163.0,10.0,100.0,0.0,0.0
2015-04-08,16.0,16.1,16.0,16.0,16.0008230453,1215.0,25.0,19441.0,1215.0,100.0,0.1,0.0
2015-04-09,15.7,15.7,15.7,15.7,15.6977777778,225.0,7.0,3532.0,225.0,100.0,0.0,0.0
2015-04-10,15.4,16.0,15.4,16.0,15.4052706553,1404.0,12.0,21629.0,1404.0,100.0,0.6,0.6
2015-04-13,16.0,16.3,16.0,16.3,16.2678571429,224.0,11.0,3644.0,224.0,100.0,0.3,0.3
2015-04-15,16.05,16.05,16.05,16.05,16.0457142857,175.0,5.0,2808.0,175.0,100.0,0.0,0.0
2015-04-16,15.75,15.75,15.75,15.75,15.75,2800.0,11.0,44100.0,2800.0,100.0,0.0,0.0
2015-04-17,15.45,16.05,15.45,16.05,15.5471421593,2047.0,6.0,31825.0,2047.0,100.0,0.6,0.6
2015-04-20,16.0,16.35,16.0,16.35,16.3482587065,201.0,8.0,3286.0,201.0,100.0,0.35,0.35
2015-04-21,16.65,16.65,16.65,16.65,16.6485714286,350.0,10.0,5827.0,350.0,100.0,0.0,0.0
2015-04-22,16.35,16.95,16.35,16.95,16.7586206897,145.0,8.0,2430.0,145.0,100.0,0.6,0.6
2015-04-23,17.0,17.25,17.0,17.0,17.1666666667,72.0,12.0,1236.0,72.0,100.0,0.25,0.0
2015-04-24,16.95,17.3,16.95,17.3,17.125,200.0,4.0,3425.0,200.0,100.0,0.35,0.35
2015-04-27,17.3,17.6,17.0,17.6,17.0114122682,701.0,6.0,11925.0,701.0,100.0,0.6,0.3
2015-04-28,17.95,17.95,17.25,17.35,17.4149855908,1041.0,23.0,18129.0,1041.0,100.0,0.7,-0.6
2015-04-30,17.05,17.05,17.05,17.05,17.05,60.0,4.0,1023.0,60.0,100.0,0.0,0.0
2015-05-04,17.9,17.9,17.9,17.9,17.9,10.0,2.0,179.0,10.0,100.0,0.0,0.0
2015-05-05,17.05,17.05,17.05,17.05,17.0471204188,191.0,3.0,3256.0,191.0,100.0,0.0,0.0
2015-05-06,16.2,16.2,16.2,16.2,16.2,200.0,4.0,3240.0,200.0,100.0,0.0,0.0
2015-05-07,15.4,17.0,15.4,17.0,16.0857142857,1400.0,16.0,22520.0,1400.0,100.0,1.6,1.6
2015-05-08,17.0,17.0,16.2,16.3,16.38,500.0,8.0,8190.0,500.0,100.0,0.8,-0.7
2015-05-11,17.1,17.1,17.1,17.1,17.1,100.0,1.0,1710.0,100.0,100.0,0.0,0.0
2015-05-12,17.95,17.95,17.85,17.85,17.9447619048,525.0,5.0,9421.0,525.0,100.0,0.1,-0.1
2015-05-13,17.85,17.85,17.0,17.0,17.2611764706,425.0,5.0,7336.0,425.0,100.0,0.85,-0.85
2015-05-14,17.8,17.8,17.8,17.8,17.8,200.0,3.0,3560.0,200.0,100.0,0.0,0.0
2015-05-15,18.65,18.65,17.0,18.65,18.6483516484,1001.0,4.0,18667.0,1001.0,100.0,1.65,0.0
2015-05-18,19.55,19.55,17.75,17.85,18.8802177858,551.0,14.0,10403.0,551.0,100.0,1.8,-1.7
2015-05-19,18.7,18.7,18.0,18.0,18.2352941176,170.0,3.0,3100.0,170.0,100.0,0.7,-0.7
2015-05-21,18.9,18.9,18.0,18.0,18.7692307692,117.0,3.0,2196.0,117.0,100.0,0.9,-0.9
2015-05-22,18.25,18.25,18.25,18.25,18.2477876106,113.0,3.0,2062.0,113.0,100.0,0.0,0.0
2015-05-25,18.5,18.5,17.35,17.35,17.4705882353,17.0,3.0,297.0,17.0,100.0,1.15,-1.15
2015-05-26,17.0,18.2,17.0,17.05,17.0026954178,1113.0,6.0,18924.0,1113.0,100.0,1.2,0.05
2015-05-27,17.05,17.05,17.05,17.05,17.0,5.0,1.0,85.0,5.0,100.0,0.0,0.0
2015-05-28,16.3,16.3,16.3,16.3,16.3,300.0,1.0,4890.0,300.0,100.0,0.0,0.0
2015-05-29,15.5,17.0,15.5,17.0,16.9,150.0,6.0,2535.0,150.0,100.0,1.5,1.5
2015-06-01,17.85,17.85,16.15,16.15,16.3347826087,460.0,3.0,7514.0,460.0,100.0,1.7,-1.7
2015-06-02,15.35,15.35,15.35,15.35,15.0,1.0,1.0,15.0,1.0,100.0,0.0,0.0
2015-06-03,14.6,14.6,14.6,14.6,14.6,450.0,3.0,6570.0,450.0,100.0,0.0,0.0
2015-06-04,15.0,15.0,15.0,15.0,15.0,5.0,1.0,75.0,5.0,100.0,0.0,0.0
2015-06-05,15.75,15.75,15.75,15.75,15.74,50.0,1.0,787.0,50.0,100.0,0.0,0.0
2015-06-08,15.1,16.25,15.1,15.1,15.3293172691,249.0,5.0,3817.0,249.0,100.0,1.15,0.0
2015-06-09,14.35,14.35,14.35,14.35,14.0,1.0,1.0,14.0,1.0,100.0,0.0,0.0
2015-06-10,14.35,15.05,14.35,15.05,14.9818181818,55.0,3.0,824.0,55.0,100.0,0.7,0.7
2015-06-11,14.65,14.65,14.65,14.65,14.6285714286,35.0,1.0,512.0,35.0,100.0,0.0,0.0
2015-06-12,15.35,15.35,15.35,15.35,15.2,5.0,1.0,76.0,5.0,100.0,0.0,0.0
2015-06-16,14.6,14.6,14.6,14.6,14.6,1000.0,5.0,14600.0,1000.0,100.0,0.0,0.0
2015-06-19,15.3,15.3,15.3,15.3,15.0,1.0,1.0,15.0,1.0,100.0,0.0,0.0
2015-06-23,16.0,16.05,14.55,14.55,14.7077033837,1389.0,7.0,20429.0,1389.0,100.0,1.5,-1.45
2015-06-24,14.0,14.1,14.0,14.1,14.0666666667,900.0,3.0,12660.0,900.0,100.0,0.1,0.1
2015-06-25,13.65,14.8,13.65,14.8,13.7545454545,1100.0,2.0,15130.0,1100.0,100.0,1.15,1.15
2015-06-26,15.25,15.5,14.85,15.5,15.4052232519,1187.0,7.0,18286.0,1187.0,100.0,0.65,0.25
2015-06-29,15.6,15.6,15.5,15.55,15.5263157895,38.0,2.0,590.0,38.0,100.0,0.1,-0.05
2015-06-30,16.1,16.1,14.8,15.0,15.4583333333,120.0,4.0,1855.0,120.0,100.0,1.3,-1.1
2015-07-01,14.25,14.3,14.25,14.3,14.2604166667,192.0,2.0,2738.0,192.0,100.0,0.05,0.05
2015-07-02,15.0,15.0,15.0,15.0,15.0,50.0,2.0,750.0,50.0,100.0,0.0,0.0
2015-07-03,15.75,15.75,15.75,15.75,15.7425742574,101.0,3.0,1590.0,101.0,100.0,0.0,0.0
2015-07-09,16.53,16.53,16.53,16.53,16.53,100.0,1.0,1653.0,100.0,100.0,0.0,0.0
2015-07-13,17.35,17.35,17.35,17.35,17.3491864831,799.0,4.0,13862.0,799.0,100.0,0.0,0.0
2015-07-15,18.2,18.2,18.2,18.2,18.2,100.0,1.0,1820.0,100.0,100.0,0.0,0.0
2015-07-16,18.15,18.15,18.15,18.15,18.1428571429,42.0,2.0,762.0,42.0,100.0,0.0,0.0
2015-07-17,19.0,19.0,17.25,17.25,17.262283237,1384.0,17.0,23891.0,1384.0,100.0,1.75,-1.75
2015-07-20,16.39,16.4,16.39,16.4,16.3966480447,358.0,4.0,5870.0,358.0,100.0,0.01,0.01
2015-07-23,15.58,15.58,15.58,15.58,15.5777777778,90.0,1.0,1402.0,90.0,100.0,0.0,0.0
2015-07-28,14.81,14.81,14.81,14.81,14.81,100.0,1.0,1481.0,100.0,100.0,0.0,0.0
2015-07-29,15.0,15.5,15.0,15.5,15.0416666667,1200.0,3.0,18050.0,1200.0,100.0,0.5,0.5
2015-07-31,16.25,16.25,15.0,15.05,15.3628571429,350.0,3.0,5377.0,350.0,100.0,1.25,-1.2
2015-08-03,15.5,15.5,15.5,15.5,15.5,100.0,1.0,1550.0,100.0,100.0,0.0,0.0
2015-08-07,16.2,16.2,16.2,16.2,16.2,50.0,1.0,810.0,50.0,100.0,0.0,0.0
2015-08-10,16.25,16.25,16.2,16.2,16.2,55.0,2.0,891.0,55.0,100.0,0.05,-0.05
2015-08-11,16.9,17.0,16.9,17.0,16.9847457627,590.0,3.0,10021.0,590.0,100.0,0.1,0.1
2015-08-17,17.85,17.85,17.85,17.85,17.8476190476,210.0,1.0,3748.0,210.0,100.0,0.0,0.0
2015-08-19,18.7,18.7,18.7,18.7,18.6,5.0,1.0,93.0,5.0,100.0,0.0,0.0
2015-08-20,19.6,19.6,19.6,19.6,19.6,15.0,1.0,294.0,15.0,100.0,0.0,0.0
