Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,93.8,104.9,85.05,99.0,100.382902483,11721.0,175.0,1176588.0,6493.0,55.4,19.85,5.2
2015-04-06,100.0,100.0,98.0,100.0,98.3675862069,1450.0,29.0,142633.0,1400.0,96.55,2.0,0.0
2015-04-07,114.8,115.0,102.25,113.2,109.425608195,7810.0,87.0,854614.0,6877.0,88.05,12.75,-1.6
2015-04-08,104.0,109.95,103.55,106.25,106.397350993,906.0,43.0,96396.0,621.0,68.54,6.4,2.25
2015-04-09,107.0,109.9,103.05,106.6,105.657894737,342.0,24.0,36135.0,291.0,85.09,6.85,-0.4
2015-04-10,102.6,124.7,102.6,116.4,112.73864994,3348.0,102.0,377449.0,2673.0,79.84,22.1,13.8
2015-04-13,110.05,114.9,110.05,111.25,111.927552141,911.0,40.0,101966.0,472.0,51.81,4.85,1.2
2015-04-15,111.25,119.4,111.2,117.8,115.828273245,1054.0,43.0,122083.0,585.0,55.5,8.2,6.55
2015-04-16,111.35,116.0,105.45,110.0,110.432432432,1406.0,48.0,155268.0,891.0,63.37,10.55,-1.35
2015-04-17,109.95,110.0,109.85,109.85,109.903786468,8055.0,26.0,885275.0,7746.0,96.16,0.15,-0.1
2015-04-20,110.0,110.0,108.0,108.0,108.75,160.0,8.0,17400.0,160.0,100.0,2.0,-2.0
2015-04-21,110.0,110.0,100.05,101.3,107.926903089,17511.0,94.0,1889908.0,16769.0,95.76,9.95,-8.7
2015-04-22,101.8,101.95,101.75,101.75,101.821637427,342.0,10.0,34823.0,341.0,99.71,0.2,-0.05
2015-04-23,101.95,102.0,100.0,101.65,101.734082397,801.0,14.0,81489.0,800.0,99.88,2.0,-0.3
2015-04-24,99.5,99.5,96.1,98.9,98.7431818182,440.0,16.0,43447.0,434.0,98.64,3.4,-0.6
2015-04-27,95.7,102.6,95.5,97.9,97.25,4.0,8.0,389.0,1.0,25.0,7.1,2.2
2015-04-28,95.25,102.4,95.25,101.8,99.8870967742,620.0,20.0,61930.0,452.0,72.9,7.15,6.55
2015-04-29,100.0,102.7,96.5,100.0,99.4061718435,24790.0,98.0,2464279.0,14087.0,56.83,6.2,0.0
2015-04-30,101.0,101.0,97.0,97.0,97.2307692308,39.0,6.0,3792.0,20.0,51.28,4.0,-4.0
2015-05-04,104.5,116.0,100.0,103.5,104.405825243,515.0,12.0,53769.0,512.0,99.42,16.0,-1.0
2015-05-05,104.5,110.0,97.1,105.55,103.046875,1216.0,57.0,125305.0,979.0,80.51,12.9,1.05
2015-05-06,105.0,105.0,99.0,102.5,100.03030303,1749.0,30.0,174953.0,1729.0,98.86,6.0,-2.5
2015-05-07,97.05,101.8,97.0,99.5,98.4615384615,650.0,16.0,64000.0,400.0,61.54,4.8,2.45
2015-05-08,98.0,98.0,96.0,96.6,96.5847826087,2300.0,24.0,222145.0,2000.0,86.96,2.0,-1.4
2015-05-11,97.0,101.4,95.0,95.35,97.4635488308,1454.0,23.0,141712.0,949.0,65.27,6.4,-1.65
2015-05-12,90.05,94.8,87.25,89.75,92.6796796797,1998.0,28.0,185174.0,1756.0,87.89,7.55,-0.3
2015-05-13,92.0,100.8,92.0,98.65,98.2027231467,661.0,13.0,64912.0,611.0,92.44,8.8,6.65
2015-05-14,100.0,100.0,94.45,98.15,94.896969697,165.0,3.0,15658.0,160.0,96.97,5.55,-1.85
2015-05-15,95.0,98.7,95.0,96.1,95.5088062622,511.0,9.0,48805.0,250.0,48.92,3.7,1.1
2015-05-18,96.0,99.9,96.0,96.5,97.2792207792,770.0,9.0,74905.0,510.0,66.23,3.9,0.5
2015-05-19,96.5,96.5,96.4,96.4,96.48,150.0,3.0,14472.0,125.0,83.33,0.1,-0.1
2015-05-21,96.3,98.9,96.3,98.9,98.79584,3125.0,3.0,308737.0,3125.0,100.0,2.6,2.6
2015-05-22,97.5,102.0,95.6,98.9,98.6222222222,2610.0,19.0,257404.0,2250.0,86.21,6.4,1.4
2015-05-25,96.0,99.0,95.1,97.0,97.1388888889,1260.0,4.0,122395.0,1260.0,100.0,3.9,1.0
2015-05-26,108.95,108.95,99.0,103.85,101.254054054,740.0,7.0,74928.0,620.0,83.78,9.95,-5.1
2015-05-27,95.0,104.75,95.0,101.95,96.8932384342,562.0,12.0,54454.0,435.0,77.4,9.75,6.95
2015-05-28,103.5,103.5,103.5,103.5,103.333333333,3.0,3.0,310.0,1.0,33.33,0.0,0.0
2015-05-29,97.25,102.5,97.25,102.5,100.486013986,572.0,11.0,57478.0,325.0,56.82,5.25,5.25
2015-06-01,96.4,98.4,95.5,97.8,96.4785100287,349.0,12.0,33671.0,225.0,64.47,2.9,1.4
2015-06-02,98.0,99.9,93.5,94.0,96.6696647588,1223.0,22.0,118227.0,473.0,38.68,6.4,-4.0
2015-06-03,97.9,97.9,97.9,97.9,97.9,50.0,1.0,4895.0,50.0,100.0,0.0,0.0
2015-06-04,101.0,101.0,94.4,99.8,97.7352941176,102.0,5.0,9969.0,60.0,58.82,6.6,-1.2
2015-06-05,98.9,100.0,95.0,99.2,99.1833981842,3855.0,18.0,382352.0,3415.0,88.59,5.0,0.3
2015-06-08,95.3,98.0,92.0,93.5,94.6481481481,270.0,11.0,25555.0,248.0,91.85,6.0,-1.8
2015-06-09,92.6,94.9,92.0,92.2,92.8830409357,684.0,19.0,63532.0,431.0,63.01,2.9,-0.4
2015-06-10,99.8,99.8,91.3,92.2,99.7579365079,504.0,8.0,50278.0,501.0,99.4,8.5,-7.6
2015-06-11,96.8,96.8,94.0,94.0,94.016563147,483.0,7.0,45410.0,483.0,100.0,2.8,-2.8
2015-06-12,94.0,94.0,94.0,94.0,94.0,2647.0,8.0,248818.0,2647.0,100.0,0.0,0.0
2015-06-15,94.0,96.0,94.0,96.0,95.9801980198,1010.0,2.0,96940.0,1010.0,100.0,2.0,2.0
2015-06-16,91.0,97.0,91.0,97.0,92.9272727273,55.0,3.0,5111.0,25.0,45.45,6.0,6.0
2015-06-18,94.1,97.3,94.1,95.4,95.0517482517,715.0,16.0,67962.0,572.0,80.0,3.2,1.3
2015-06-19,97.0,97.0,93.3,93.6,96.7041666667,1200.0,9.0,116045.0,1140.0,95.0,3.7,-3.4
2015-06-23,98.6,98.6,92.7,92.7,92.845,200.0,3.0,18569.0,100.0,50.0,5.9,-5.9
2015-06-24,94.0,96.9,92.8,96.9,93.4780876494,251.0,5.0,23463.0,251.0,100.0,4.1,2.9
2015-06-25,97.9,101.0,97.9,100.8,100.830967419,15991.0,22.0,1612388.0,15000.0,93.8,3.1,2.9
2015-06-26,95.1,99.4,95.0,98.7,97.8743581999,3311.0,14.0,324062.0,3000.0,90.61,4.4,3.6
2015-06-29,99.5,99.5,99.2,99.2,99.2155555556,450.0,3.0,44647.0,225.0,50.0,0.3,-0.3
2015-06-30,101.0,101.0,92.2,95.0,95.6018922853,1374.0,17.0,131357.0,1075.0,78.24,8.8,-6.0
2015-07-01,95.0,96.0,95.0,96.0,95.7142857143,84.0,5.0,8040.0,60.0,71.43,1.0,1.0
2015-07-02,96.9,96.9,96.9,96.9,96.9,300.0,4.0,29070.0,300.0,100.0,0.0,0.0
2015-07-03,99.55,102.0,95.15,95.4,97.694214876,1331.0,12.0,130031.0,1035.0,77.76,6.85,-4.15
2015-07-06,95.1,95.1,95.1,95.1,95.0857142857,35.0,1.0,3328.0,35.0,100.0,0.0,0.0
2015-07-07,95.6,101.9,95.6,99.8,99.8,75.0,2.0,7485.0,75.0,100.0,6.3,4.2
2015-07-08,97.0,98.9,95.1,98.85,97.08,200.0,6.0,19416.0,150.0,75.0,3.8,1.85
2015-07-09,97.0,99.5,96.95,99.5,97.580952381,105.0,4.0,10246.0,105.0,100.0,2.55,2.5
2015-07-10,96.1,97.5,95.25,96.05,96.380544509,3269.0,96.0,315068.0,2492.0,76.23,2.25,-0.05
2015-07-13,98.15,98.2,97.1,97.2,97.9815465729,2276.0,14.0,223006.0,2106.0,92.53,1.1,-0.95
2015-07-15,96.5,96.5,96.5,96.5,96.5,222.0,1.0,21423.0,222.0,100.0,0.0,0.0
2015-07-16,99.0,99.0,99.0,99.0,99.0,500.0,2.0,49500.0,500.0,100.0,0.0,0.0
2015-07-17,94.0,101.7,94.0,101.7,95.3707602339,855.0,9.0,81542.0,851.0,99.53,7.7,7.7
2015-07-20,99.9,101.4,99.9,101.4,100.085299456,551.0,7.0,55147.0,551.0,100.0,1.5,1.5
2015-07-21,95.75,101.05,95.75,101.0,100.379259259,1350.0,21.0,135512.0,1000.0,74.07,5.3,5.25
2015-07-22,100.0,100.0,98.1,98.1,99.2964071856,334.0,7.0,33165.0,217.0,64.97,1.9,-1.9
2015-07-23,101.0,101.0,101.0,101.0,101.0,211.0,6.0,21311.0,211.0,100.0,0.0,0.0
2015-07-28,103.8,103.8,96.3,97.6,99.622690159,2327.0,23.0,231822.0,1000.0,42.97,7.5,-6.2
2015-07-29,99.6,99.6,96.3,98.4,97.8078817734,203.0,6.0,19855.0,183.0,90.15,3.3,-1.2
2015-07-30,98.0,98.85,98.0,98.0,98.1857923497,915.0,7.0,89840.0,915.0,100.0,0.85,0.0
2015-07-31,99.35,102.0,98.05,101.85,99.8858447489,10074.0,41.0,1006250.0,8445.0,83.83,3.95,2.5
2015-08-03,97.6,109.7,97.6,108.9,105.091919192,3960.0,45.0,416164.0,3600.0,90.91,12.1,11.3
2015-08-04,104.1,108.0,103.6,106.3,105.22244898,1470.0,13.0,154677.0,1400.0,95.24,4.4,2.2
2015-08-05,102.1,105.9,102.0,102.1,102.185473411,771.0,13.0,78785.0,576.0,74.71,3.9,0.0
2015-08-06,108.0,108.6,105.0,105.0,105.240752351,1595.0,10.0,167859.0,1550.0,97.18,3.6,-3.0
2015-08-07,104.3,104.6,103.0,103.0,104.2,250.0,4.0,26050.0,200.0,80.0,1.6,-1.3
2015-08-10,104.6,123.6,104.0,123.6,119.104239742,42479.0,295.0,5059429.0,25326.0,59.62,19.6,19.0
2015-08-11,128.4,148.3,128.4,137.4,140.700466742,53777.0,626.0,7566449.0,37797.0,70.28,19.9,9.0
2015-08-12,138.0,140.0,115.6,125.7,130.601110597,4322.0,116.0,564458.0,3157.0,73.04,24.4,-12.3
2015-08-13,127.0,143.9,127.0,133.7,135.986580456,8197.0,171.0,1114682.0,6103.0,74.45,16.9,6.7
2015-08-14,136.6,137.5,120.1,121.6,127.369287416,4617.0,85.0,588064.0,3015.0,65.3,17.4,-15.0
2015-08-17,102.0,126.8,102.0,111.6,112.017045455,3520.0,57.0,394300.0,2781.0,79.01,24.8,9.6
2015-08-18,113.9,113.9,108.1,108.6,109.989966555,897.0,23.0,98661.0,834.0,92.98,5.8,-5.3
2015-08-19,112.7,117.0,108.0,116.4,114.027799841,2518.0,38.0,287122.0,925.0,36.74,9.0,3.7
2015-08-20,118.0,119.7,112.8,117.2,116.464722484,1063.0,25.0,123802.0,781.0,73.47,6.9,-0.8
2015-08-21,107.0,116.7,107.0,114.8,111.900943396,424.0,12.0,47446.0,240.0,56.6,9.7,7.8
2015-08-24,101.1,108.0,98.5,105.8,105.084130982,7940.0,87.0,834368.0,5500.0,69.27,9.5,4.7
2015-08-25,110.5,110.5,86.0,97.0,96.4073641766,9424.0,128.0,908543.0,6829.0,72.46,24.5,-13.5
2015-08-26,96.0,110.0,96.0,100.0,102.138964578,367.0,23.0,37485.0,231.0,62.94,14.0,4.0
2015-08-27,99.0,107.2,97.1,103.0,103.453656463,2352.0,61.0,243323.0,1780.0,75.68,10.1,4.0
2015-08-28,102.0,107.0,98.1,104.3,100.431314623,1354.0,30.0,135984.0,1250.0,92.32,8.9,2.3
2015-08-31,100.0,109.7,97.7,102.0,100.932059448,942.0,45.0,95078.0,784.0,83.23,12.0,2.0
2015-09-01,100.9,101.0,94.1,95.8,96.4809081527,1938.0,67.0,186980.0,1364.0,70.38,6.9,-5.1
2015-09-02,94.9,99.9,94.9,95.5,97.45,280.0,10.0,27286.0,255.0,91.07,5.0,0.6
2015-09-03,95.1,98.7,95.1,98.5,97.3042253521,355.0,16.0,34543.0,201.0,56.62,3.6,3.4
2015-09-04,99.0,100.0,92.5,94.1,99.1921686747,3320.0,17.0,329318.0,3257.0,98.1,7.5,-4.9
2015-09-07,94.1,103.0,90.0,94.2,93.8074696005,6908.0,47.0,648022.0,6293.0,91.1,13.0,0.1
2015-09-08,94.0,94.0,91.3,92.2,92.47,120.0,4.0,11096.0,120.0,100.0,2.7,-1.8
2015-09-09,96.0,96.0,92.7,95.8,95.75,134.0,7.0,12830.0,129.0,96.27,3.3,-0.2
2015-09-10,95.0,95.0,91.8,94.9,94.14,151.0,8.0,14215.0,136.0,90.07,3.2,-0.1
2015-09-11,89.0,99.4,89.0,98.3,97.22,365.0,14.0,35484.0,240.0,65.75,10.4,9.3
2015-09-14,100.0,100.0,100.0,100.0,100.0,3.0,2.0,300.0,3.0,100.0,0.0,0.0
2015-09-15,94.3,95.0,94.2,94.5,94.52,67.0,5.0,6333.0,57.0,85.07,0.8,0.2
2015-09-16,90.0,99.3,90.0,97.3,96.97,225.0,11.0,21819.0,94.0,41.78,9.3,7.3
2015-09-18,94.2,95.0,90.5,90.6,92.55,2725.0,47.0,252207.0,2000.0,73.39,4.5,-3.6
2015-09-21,91.0,95.8,90.0,91.9,90.71,383.0,12.0,34742.0,351.0,91.64,5.8,0.9
2015-09-22,95.0,100.0,91.1,91.5,98.95,12358.0,99.0,1222785.0,10109.0,81.8,8.9,-3.5
2015-09-23,94.8,94.9,91.4,91.8,92.02,121.0,6.0,11134.0,100.0,82.64,3.5,-3.0
2015-09-24,92.0,94.6,90.1,91.1,91.25,300.0,7.0,27375.0,270.0,90.0,4.5,-0.9
2015-09-28,91.3,94.9,91.2,91.7,94.86,22216.0,10.0,2107460.0,22216.0,100.0,3.7,0.4
