Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,222.5,226.5,216.0,220.1,220.270064736,73375.0,3003.0,16162316.0,12727.0,17.35,10.5,-2.4
2015-04-06,228.0,236.4,223.2,231.5,229.755449845,166702.0,5602.0,38300693.0,31635.0,18.98,13.2,3.5
2015-04-07,235.95,243.0,226.0,238.6,235.64973872,150796.0,4605.0,35535038.0,42088.0,27.91,17.0,2.65
2015-04-08,237.2,246.8,237.2,244.3,244.098163482,94200.0,3791.0,22994047.0,27819.0,29.53,9.6,7.1
2015-04-09,250.0,250.0,235.25,237.6,239.588256501,41606.0,1852.0,9968309.0,8165.0,19.62,14.75,-12.4
2015-04-10,238.95,238.95,232.0,233.45,234.521068933,27766.0,1325.0,6511712.0,9698.0,34.93,6.95,-5.5
2015-04-13,245.85,245.85,227.9,230.65,233.785169768,41321.0,2088.0,9660237.0,9925.0,24.02,17.95,-15.2
2015-04-15,234.8,242.6,223.5,228.05,235.365931764,100240.0,3057.0,23593081.0,25324.0,25.26,19.1,-6.75
2015-04-16,234.25,234.25,221.9,223.7,224.795542805,57166.0,1536.0,12850662.0,36480.0,63.81,12.35,-10.55
2015-04-17,224.15,224.75,216.6,217.8,218.038977506,281547.0,1007.0,61388220.0,267617.0,95.05,8.15,-6.35
2015-04-20,225.0,225.0,214.0,218.45,219.234599059,43585.0,2056.0,9555340.0,20830.0,47.79,11.0,-6.55
2015-04-21,224.95,224.95,212.05,213.85,216.32038251,16627.0,1008.0,3596759.0,4747.0,28.55,12.9,-11.1
2015-04-22,215.25,216.5,208.15,209.75,211.861928934,25610.0,1209.0,5425784.0,9120.0,35.61,8.35,-5.5
2015-04-23,212.0,214.0,208.2,209.85,210.520466499,21865.0,1083.0,4603030.0,5546.0,25.36,5.8,-2.15
2015-04-24,210.7,210.7,197.0,199.0,199.492431384,206841.0,1394.0,41263214.0,191033.0,92.36,13.7,-11.7
2015-04-27,199.0,199.85,192.1,194.6,194.935158268,135530.0,1434.0,26419562.0,116425.0,85.9,7.75,-4.4
2015-04-28,194.0,201.0,192.85,197.7,197.485811467,20580.0,1028.0,4064258.0,5898.0,28.66,8.15,3.7
2015-04-29,205.0,207.1,198.1,199.8,202.866738421,59462.0,2530.0,12062862.0,19103.0,32.13,9.0,-5.2
2015-04-30,199.0,211.0,199.0,204.6,206.676280196,38002.0,1757.0,7854112.0,8087.0,21.28,12.0,5.6
2015-05-04,204.3,206.0,203.2,203.75,204.261283616,14911.0,680.0,3045740.0,6505.0,43.63,2.8,-0.55
2015-05-05,204.8,205.0,200.0,201.05,202.81386612,14640.0,471.0,2969195.0,7965.0,54.41,5.0,-3.75
2015-05-06,202.0,202.0,194.8,195.55,197.366930339,15676.0,727.0,3093924.0,6536.0,41.69,7.2,-6.45
2015-05-07,192.25,194.1,187.8,188.6,190.312522298,14015.0,826.0,2667230.0,5220.0,37.25,6.3,-3.65
2015-05-08,190.0,193.0,186.8,188.45,190.609404321,18651.0,1191.0,3555056.0,10593.0,56.8,6.2,-1.55
2015-05-11,193.7,193.95,187.3,188.1,190.075128451,47878.0,1223.0,9100417.0,22816.0,47.65,6.65,-5.6
2015-05-12,190.35,191.85,180.0,181.95,187.262853218,61152.0,1073.0,11451498.0,41058.0,67.14,11.85,-8.4
2015-05-13,183.55,186.8,180.55,182.8,183.527430487,25355.0,849.0,4653338.0,8063.0,31.8,6.25,-0.75
2015-05-14,183.45,184.3,181.0,182.0,182.457829891,16801.0,533.0,3065474.0,7179.0,42.73,3.3,-1.45
2015-05-15,180.95,181.7,175.1,178.55,177.798847617,69942.0,1749.0,12435607.0,26531.0,37.93,6.6,-2.4
2015-05-18,181.0,181.8,176.1,177.15,178.502180123,26604.0,769.0,4748872.0,11729.0,44.09,5.7,-3.85
2015-05-19,177.25,183.5,175.0,175.55,179.241326167,51909.0,1400.0,9304238.0,22250.0,42.86,8.5,-1.7
2015-05-20,176.6,177.85,170.5,172.3,174.663428208,105297.0,1959.0,18391535.0,67288.0,63.9,7.35,-4.3
2015-05-21,173.5,173.95,137.85,149.65,148.718855492,462417.0,9126.0,68770127.0,110015.0,23.79,36.1,-23.85
2015-05-22,149.0,158.9,148.0,149.2,153.474547996,133074.0,3578.0,20423472.0,25008.0,18.79,10.9,0.2
2015-05-25,150.6,155.0,147.65,149.4,150.315896974,332925.0,1815.0,50043920.0,267623.0,80.39,7.35,-1.2
2015-05-26,150.9,154.0,143.75,148.45,149.946996466,49242.0,1150.0,7383690.0,12785.0,25.96,10.25,-2.45
2015-05-27,138.45,149.0,136.8,146.05,141.812997144,222018.0,4105.0,31485038.0,61703.0,27.79,12.2,7.6
2015-05-28,146.3,149.7,142.5,143.85,146.337540022,213945.0,1422.0,31308185.0,173480.0,81.09,7.2,-2.45
2015-05-29,143.85,146.0,140.0,142.75,142.174162158,53232.0,1282.0,7568215.0,22232.0,41.76,6.0,-1.1
2015-06-01,143.7,145.45,141.85,142.6,143.049189841,22403.0,592.0,3204731.0,8596.0,38.37,3.6,-1.1
2015-06-02,145.0,146.5,140.5,141.75,142.730369908,35252.0,1181.0,5031531.0,13562.0,38.47,6.0,-3.25
2015-06-03,144.5,144.95,127.15,134.35,133.881165432,68953.0,1829.0,9231508.0,26020.0,37.74,17.8,-10.15
2015-06-04,134.05,148.0,128.0,139.85,140.38523399,193363.0,4633.0,27145310.0,68725.0,35.54,20.0,5.8
2015-06-05,138.5,167.8,136.5,167.8,158.574526298,289106.0,5436.0,45844847.0,65892.0,22.79,31.3,29.3
2015-06-08,170.5,175.9,148.55,154.45,159.069715525,202021.0,4762.0,32135423.0,45128.0,22.34,27.35,-16.05
2015-06-09,156.0,184.05,155.3,180.7,174.738673252,701746.0,13323.0,122622165.0,83753.0,11.93,28.75,24.7
2015-06-10,179.9,187.65,171.8,176.9,181.048100398,469809.0,9207.0,85058027.0,86657.0,18.45,15.85,-3.0
2015-06-11,179.9,188.0,162.15,167.25,178.790846276,509869.0,10060.0,91159910.0,84895.0,16.65,25.85,-12.65
2015-06-12,174.0,186.7,171.7,180.9,180.336572195,897023.0,13296.0,161766053.0,311443.0,34.72,15.0,6.9
2015-06-15,182.9,187.3,177.3,180.0,180.858616964,345197.0,4423.0,62431852.0,102435.0,29.67,10.0,-2.9
2015-06-16,180.9,182.4,173.5,175.8,176.859947977,82655.0,1918.0,14618359.0,12833.0,15.53,8.9,-5.1
2015-06-17,177.0,178.2,171.5,173.05,175.057451237,41322.0,1004.0,7233724.0,8209.0,19.87,6.7,-3.95
2015-06-18,172.95,176.65,170.85,171.7,173.297673081,48691.0,1128.0,8438037.0,12509.0,25.69,5.8,-1.25
2015-06-19,173.4,174.9,168.0,168.95,170.505054872,30070.0,670.0,5127087.0,7838.0,26.07,6.9,-4.45
2015-06-22,169.7,178.5,166.05,176.45,174.082809937,85340.0,1797.0,14856227.0,17466.0,20.47,12.45,6.75
2015-06-23,178.0,184.0,174.1,183.2,181.88604205,308061.0,3331.0,56031996.0,183139.0,59.45,9.9,5.2
2015-06-24,181.55,204.55,181.55,194.3,194.186338451,470869.0,8562.0,91436327.0,89945.0,19.1,23.0,12.75
2015-06-25,195.25,200.8,192.0,193.9,195.614479978,143619.0,3070.0,28093956.0,29278.0,20.39,8.8,-1.35
2015-06-26,194.8,196.0,185.0,194.3,191.569796814,126682.0,2302.0,24268445.0,20415.0,16.12,11.0,-0.5
2015-06-29,189.95,190.15,184.55,187.15,187.646908228,117182.0,1565.0,21988840.0,60279.0,51.44,5.6,-2.8
2015-06-30,185.95,191.2,183.2,185.3,187.45726,62927.0,1104.0,11796123.0,21179.0,33.66,8.0,-0.65
2015-07-01,192.85,196.9,188.6,191.15,192.066177942,134909.0,2482.0,25911456.0,27471.0,20.36,8.3,-1.7
2015-07-02,193.9,194.8,184.4,186.15,189.006723816,61126.0,1168.0,11553225.0,23932.0,39.15,10.4,-7.75
2015-07-03,186.0,186.9,180.4,181.15,181.998374817,158136.0,1102.0,28780495.0,75671.0,47.85,6.5,-4.85
2015-07-06,179.0,184.0,175.0,182.55,181.077029575,67896.0,1197.0,12294406.0,15846.0,23.34,9.0,3.55
2015-07-07,183.95,187.65,180.5,182.2,183.926713183,61771.0,932.0,11361337.0,22074.0,35.74,7.15,-1.75
2015-07-08,180.0,189.75,177.4,181.35,183.595980536,93097.0,1630.0,17092235.0,17517.0,18.82,12.35,1.35
2015-07-09,184.85,186.1,179.2,180.6,182.802868879,31162.0,667.0,5696503.0,6069.0,19.48,6.9,-4.25
2015-07-10,182.1,183.4,180.05,181.0,181.670161084,19555.0,464.0,3552560.0,6879.0,35.18,3.35,-1.1
2015-07-13,182.0,183.75,180.85,181.6,182.090521016,9136.0,282.0,1663579.0,1706.0,18.67,2.9,-0.4
2015-07-14,182.85,191.45,182.25,186.7,188.173812778,95833.0,1804.0,18033261.0,17896.0,18.67,9.2,3.85
2015-07-15,189.0,192.55,185.1,185.8,189.082955306,53788.0,1169.0,10170394.0,14239.0,26.47,7.45,-3.2
2015-07-16,184.1,187.8,181.0,185.6,186.009116776,17221.0,305.0,3203263.0,7724.0,44.85,6.8,1.5
2015-07-17,187.9,187.9,180.2,181.85,182.898529273,31753.0,665.0,5807577.0,15608.0,49.15,7.7,-6.05
2015-07-20,187.0,187.0,182.2,184.0,184.981412839,18615.0,385.0,3443429.0,5670.0,30.46,4.8,-3.0
2015-07-21,184.8,187.25,177.6,178.75,183.285116898,26305.0,511.0,4821315.0,6551.0,24.9,9.65,-6.05
