Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,74.5,78.0,74.5,78.0,76.1333333333,150.0,6.0,11420.0,150.0,100.0,3.5,3.5
2015-04-06,81.9,81.9,81.9,81.9,81.8666666667,15.0,2.0,1228.0,15.0,100.0,0.0,0.0
2015-04-07,85.0,85.95,84.0,84.05,84.9371727749,191.0,14.0,16223.0,191.0,100.0,1.95,-0.95
2015-04-08,88.0,88.0,88.0,88.0,88.0,20.0,2.0,1760.0,20.0,100.0,0.0,0.0
2015-04-09,89.75,89.75,89.75,89.75,89.75,20.0,6.0,1795.0,20.0,100.0,0.0,0.0
2015-04-10,91.5,91.5,91.5,91.5,91.5,160.0,8.0,14640.0,160.0,100.0,0.0,0.0
2015-04-16,91.5,91.5,91.5,91.5,91.5,100.0,2.0,9150.0,100.0,100.0,0.0,0.0
2015-06-18,96.05,96.05,96.05,96.05,96.0,1.0,1.0,96.0,1.0,100.0,0.0,0.0
2015-06-19,100.85,100.85,100.5,100.5,100.7,260.0,6.0,26182.0,260.0,100.0,0.35,-0.35
2015-06-22,103.0,103.0,102.75,102.75,102.949044586,157.0,3.0,16163.0,157.0,100.0,0.25,-0.25
2015-06-23,102.5,102.75,102.5,102.75,102.53,100.0,3.0,10253.0,100.0,100.0,0.25,0.25
2015-06-30,97.65,97.65,97.65,97.65,97.0,1.0,1.0,97.0,1.0,100.0,0.0,0.0
2015-07-03,92.8,92.8,92.8,92.8,92.0,1.0,1.0,92.0,1.0,100.0,0.0,0.0
2015-07-10,88.2,90.0,88.2,90.0,89.981109264,33085.0,9.0,2977025.0,33085.0,100.0,1.8,1.8
2015-07-13,89.0,89.0,89.0,89.0,89.0,4100.0,17.0,364900.0,4100.0,100.0,0.0,0.0
2015-07-14,87.9,88.0,87.9,88.0,87.999,5000.0,8.0,439995.0,5000.0,100.0,0.1,0.1
2015-07-15,88.0,88.25,87.2,87.45,87.8480952381,4200.0,20.0,368962.0,4200.0,100.0,1.05,-0.55
2015-07-16,87.45,87.45,86.5,86.8,86.9266666667,3000.0,103.0,260780.0,3000.0,100.0,0.95,-0.65
2015-07-17,84.8,84.8,82.5,83.0,83.9805982215,4948.0,51.0,415536.0,4948.0,100.0,2.3,-1.8
2015-07-20,83.0,83.25,78.85,79.5,80.3976617817,6073.0,138.0,488255.0,6073.0,100.0,4.4,-3.5
2015-07-21,81.5,81.5,75.55,75.55,78.7695958108,6111.0,34.0,481361.0,6111.0,100.0,5.95,-5.95
2015-07-22,75.0,78.0,71.8,75.35,75.2461655608,9193.0,49.0,691738.0,9193.0,100.0,6.2,0.35
2015-07-23,78.0,79.0,73.0,78.5,77.1631790319,9462.0,47.0,730118.0,9462.0,100.0,6.0,0.5
2015-07-24,80.0,80.9,79.4,80.1,80.2465789474,7600.0,83.0,609874.0,7600.0,100.0,1.5,0.1
2015-07-27,82.0,82.0,78.5,78.75,80.8510416667,4800.0,26.0,388085.0,4800.0,100.0,3.5,-3.25
2015-07-28,78.0,78.0,77.7,77.7,77.793956044,3276.0,11.0,254853.0,3276.0,100.0,0.3,-0.3
2015-07-29,79.5,79.5,78.5,79.3,79.2875,4000.0,30.0,317150.0,4000.0,100.0,1.0,-0.2
2015-07-30,79.0,79.9,76.0,77.5,78.7691836735,4900.0,30.0,385969.0,4900.0,100.0,3.9,-1.5
2015-07-31,80.0,80.0,75.95,80.0,78.3889127632,4654.0,28.0,364822.0,4654.0,100.0,4.05,0.0
2015-08-03,81.5,81.5,79.8,79.8,80.34,2500.0,19.0,200850.0,2500.0,100.0,1.7,-1.7
2015-08-04,79.45,79.45,77.1,77.35,78.3477011494,348.0,32.0,27265.0,348.0,100.0,2.35,-2.1
2015-08-05,77.65,79.75,77.45,79.25,79.3855128828,2057.0,14.0,163296.0,2057.0,100.0,2.3,1.6
2015-08-06,80.8,80.8,80.8,80.8,80.8,1000.0,2.0,80800.0,1000.0,100.0,0.0,0.0
2015-08-07,80.5,81.0,80.5,80.5,80.5388235294,850.0,124.0,68458.0,850.0,100.0,0.5,0.0
2015-08-10,79.25,79.9,78.0,79.9,79.3286384977,1917.0,24.0,152073.0,1917.0,100.0,1.9,0.65
2015-08-11,79.6,79.6,77.6,78.5,78.2579345088,1985.0,24.0,155342.0,1985.0,100.0,2.0,-1.1
2015-08-12,78.4,79.7,78.0,79.7,79.466991342,1848.0,17.0,146855.0,1848.0,100.0,1.7,1.3
2015-08-13,79.5,81.0,76.0,80.0,79.5465949821,2790.0,52.0,221935.0,2790.0,100.0,5.0,0.5
2015-08-14,80.0,82.0,80.0,80.35,80.3124312431,909.0,6.0,73004.0,909.0,100.0,2.0,0.35
2015-08-17,79.0,79.5,79.0,79.5,79.25,200.0,2.0,15850.0,200.0,100.0,0.5,0.5
2015-08-18,80.0,81.0,80.0,81.0,80.5,200.0,2.0,16100.0,200.0,100.0,1.0,1.0
2015-08-19,80.0,80.0,79.55,79.55,79.9636363636,110.0,6.0,8796.0,110.0,100.0,0.45,-0.45
