Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,1.32,1.32,1.32,1.32,1.31947743468,842.0,5.0,1111.0,842.0,100.0,0.0,0.0
2015-04-06,1.38,1.38,1.38,1.38,1.38,200.0,4.0,276.0,200.0,100.0,0.0,0.0
2015-04-09,1.32,1.32,1.32,1.32,1.3,40.0,2.0,52.0,40.0,100.0,0.0,0.0
2015-04-10,1.28,1.38,1.28,1.38,1.28125,160.0,5.0,205.0,160.0,100.0,0.1,0.1
2015-04-13,1.44,1.44,1.44,1.44,1.4,5.0,2.0,7.0,5.0,100.0,0.0,0.0
2015-04-15,1.51,1.51,1.51,1.51,1.5091954023,870.0,5.0,1313.0,870.0,100.0,0.0,0.0
2015-04-17,1.58,1.58,1.58,1.58,1.57878787879,330.0,4.0,521.0,330.0,100.0,0.0,0.0
2015-04-20,1.65,1.65,1.65,1.65,1.64935064935,770.0,8.0,1270.0,770.0,100.0,0.0,0.0
2015-04-22,1.72,1.73,1.72,1.73,1.72749391727,822.0,7.0,1420.0,822.0,100.0,0.01,0.01
2015-04-23,1.81,1.81,1.8,1.8,1.80601092896,366.0,4.0,661.0,366.0,100.0,0.01,-0.01
2015-04-24,1.89,1.89,1.89,1.89,1.88695652174,230.0,3.0,434.0,230.0,100.0,0.0,0.0
2015-04-29,1.98,1.98,1.8,1.8,1.95720524017,1145.0,8.0,2241.0,1145.0,100.0,0.18,-0.18
2015-05-05,1.71,1.71,1.71,1.71,1.71,200.0,2.0,342.0,200.0,100.0,0.0,0.0
2015-06-09,1.65,1.65,1.65,1.65,1.65,100.0,1.0,165.0,100.0,100.0,0.0,0.0
2015-06-18,1.57,1.57,1.57,1.57,1.5,10.0,1.0,15.0,10.0,100.0,0.0,0.0
2015-06-19,1.5,1.5,1.5,1.5,1.5,10.0,1.0,15.0,10.0,100.0,0.0,0.0
2015-06-22,1.43,1.43,1.43,1.43,1.42857142857,70.0,3.0,100.0,70.0,100.0,0.0,0.0
2015-06-23,1.37,1.37,1.37,1.37,1.3625,80.0,2.0,109.0,80.0,100.0,0.0,0.0
2015-06-25,1.32,1.33,1.31,1.31,1.31612903226,310.0,4.0,408.0,310.0,100.0,0.02,-0.01
2015-06-29,1.31,1.37,1.31,1.37,1.36301369863,146.0,2.0,199.0,146.0,100.0,0.06,0.06
2015-06-30,1.43,1.43,1.43,1.43,1.42923976608,855.0,2.0,1222.0,855.0,100.0,0.0,0.0
2015-07-02,1.36,1.36,1.36,1.36,1.36,600.0,3.0,816.0,600.0,100.0,0.0,0.0
2015-07-03,1.32,1.33,1.32,1.32,1.32727272727,330.0,6.0,438.0,330.0,100.0,0.01,0.0
2015-07-06,1.29,1.29,1.29,1.29,1.28048780488,82.0,2.0,105.0,82.0,100.0,0.0,0.0
2015-07-08,1.23,1.23,1.23,1.23,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-07-10,1.18,1.18,1.18,1.18,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-07-13,1.16,1.16,1.16,1.16,1.1,10.0,1.0,11.0,10.0,100.0,0.0,0.0
2015-07-14,1.12,1.12,1.12,1.12,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-07-15,1.13,1.13,1.13,1.13,1.11666666667,60.0,4.0,67.0,60.0,100.0,0.0,0.0
2015-07-16,1.18,1.18,1.18,1.18,1.18,100.0,2.0,118.0,100.0,100.0,0.0,0.0
2015-07-17,1.15,1.15,1.15,1.15,1.15,380.0,4.0,437.0,380.0,100.0,0.0,0.0
2015-07-20,1.15,1.15,1.15,1.15,1.15,400.0,1.0,460.0,400.0,100.0,0.0,0.0
2015-07-21,1.1,1.1,1.1,1.1,1.1,1300.0,4.0,1430.0,1300.0,100.0,0.0,0.0
2015-07-30,1.15,1.15,1.15,1.15,1.15,100.0,1.0,115.0,100.0,100.0,0.0,0.0
2015-08-05,1.2,1.2,1.19,1.19,1.19931271478,1164.0,4.0,1396.0,1164.0,100.0,0.01,-0.01
2015-08-07,1.24,1.24,1.24,1.24,1.24,100.0,1.0,124.0,100.0,100.0,0.0,0.0
2015-08-10,1.3,1.3,1.3,1.3,1.3,510.0,2.0,663.0,510.0,100.0,0.0,0.0
2015-08-11,1.36,1.36,1.36,1.36,1.3,10.0,1.0,13.0,10.0,100.0,0.0,0.0
2015-08-12,1.42,1.42,1.42,1.42,1.38,21.0,2.0,29.0,21.0,100.0,0.0,0.0
2015-08-13,1.35,1.35,1.35,1.35,1.35,1912.0,4.0,2581.0,1912.0,100.0,0.0,0.0
2015-08-14,1.41,1.41,1.41,1.41,1.4,50.0,3.0,70.0,50.0,100.0,0.0,0.0
2015-08-17,1.41,1.48,1.41,1.48,1.45,920.0,6.0,1332.0,920.0,100.0,0.07,0.07
2015-08-18,1.53,1.54,1.53,1.54,1.54,2620.0,4.0,4024.0,2620.0,100.0,0.01,0.01
2015-08-19,1.54,1.61,1.54,1.6,1.56,280.0,4.0,437.0,280.0,100.0,0.07,0.06
2015-08-20,1.67,1.67,1.67,1.67,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-08-21,1.6,1.75,1.6,1.75,1.75,1775.0,4.0,3103.0,1775.0,100.0,0.15,0.15
2015-08-26,1.83,1.83,1.83,1.83,1.83,200.0,1.0,366.0,200.0,100.0,0.0,0.0
2015-08-28,1.9,1.9,1.9,1.9,1.9,90.0,3.0,171.0,90.0,100.0,0.0,0.0
2015-08-31,1.99,1.99,1.99,1.99,1.99,221.0,2.0,439.0,221.0,100.0,0.0,0.0
2015-09-01,1.9,1.9,1.9,1.9,1.9,10.0,1.0,19.0,10.0,100.0,0.0,0.0
2015-09-02,1.81,1.81,1.81,1.81,1.81,320.0,3.0,579.0,320.0,100.0,0.0,0.0
2015-09-04,1.72,1.72,1.72,1.72,1.72,1030.0,5.0,1771.0,1030.0,100.0,0.0,0.0
2015-09-07,1.64,1.64,1.64,1.64,1.62,26.0,3.0,42.0,26.0,100.0,0.0,0.0
2015-09-08,1.56,1.56,1.56,1.56,1.55,20.0,1.0,31.0,20.0,100.0,0.0,0.0
2015-09-09,1.49,1.49,1.49,1.49,1.49,45.0,2.0,67.0,45.0,100.0,0.0,0.0
2015-09-14,1.42,1.42,1.42,1.42,1.42,55.0,4.0,78.0,55.0,100.0,0.0,0.0
2015-09-21,1.35,1.35,1.35,1.35,1.35,110.0,5.0,148.0,110.0,100.0,0.0,0.0
2015-09-22,1.29,1.41,1.29,1.41,1.31,5300.0,12.0,6957.0,5300.0,100.0,0.12,0.12
2015-09-23,1.34,1.48,1.34,1.48,1.42,240.0,3.0,341.0,240.0,100.0,0.14,0.14
2015-09-24,1.55,1.55,1.55,1.55,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0
2015-09-28,1.57,1.59,1.57,1.59,1.58,50.0,3.0,79.0,50.0,100.0,0.02,0.02
2015-09-29,1.66,1.66,1.66,1.66,1.66,35.0,3.0,58.0,35.0,100.0,0.0,0.0
2015-09-30,1.74,1.74,1.74,1.74,1.73,30.0,1.0,52.0,30.0,100.0,0.0,0.0
2015-10-05,1.8,1.82,1.75,1.82,1.8,1550.0,5.0,2789.0,1550.0,100.0,0.07,0.02
2015-10-07,1.82,1.82,1.82,1.82,1.82,440.0,2.0,800.0,440.0,100.0,0.0,0.0
2015-10-27,1.91,1.91,1.91,1.91,1.91,100.0,1.0,191.0,100.0,100.0,0.0,0.0
2015-10-30,1.82,1.82,1.82,1.82,1.5,2.0,1.0,3.0,2.0,100.0,0.0,0.0
2015-11-16,1.91,1.91,1.91,1.91,1.91,1601.0,3.0,3057.0,1601.0,100.0,0.0,0.0
2015-11-17,1.9,2.0,1.9,2.0,1.99,3050.0,7.0,6060.0,3050.0,100.0,0.1,0.1
2015-11-18,2.1,2.1,2.1,2.1,2.1,100.0,2.0,210.0,100.0,100.0,0.0,0.0
2015-11-19,2.0,2.0,2.0,2.0,2.0,300.0,1.0,600.0,300.0,100.0,0.0,0.0
2015-11-23,1.9,1.9,1.9,1.9,1.9,180.0,1.0,342.0,180.0,100.0,0.0,0.0
2015-11-24,1.9,1.9,1.9,1.9,1.9,150.0,2.0,285.0,150.0,100.0,0.0,0.0
2015-11-26,1.99,1.99,1.99,1.99,1.99,1509.0,4.0,3002.0,1509.0,100.0,0.0,0.0
2015-11-27,1.9,1.9,1.9,1.9,1.9,345.0,1.0,655.0,345.0,100.0,0.0,0.0
2015-12-03,1.81,1.81,1.81,1.81,1.81,420.0,2.0,760.0,420.0,100.0,0.0,0.0
2015-12-08,1.72,1.72,1.72,1.72,1.63,8.0,1.0,13.0,8.0,100.0,0.0,0.0
2015-12-10,1.64,1.64,1.64,1.64,1.64,200.0,3.0,328.0,200.0,100.0,0.0,0.0
2015-12-11,1.56,1.72,1.56,1.72,1.58,700.0,8.0,1108.0,600.0,85.71,0.16,0.16
2015-12-14,1.8,1.8,1.8,1.8,1.8,150.0,2.0,270.0,150.0,100.0,0.0,0.0
2015-12-15,1.89,1.89,1.89,1.89,1.89,530.0,4.0,1001.0,530.0,100.0,0.0,0.0
2015-12-17,1.89,1.89,1.81,1.81,1.88,1200.0,5.0,2258.0,1200.0,100.0,0.08,-0.08
2015-12-22,1.72,1.72,1.72,1.72,1.72,100.0,2.0,172.0,100.0,100.0,0.0,0.0
2015-12-23,1.7,1.7,1.7,1.7,1.7,260.0,4.0,442.0,260.0,100.0,0.0,0.0
2015-12-24,1.62,1.62,1.62,1.62,1.62,200.0,3.0,324.0,200.0,100.0,0.0,0.0
2015-12-28,1.54,1.7,1.54,1.7,1.54,1933.0,9.0,2984.0,1933.0,100.0,0.16,0.16
2015-12-29,1.62,1.78,1.62,1.78,1.74,164.0,4.0,285.0,164.0,100.0,0.16,0.16
2015-12-30,1.86,1.86,1.8,1.86,1.85,280.0,12.0,518.0,280.0,100.0,0.06,0.0
2015-12-31,1.95,1.95,1.95,1.95,1.95,229.0,4.0,446.0,229.0,100.0,0.0,0.0
2016-01-01,2.04,2.04,2.04,2.04,2.04,175.0,3.0,357.0,175.0,100.0,0.0,0.0
