Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-06-15,6.3,6.3,6.3,6.3,6.3,80.0,2.0,504.0,80.0,100.0,0.0,0.0
2015-06-16,6.61,6.61,6.61,6.61,6.61,216.0,3.0,1427.0,216.0,100.0,0.0,0.0
2015-06-17,6.94,6.94,6.94,6.94,6.91,35.0,1.0,242.0,35.0,100.0,0.0,0.0
2015-06-18,7.28,7.28,7.28,7.28,7.26,35.0,1.0,254.0,35.0,100.0,0.0,0.0
2015-06-19,7.64,7.64,7.64,7.64,7.64,69.0,3.0,527.0,69.0,100.0,0.0,0.0
2015-07-01,8.02,8.02,8.02,8.02,8.0,34.0,1.0,272.0,34.0,100.0,0.0,0.0
2015-07-17,7.62,7.62,7.62,7.62,7.6,5.0,1.0,38.0,5.0,100.0,0.0,0.0
2015-07-20,7.24,7.24,7.24,7.24,7.2,5.0,1.0,36.0,5.0,100.0,0.0,0.0
2015-07-22,6.88,6.88,6.88,6.88,6.8,5.0,1.0,34.0,5.0,100.0,0.0,0.0
2015-07-23,6.54,6.54,6.54,6.54,6.4,5.0,1.0,32.0,5.0,100.0,0.0,0.0
2015-07-29,6.22,6.22,6.22,6.22,6.2,5.0,1.0,31.0,5.0,100.0,0.0,0.0
2015-07-31,5.95,5.95,5.95,5.95,5.9,10.0,1.0,59.0,10.0,100.0,0.0,0.0
2015-08-03,5.7,5.7,5.7,5.7,5.6,5.0,1.0,28.0,5.0,100.0,0.0,0.0
2015-08-04,5.45,5.45,5.45,5.45,5.4,10.0,1.0,54.0,10.0,100.0,0.0,0.0
2015-08-06,5.2,5.2,5.2,5.2,5.0,2.0,1.0,10.0,2.0,100.0,0.0,0.0
2015-08-11,4.98,4.98,4.98,4.98,4.8,5.0,1.0,24.0,5.0,100.0,0.0,0.0
2015-08-13,4.76,4.76,4.76,4.76,4.6,5.0,1.0,23.0,5.0,100.0,0.0,0.0
2015-08-17,4.55,4.55,4.55,4.55,4.4,5.0,1.0,22.0,5.0,100.0,0.0,0.0
2015-08-19,4.36,4.36,4.36,4.36,4.2,5.0,1.0,21.0,5.0,100.0,0.0,0.0
2015-08-25,4.15,4.15,4.15,4.15,4.0,5.0,1.0,20.0,5.0,100.0,0.0,0.0
2015-08-28,3.95,3.95,3.95,3.95,3.8,5.0,1.0,19.0,5.0,100.0,0.0,0.0
