Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-30,17.6,17.6,17.6,17.6,17.0,1.0,2.0,17.0,1.0,100.0,0.0,0.0
2015-05-05,17.95,17.95,17.95,17.95,17.0,1.0,2.0,17.0,1.0,100.0,0.0,0.0
2015-05-07,18.75,18.75,18.75,18.75,18.0,1.0,2.0,18.0,1.0,100.0,0.0,0.0
2015-05-12,18.75,18.75,18.75,18.75,18.0,1.0,1.0,18.0,1.0,100.0,0.0,0.0
2015-05-19,19.35,19.35,19.35,19.35,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2015-05-26,20.0,20.0,20.0,20.0,20.0,1.0,1.0,20.0,1.0,100.0,0.0,0.0
2015-06-04,20.9,20.9,20.45,20.45,20.5,8.0,8.0,164.0,8.0,100.0,0.45,-0.45
2015-06-12,19.45,19.45,19.45,19.45,19.44,50.0,1.0,972.0,50.0,100.0,0.0,0.0
2015-06-17,19.1,19.1,19.1,19.1,19.0,3.0,1.0,57.0,3.0,100.0,0.0,0.0
2015-06-18,19.0,19.0,19.0,19.0,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2015-06-19,19.0,19.0,19.0,19.0,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2015-06-24,19.0,19.0,19.0,19.0,19.0,3.0,3.0,57.0,3.0,100.0,0.0,0.0
2015-06-29,19.85,19.85,19.85,19.85,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2015-07-06,20.8,20.8,20.8,20.8,20.0,1.0,1.0,20.0,1.0,100.0,0.0,0.0
2015-07-15,21.8,21.8,21.8,21.8,21.8,5.0,5.0,109.0,5.0,100.0,0.0,0.0
2015-07-17,21.8,21.8,20.75,20.75,21.78,101.0,2.0,2200.0,101.0,100.0,1.05,-1.05
2015-07-31,19.75,19.75,19.75,19.75,19.75,4.0,4.0,79.0,4.0,100.0,0.0,0.0
2015-08-12,19.25,19.25,19.25,19.25,19.0,1.0,1.0,19.0,1.0,100.0,0.0,0.0
2015-08-25,18.3,19.25,18.3,19.15,19.17,545.0,2.0,10447.0,545.0,100.0,0.95,0.85
2015-08-26,18.2,19.0,18.2,18.2,18.28,1459.0,8.0,26668.0,1459.0,100.0,0.8,0.0
2015-08-27,17.3,17.3,17.3,17.3,17.3,2000.0,4.0,34600.0,2000.0,100.0,0.0,0.0
2015-09-03,16.45,16.45,16.45,16.45,16.45,100.0,1.0,1645.0,100.0,100.0,0.0,0.0
2015-09-21,15.65,15.65,15.65,15.65,15.5,2.0,2.0,31.0,2.0,100.0,0.0,0.0
2015-09-29,14.9,14.9,14.9,14.9,14.9,100.0,1.0,1490.0,100.0,100.0,0.0,0.0
2015-10-08,14.16,14.16,14.16,14.16,14.0,1.0,1.0,14.0,1.0,100.0,0.0,0.0
2015-10-09,13.95,13.95,13.95,13.95,13.0,1.0,1.0,13.0,1.0,100.0,0.0,0.0
2015-10-12,13.95,13.95,13.95,13.95,13.0,1.0,1.0,13.0,1.0,100.0,0.0,0.0
2015-10-16,14.2,14.2,14.2,14.2,14.2,10.0,1.0,142.0,10.0,100.0,0.0,0.0
2015-10-21,13.95,13.95,13.95,13.95,13.88,8.0,1.0,111.0,8.0,100.0,0.0,0.0
2015-10-23,13.95,13.95,13.95,13.95,13.8,5.0,1.0,69.0,5.0,100.0,0.0,0.0
2015-10-27,13.26,13.26,13.26,13.26,13.2,5.0,1.0,66.0,5.0,100.0,0.0,0.0
2015-10-28,12.6,12.6,12.6,12.6,12.6,5.0,1.0,63.0,5.0,100.0,0.0,0.0
2015-11-19,11.97,11.97,11.97,11.97,11.97,1000.0,2.0,11970.0,1000.0,100.0,0.0,0.0
2015-12-16,11.96,11.96,11.96,11.96,11.0,1.0,1.0,11.0,1.0,100.0,0.0,0.0
2015-12-22,11.37,11.37,11.37,11.37,11.0,1.0,1.0,11.0,1.0,100.0,0.0,0.0
2015-12-28,11.93,11.93,11.93,11.93,11.0,1.0,1.0,11.0,1.0,100.0,0.0,0.0
2015-12-29,11.93,11.93,11.93,11.93,11.93,80.0,2.0,954.0,80.0,100.0,0.0,0.0
2016-01-01,11.51,11.51,11.51,11.51,11.0,1.0,1.0,11.0,1.0,100.0,0.0,0.0
2016-01-12,10.94,10.94,10.94,10.94,10.88,8.0,1.0,87.0,8.0,100.0,0.0,0.0
2016-04-06,10.4,10.4,10.4,10.4,10.0,2.0,1.0,20.0,2.0,100.0,0.0,0.0
2016-05-09,9.88,9.88,9.88,9.88,9.88,2000.0,1.0,19760.0,2000.0,100.0,0.0,0.0
2016-05-26,10.0,10.0,10.0,10.0,10.0,5.0,1.0,50.0,5.0,100.0,0.0,0.0
2016-06-21,10.0,10.0,10.0,10.0,10.0,15.0,1.0,150.0,15.0,100.0,0.0,0.0
2016-07-13,9.5,9.5,9.5,9.5,9.43,7.0,2.0,66.0,7.0,100.0,0.0,0.0
2016-07-14,9.03,9.03,9.03,9.03,9.03,750.0,2.0,6772.0,750.0,100.0,0.0,0.0
2016-07-18,8.58,8.58,8.58,8.58,8.58,700.0,1.0,6006.0,700.0,100.0,0.0,0.0
2016-08-30,8.16,8.16,8.16,8.16,8.15,20.0,1.0,163.0,20.0,100.0,0.0,0.0
2016-09-06,8.56,8.56,8.56,8.56,8.56,394.0,1.0,3372.0,394.0,100.0,0.0,0.0
2016-09-16,8.15,8.98,8.15,8.98,8.98,1695.0,2.0,15216.0,1695.0,100.0,0.83,0.83
2016-09-21,8.75,8.75,8.75,8.75,8.75,20.0,1.0,175.0,20.0,100.0,0.0,0.0
2016-09-23,8.32,8.32,8.32,8.32,8.32,1310.0,1.0,10899.0,1310.0,100.0,0.0,0.0
2016-09-28,7.91,7.91,7.91,7.91,7.88,25.0,1.0,197.0,25.0,100.0,0.0,0.0
2016-10-04,7.52,7.52,7.52,7.52,7.52,990.0,1.0,7444.0,990.0,100.0,0.0,0.0
2016-10-07,7.15,7.15,7.15,7.15,7.14,35.0,3.0,250.0,35.0,100.0,0.0,0.0
