Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,3.16,3.32,3.1,3.12,3.1297752809,3560.0,20.0,11142.0,3560.0,100.0,0.22,-0.04
2015-04-06,3.12,3.27,2.97,3.27,3.07528125329,9511.0,20.0,29249.0,9511.0,100.0,0.3,0.15
2015-04-07,3.42,3.42,3.11,3.11,3.14444444444,1980.0,12.0,6226.0,1980.0,100.0,0.31,-0.31
2015-04-08,3.26,3.26,3.26,3.26,3.26,2500.0,5.0,8150.0,2500.0,100.0,0.0,0.0
2015-04-09,3.41,3.42,3.41,3.42,3.41791044776,335.0,5.0,1145.0,335.0,100.0,0.01,0.01
2015-04-10,3.59,3.59,3.45,3.59,3.56732137774,3513.0,23.0,12532.0,3513.0,100.0,0.14,0.0
2015-04-13,3.76,3.76,3.76,3.76,3.76,4600.0,15.0,17296.0,4600.0,100.0,0.0,0.0
2015-04-15,3.94,3.94,3.94,3.94,3.93994654928,6361.0,32.0,25062.0,6361.0,100.0,0.0,0.0
2015-04-16,4.13,4.13,4.13,4.13,4.12995627921,6633.0,15.0,27394.0,6633.0,100.0,0.0,0.0
2015-04-17,4.33,4.33,4.3,4.33,4.32690002398,8342.0,24.0,36095.0,8342.0,100.0,0.03,0.0
2015-04-20,4.54,4.54,4.54,4.54,4.53964757709,2724.0,8.0,12366.0,2724.0,100.0,0.0,0.0
2015-04-21,4.65,4.76,4.35,4.67,4.68839839761,25462.0,93.0,119376.0,25462.0,100.0,0.41,0.02
2015-04-22,4.9,4.9,4.5,4.5,4.83120310479,19325.0,86.0,93363.0,19325.0,100.0,0.4,-0.4
2015-04-23,4.7,4.72,4.28,4.3,4.55090779637,11236.0,41.0,51134.0,11236.0,100.0,0.44,-0.4
2015-04-24,4.3,4.45,4.09,4.09,4.24235294118,5100.0,31.0,21636.0,5100.0,100.0,0.36,-0.21
2015-04-27,4.01,4.01,3.89,3.89,3.99917898194,1218.0,8.0,4871.0,1218.0,100.0,0.12,-0.12
2015-04-28,3.7,3.7,3.7,3.7,3.7,3000.0,7.0,11100.0,3000.0,100.0,0.0,0.0
2015-04-29,3.52,3.52,3.52,3.52,3.52,2200.0,4.0,7744.0,2200.0,100.0,0.0,0.0
2015-04-30,3.35,3.35,3.35,3.35,3.34930139721,501.0,4.0,1678.0,501.0,100.0,0.0,0.0
2015-05-04,3.35,3.51,3.19,3.51,3.39618015228,7749.0,24.0,26317.0,7749.0,100.0,0.32,0.16
2015-05-05,3.6,3.68,3.55,3.55,3.58661609983,8174.0,29.0,29317.0,8174.0,100.0,0.13,-0.05
2015-05-06,3.72,3.72,3.69,3.69,3.69632925473,899.0,6.0,3323.0,899.0,100.0,0.03,-0.03
2015-05-07,3.69,3.69,3.51,3.51,3.61206896552,580.0,10.0,2095.0,580.0,100.0,0.18,-0.18
2015-05-08,3.34,3.34,3.34,3.34,3.33957553059,1602.0,14.0,5350.0,1602.0,100.0,0.0,0.0
2015-05-11,3.18,3.3,3.18,3.18,3.18183206107,6550.0,10.0,20841.0,6550.0,100.0,0.12,0.0
2015-05-12,3.1,3.1,3.03,3.03,3.04998571837,3501.0,5.0,10678.0,3501.0,100.0,0.07,-0.07
2015-05-13,2.88,2.88,2.88,2.88,2.87997623292,5049.0,6.0,14541.0,5049.0,100.0,0.0,0.0
2015-05-14,2.88,2.88,2.74,2.74,2.768,5000.0,3.0,13840.0,5000.0,100.0,0.14,-0.14
2015-05-15,2.61,2.61,2.61,2.61,2.61,5000.0,6.0,13050.0,5000.0,100.0,0.0,0.0
2015-05-18,2.48,2.48,2.48,2.48,2.47993079585,11560.0,9.0,28668.0,11560.0,100.0,0.0,0.0
2015-05-19,2.48,2.48,2.36,2.36,2.37112249651,10735.0,10.0,25454.0,10735.0,100.0,0.12,-0.12
2015-05-20,2.26,2.26,2.25,2.25,2.25300842359,3324.0,8.0,7489.0,3324.0,100.0,0.01,-0.01
2015-05-21,2.14,2.14,2.14,2.14,2.13998655116,25281.0,22.0,54101.0,25281.0,100.0,0.0,0.0
2015-05-22,2.05,2.24,2.04,2.11,2.11420134983,35560.0,31.0,75181.0,35560.0,100.0,0.2,0.06
2015-05-25,2.04,2.21,2.01,2.11,2.07308620583,16159.0,22.0,33499.0,16159.0,100.0,0.2,0.07
2015-05-26,2.2,2.21,2.01,2.08,2.1526446281,12100.0,23.0,26047.0,12100.0,100.0,0.2,-0.12
2015-05-27,2.18,2.18,1.98,2.0,2.065,8400.0,13.0,17346.0,8400.0,100.0,0.2,-0.18
2015-05-28,2.04,2.04,1.96,2.04,2.03924877518,18370.0,15.0,37461.0,18370.0,100.0,0.08,0.0
2015-05-29,2.02,2.02,2.0,2.01,2.00842105263,1900.0,6.0,3816.0,1900.0,100.0,0.02,-0.01
2015-06-01,2.05,2.05,1.97,1.97,2.0321969697,3696.0,5.0,7511.0,3696.0,100.0,0.08,-0.08
2015-06-02,1.94,1.94,1.94,1.94,1.94,500.0,1.0,970.0,500.0,100.0,0.0,0.0
2015-06-03,1.91,1.91,1.91,1.91,1.90973451327,1130.0,3.0,2158.0,1130.0,100.0,0.0,0.0
2015-06-04,1.93,1.93,1.88,1.88,1.9256537344,5851.0,15.0,11267.0,5851.0,100.0,0.05,-0.05
2015-06-05,1.85,1.85,1.85,1.85,1.85,740.0,10.0,1369.0,740.0,100.0,0.0,0.0
2015-06-08,1.82,1.88,1.82,1.86,1.83157894737,1520.0,7.0,2784.0,1520.0,100.0,0.06,0.04
2015-06-09,1.89,1.89,1.83,1.89,1.87217305801,7119.0,8.0,13328.0,7119.0,100.0,0.06,0.0
2015-06-10,1.92,1.92,1.86,1.86,1.89150943396,2120.0,4.0,4010.0,2120.0,100.0,0.06,-0.06
2015-06-11,1.83,1.83,1.83,1.83,1.82222222222,90.0,3.0,164.0,90.0,100.0,0.0,0.0
2015-06-12,1.86,1.86,1.8,1.86,1.85801451187,6064.0,11.0,11267.0,6064.0,100.0,0.06,0.0
2015-06-15,1.86,1.86,1.86,1.86,1.85833333333,240.0,1.0,446.0,240.0,100.0,0.0,0.0
2015-06-16,1.85,1.89,1.85,1.89,1.88199052133,2110.0,8.0,3971.0,2110.0,100.0,0.04,0.04
2015-06-18,1.86,1.92,1.86,1.92,1.89857142857,2800.0,3.0,5316.0,2800.0,100.0,0.06,0.06
2015-06-23,1.89,1.89,1.89,1.89,1.88846153846,520.0,2.0,982.0,520.0,100.0,0.0,0.0
2015-06-24,1.9,1.9,1.9,1.9,1.9,5500.0,5.0,10450.0,5500.0,100.0,0.0,0.0
2015-06-25,1.89,1.9,1.89,1.9,1.89847259659,6678.0,9.0,12678.0,6678.0,100.0,0.01,0.01
2015-06-26,1.87,1.92,1.87,1.92,1.91778202677,7322.0,4.0,14042.0,7322.0,100.0,0.05,0.05
2015-06-29,1.9,1.95,1.9,1.92,1.90311986864,609.0,7.0,1159.0,609.0,100.0,0.05,0.02
2015-06-30,1.92,1.92,1.89,1.89,1.9176626826,753.0,6.0,1444.0,753.0,100.0,0.03,-0.03
2015-07-01,1.89,1.92,1.86,1.86,1.86565096953,5776.0,9.0,10776.0,5776.0,100.0,0.06,-0.03
2015-07-02,1.83,1.83,1.83,1.83,1.83,2100.0,3.0,3843.0,2100.0,100.0,0.0,0.0
2015-07-03,1.74,1.74,1.74,1.74,1.73984586544,4801.0,10.0,8353.0,4801.0,100.0,0.0,0.0
2015-07-06,1.66,1.66,1.66,1.66,1.66,7950.0,7.0,13197.0,7950.0,100.0,0.0,0.0
2015-07-07,1.6,1.62,1.58,1.58,1.58602641056,20825.0,29.0,33029.0,20825.0,100.0,0.04,-0.02
2015-07-08,1.55,1.55,1.51,1.51,1.51032995471,23185.0,18.0,35017.0,23185.0,100.0,0.04,-0.04
2015-07-09,1.55,1.55,1.44,1.45,1.45127498277,43530.0,19.0,63174.0,43530.0,100.0,0.11,-0.1
2015-07-10,1.52,1.52,1.52,1.52,1.51995416272,20071.0,6.0,30507.0,20071.0,100.0,0.0,0.0
2015-07-13,1.5,1.59,1.45,1.53,1.50719493477,10424.0,14.0,15711.0,10424.0,100.0,0.14,0.03
2015-07-14,1.53,1.53,1.5,1.53,1.52401746725,10076.0,9.0,15356.0,10076.0,100.0,0.03,0.0
2015-07-15,1.56,1.6,1.46,1.46,1.50163211292,11335.0,13.0,17021.0,11335.0,100.0,0.14,-0.1
2015-07-16,1.39,1.53,1.39,1.39,1.39933189505,14369.0,20.0,20107.0,14369.0,100.0,0.14,0.0
2015-07-17,1.39,1.39,1.33,1.33,1.33514963177,23491.0,29.0,31364.0,23491.0,100.0,0.06,-0.06
2015-07-20,1.33,1.39,1.27,1.35,1.27393036714,42164.0,17.0,53714.0,42164.0,100.0,0.12,0.02
2015-07-21,1.41,1.41,1.41,1.41,1.40999409797,15249.0,5.0,21501.0,15249.0,100.0,0.0,0.0
2015-07-22,1.48,1.48,1.48,1.48,1.48,1025.0,3.0,1517.0,1025.0,100.0,0.0,0.0
2015-07-23,1.55,1.55,1.41,1.41,1.50015673981,31900.0,13.0,47855.0,31900.0,100.0,0.14,-0.14
2015-07-24,1.48,1.48,1.48,1.48,1.48,3000.0,2.0,4440.0,3000.0,100.0,0.0,0.0
2015-07-27,1.55,1.55,1.45,1.55,1.47321711569,50480.0,19.0,74368.0,50480.0,100.0,0.1,0.0
2015-07-28,1.62,1.62,1.5,1.54,1.55390066663,16651.0,12.0,25874.0,16651.0,100.0,0.12,-0.08
2015-07-29,1.55,1.61,1.47,1.61,1.48226705257,23149.0,9.0,34313.0,23149.0,100.0,0.14,0.06
2015-07-30,1.55,1.55,1.53,1.53,1.53002186817,32010.0,22.0,48976.0,32010.0,100.0,0.02,-0.02
2015-07-31,1.5,1.5,1.46,1.46,1.46105769231,18720.0,14.0,27351.0,18720.0,100.0,0.04,-0.04
2015-08-03,1.53,1.53,1.53,1.53,1.5,10.0,1.0,15.0,10.0,100.0,0.0,0.0
2015-08-04,1.6,1.6,1.46,1.46,1.52303040345,24142.0,24.0,36769.0,24142.0,100.0,0.14,-0.14
2015-08-05,1.39,1.4,1.39,1.39,1.39115623687,45207.0,16.0,62890.0,45207.0,100.0,0.01,0.0
