Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,161.9,191.4,161.9,180.3,182.792830386,42178.0,759.0,7709836.0,28519.0,67.62,29.5,18.4
2015-04-06,187.9,198.0,182.0,192.1,193.24177166,36034.0,713.0,6963274.0,30156.0,83.69,16.0,4.2
2015-04-07,194.2,194.2,185.5,190.2,190.559622695,7103.0,187.0,1353545.0,6427.0,90.48,8.7,-4.0
2015-04-08,181.0,227.0,181.0,225.4,217.150379593,49395.0,1069.0,10726143.0,37768.0,76.46,46.0,44.4
2015-04-09,230.0,244.0,221.0,225.6,232.721711431,27626.0,805.0,6429170.0,18770.0,67.94,23.0,-4.4
2015-04-10,230.0,234.9,214.0,218.2,222.218944324,6915.0,321.0,1536644.0,5504.0,79.6,20.9,-11.8
2015-04-13,218.0,248.0,218.0,239.6,239.415329199,21932.0,746.0,5250857.0,15738.0,71.76,30.0,21.6
2015-04-15,252.2,258.0,229.0,239.3,246.148029178,14943.0,534.0,3678190.0,11165.0,74.72,29.0,-12.9
2015-04-16,240.0,240.0,221.5,233.1,230.521995043,6456.0,234.0,1488250.0,5352.0,82.9,18.5,-6.9
2015-04-17,232.1,232.1,223.2,228.7,227.80259901,3232.0,214.0,736258.0,2126.0,65.78,8.9,-3.4
2015-04-20,225.0,225.0,204.3,209.3,213.709130083,7426.0,331.0,1587004.0,5537.0,74.56,20.7,-15.7
2015-04-21,204.2,213.0,202.2,207.5,208.426653406,4022.0,107.0,838292.0,3420.0,85.03,10.8,3.3
2015-04-22,217.9,217.9,200.1,205.4,206.131644778,3198.0,129.0,659209.0,2715.0,84.9,17.8,-12.5
2015-04-23,203.0,211.8,203.0,208.3,209.209495708,3728.0,83.0,779933.0,3588.0,96.24,8.8,5.3
2015-04-24,206.0,211.5,191.0,193.2,196.490463952,7393.0,283.0,1452654.0,5548.0,75.04,20.5,-12.8
2015-04-27,186.1,190.0,170.0,177.1,181.699030989,10423.0,292.0,1893849.0,8755.0,84.0,20.0,-9.0
2015-04-28,172.0,185.0,172.0,180.0,180.142255005,4745.0,91.0,854775.0,4545.0,95.79,13.0,8.0
2015-04-29,180.1,190.0,180.0,186.2,186.187462327,1659.0,53.0,308885.0,1348.0,81.25,10.0,6.1
2015-04-30,180.1,186.9,180.0,182.5,181.981847304,1873.0,62.0,340852.0,1450.0,77.42,6.9,2.4
2015-05-04,192.0,210.0,190.1,205.5,199.497741531,7970.0,223.0,1589997.0,7221.0,90.6,19.9,13.5
2015-05-05,203.0,215.0,194.0,202.9,199.499541284,8720.0,284.0,1739636.0,6920.0,79.36,21.0,-0.1
2015-05-06,194.2,206.5,185.1,190.8,193.0497227,5229.0,149.0,1009457.0,4122.0,78.83,21.4,-3.4
2015-05-07,190.0,190.0,177.0,178.4,181.844594595,5772.0,202.0,1049607.0,3794.0,65.73,13.0,-11.6
2015-05-08,198.5,198.5,178.0,181.3,183.80241206,9950.0,138.0,1828834.0,8675.0,87.19,20.5,-17.2
2015-05-11,185.0,185.0,182.0,183.6,184.137343927,881.0,20.0,162225.0,734.0,83.31,3.0,-1.4
2015-05-12,178.2,182.3,173.6,181.2,177.990728477,755.0,22.0,134383.0,650.0,86.09,8.7,3.0
2015-05-13,181.9,185.0,180.0,183.3,182.521156559,1418.0,33.0,258815.0,1390.0,98.03,5.0,1.4
2015-05-14,184.0,185.0,175.0,183.8,181.207813799,2406.0,53.0,435986.0,1762.0,73.23,10.0,-0.2
2015-05-15,180.1,184.9,180.1,183.3,183.426909655,2579.0,45.0,473058.0,1562.0,60.57,4.8,3.2
2015-05-18,180.4,187.4,180.0,184.5,183.234636872,1074.0,32.0,196794.0,773.0,71.97,7.4,4.1
2015-05-19,193.8,193.8,182.1,187.8,187.344732233,10849.0,121.0,2032503.0,7575.0,69.82,11.7,-6.0
2015-05-20,188.0,192.5,186.5,186.7,188.460212202,754.0,14.0,142099.0,575.0,76.26,6.0,-1.3
2015-05-21,185.0,190.0,185.0,188.5,188.559133965,3695.0,49.0,696726.0,3490.0,94.45,5.0,3.5
2015-05-22,187.5,189.9,182.0,184.0,186.08224497,2833.0,48.0,527171.0,2392.0,84.43,7.9,-3.5
2015-05-25,194.7,194.7,181.4,186.3,184.751879699,532.0,16.0,98288.0,258.0,48.5,13.3,-8.4
2015-05-26,189.4,189.4,182.1,183.2,184.107806691,1883.0,45.0,346675.0,1545.0,82.05,7.3,-6.2
2015-05-27,183.0,187.5,181.0,185.0,184.253859348,2915.0,62.0,537100.0,2325.0,79.76,6.5,2.0
2015-05-28,185.0,185.0,178.4,180.1,182.0,2545.0,49.0,463190.0,2135.0,83.89,6.6,-4.9
2015-05-29,192.0,192.0,182.0,185.1,186.071830986,2130.0,40.0,396333.0,1762.0,82.72,10.0,-6.9
2015-06-01,180.5,205.0,180.1,193.7,195.796188818,10338.0,125.0,2024141.0,7833.0,75.77,24.9,13.2
2015-06-02,185.1,195.6,177.0,180.7,183.129132633,5142.0,116.0,941650.0,3782.0,73.55,18.6,-4.4
2015-06-03,180.3,182.9,166.1,174.7,173.834068473,4761.0,78.0,827624.0,3856.0,80.99,16.8,-5.6
2015-06-04,176.1,179.5,169.9,177.9,174.795247725,3956.0,79.0,691490.0,3417.0,86.38,9.6,1.8
2015-06-05,174.3,177.5,172.9,174.9,174.710860367,2127.0,42.0,371610.0,1553.0,73.01,4.6,0.6
2015-06-08,171.1,175.0,168.1,173.6,172.608906099,2066.0,36.0,356610.0,1953.0,94.53,6.9,2.5
2015-06-09,171.6,178.9,169.3,170.8,172.505083775,6983.0,79.0,1204603.0,5523.0,79.09,9.6,-0.8
2015-06-10,172.0,177.4,172.0,174.0,174.638329605,1341.0,24.0,234190.0,1241.0,92.54,5.4,2.0
2015-06-11,170.0,175.7,165.0,165.8,171.681443299,2910.0,47.0,499593.0,1824.0,62.68,10.7,-4.2
2015-06-12,165.0,174.0,165.0,167.7,168.149959904,1247.0,24.0,209683.0,957.0,76.74,9.0,2.7
2015-06-15,164.8,170.7,164.8,169.0,167.848654709,892.0,18.0,149721.0,649.0,72.76,5.9,4.2
2015-06-16,169.0,175.0,169.0,169.6,173.516483516,1183.0,20.0,205270.0,1088.0,91.97,6.0,0.6
2015-06-17,175.0,176.4,173.0,173.0,174.045751634,3366.0,21.0,585838.0,3341.0,99.26,3.4,-2.0
2015-06-18,176.0,183.0,176.0,179.3,179.690883688,2863.0,39.0,514455.0,2646.0,92.42,7.0,3.3
2015-06-19,186.5,186.5,175.6,175.9,178.095459837,859.0,39.0,152984.0,548.0,63.8,10.9,-10.6
2015-06-22,173.6,184.5,173.6,177.2,179.037622916,2339.0,45.0,418769.0,1575.0,67.34,10.9,3.6
2015-06-23,179.0,197.0,178.0,186.1,185.411372208,6894.0,82.0,1278226.0,3707.0,53.77,19.0,7.1
2015-06-24,185.0,190.0,182.5,187.1,187.679251074,3258.0,47.0,611459.0,2861.0,87.81,7.5,2.1
2015-06-25,188.0,194.5,184.0,187.1,188.231546232,1287.0,29.0,242254.0,1088.0,84.54,10.5,-0.9
2015-06-26,186.0,186.0,179.0,179.6,181.994339089,3533.0,40.0,642986.0,2903.0,82.17,7.0,-6.4
2015-06-29,173.4,178.4,173.4,175.9,175.128691983,474.0,35.0,83011.0,311.0,65.61,5.0,2.5
2015-06-30,180.0,180.0,175.5,178.0,177.560447761,1340.0,26.0,237931.0,1170.0,87.31,4.5,-2.0
2015-07-01,184.0,203.8,180.1,193.4,195.296800826,9690.0,209.0,1892426.0,6434.0,66.4,23.7,9.4
2015-07-02,195.0,232.0,195.0,232.0,226.164605544,75040.0,755.0,16971392.0,57088.0,76.08,37.0,37.0
2015-07-03,232.0,244.0,221.0,232.0,232.321552912,39925.0,613.0,9275438.0,29796.0,74.63,23.0,0.0
2015-07-06,230.0,235.5,216.0,234.5,230.198226102,7103.0,209.0,1635098.0,4685.0,65.96,19.5,4.5
2015-07-07,229.4,238.0,226.1,227.4,230.520474442,3541.0,173.0,816273.0,2508.0,70.83,11.9,-2.0
2015-07-08,234.1,234.1,209.9,215.5,213.117591633,10613.0,208.0,2261817.0,7839.0,73.86,24.2,-18.6
2015-07-09,224.7,228.0,212.0,215.3,222.186731557,3904.0,109.0,867417.0,3271.0,83.79,16.0,-9.4
2015-07-10,218.2,218.2,212.1,215.3,214.755439513,1149.0,32.0,246754.0,988.0,85.99,6.1,-2.9
