Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,1567.0,1590.0,1555.0,1583.45,1573.2504871184,9238.0,2052.0,14533688.0,1763.0,19.08,35.0,16.45
2015-04-06,1585.4,1629.0,1582.0,1617.75,1614.6385281385,22638.0,3161.0,36552187.0,4024.0,17.78,47.0,32.35
2015-04-07,1620.5,1660.3,1606.0,1651.4,1632.0516864022,17819.0,2714.0,29081529.0,2589.0,14.53,54.3,30.9
2015-04-08,1652.1,1677.6,1630.0,1635.35,1656.1440854119,21168.0,3189.0,35057258.0,3845.0,18.16,47.6,-16.75
2015-04-09,1645.2,1645.2,1609.0,1621.6,1623.333907763,12186.0,2763.0,19781947.0,2923.0,23.99,36.2,-23.6
2015-04-10,1632.35,1648.1,1622.55,1633.45,1633.2942514313,12751.0,2370.0,20826135.0,2532.0,19.86,25.55,1.1
2015-04-13,1635.9,1649.0,1586.1,1594.6,1612.0518458198,25788.0,3687.0,41571593.0,9210.0,35.71,62.9,-41.3
2015-04-15,1610.1,1630.0,1608.3,1614.4,1620.1670208678,127517.0,5172.0,206598838.0,9553.0,7.49,21.7,4.3
2015-04-16,1614.4,1619.5,1550.0,1563.65,1575.6555523171,34310.0,4445.0,54060742.0,12944.0,37.73,69.5,-50.75
2015-04-17,1569.0,1569.0,1504.5,1519.55,1520.6280560899,35871.0,4297.0,54546449.0,12362.0,34.46,64.5,-49.45
2015-04-20,1526.0,1551.55,1507.4,1527.45,1533.6467952571,18301.0,2975.0,28067270.0,3088.0,16.87,44.15,1.45
2015-04-21,1530.0,1538.35,1492.4,1498.85,1509.4637830644,30055.0,4247.0,45366934.0,9903.0,32.95,45.95,-31.15
2015-04-22,1500.0,1564.85,1489.3,1554.65,1528.5871613931,21965.0,3835.0,33575417.0,4551.0,20.72,75.55,54.65
2015-04-23,1560.0,1574.0,1510.15,1517.8,1541.6521391948,23794.0,3556.0,36682071.0,7437.0,31.26,63.85,-42.2
2015-04-24,1524.95,1548.8,1502.4,1534.05,1524.7249945427,22905.0,3668.0,34923826.0,2829.0,12.35,46.4,9.1
2015-04-27,1534.1,1535.0,1482.15,1494.45,1504.8562775654,17005.0,2785.0,25590081.0,2797.0,16.45,52.85,-39.65
2015-04-28,1496.0,1522.0,1479.0,1516.7,1502.0192333113,30260.0,3646.0,45451102.0,9223.0,30.48,43.0,20.7
2015-04-29,1515.0,1545.0,1480.0,1484.8,1507.1931444473,15812.0,3405.0,23831738.0,2611.0,16.51,65.0,-30.2
2015-04-30,1480.0,1485.85,1432.0,1438.7,1458.5128292268,35310.0,4947.0,51500088.0,8997.0,25.48,53.85,-41.3
2015-05-04,1445.0,1479.8,1433.3,1472.55,1457.2281759627,21891.0,3120.0,31900182.0,3626.0,16.56,46.5,27.55
2015-05-05,1474.0,1474.0,1453.7,1468.25,1465.0554299237,19015.0,2883.0,27858029.0,4118.0,21.66,20.3,-5.75
2015-05-06,1469.0,1469.0,1406.25,1411.75,1430.2039268686,26637.0,4041.0,38096342.0,7567.0,28.41,62.75,-57.25
2015-05-07,1407.7,1458.9,1386.6,1449.1,1427.3295884196,27771.0,4505.0,39638370.0,4864.0,17.51,72.3,41.4
2015-05-08,1452.0,1474.0,1437.35,1448.65,1456.0682510066,30549.0,4188.0,44481429.0,2709.0,8.87,36.65,-3.35
2015-05-11,1460.0,1509.3,1447.0,1499.55,1463.9580305278,79534.0,1606.0,116434438.0,64628.0,81.26,62.3,39.55
2015-05-12,1493.8,1493.8,1443.2,1449.0,1454.6574721433,18308.0,1343.0,26631869.0,4906.0,26.8,50.6,-44.8
2015-05-13,1446.5,1483.85,1446.5,1472.1,1467.8557601511,21180.0,1621.0,31089185.0,2972.0,14.03,37.35,25.6
2015-05-14,1472.0,1478.5,1458.8,1471.45,1469.1982423282,20823.0,1249.0,30593115.0,1992.0,9.57,19.7,-0.55
2015-05-15,1471.45,1487.0,1465.0,1472.8,1474.0879374228,12145.0,848.0,17902798.0,2611.0,21.5,22.0,1.35
2015-05-18,1490.0,1514.85,1472.5,1506.75,1497.2144906743,19516.0,1374.0,29219638.0,6567.0,33.65,42.35,16.75
2015-05-19,1510.0,1517.8,1487.85,1501.05,1503.2915899714,15755.0,1102.0,23684359.0,2919.0,18.53,29.95,-8.95
2015-05-20,1503.0,1516.0,1495.45,1501.1,1502.8703250317,82915.0,1202.0,124610493.0,68899.0,83.1,20.55,-1.9
2015-05-21,1480.0,1533.5,1480.0,1523.15,1520.9979585885,27432.0,1806.0,41724016.0,5313.0,19.37,53.5,43.15
2015-05-22,1523.0,1541.8,1513.0,1516.6,1520.3017484049,63944.0,1278.0,97214175.0,48936.0,76.53,28.8,-6.4
2015-05-25,1521.0,1521.0,1490.0,1495.9,1498.2862165963,15642.0,877.0,23436193.0,5502.0,35.17,31.0,-25.1
2015-05-26,1490.0,1496.0,1473.6,1481.5,1484.815579411,10899.0,836.0,16183005.0,1722.0,15.8,22.4,-8.5
2015-05-27,1480.0,1493.25,1454.1,1461.8,1470.1676423894,20156.0,1821.0,29632699.0,4134.0,20.51,39.15,-18.2
2015-05-28,1460.05,1487.5,1460.05,1473.3,1473.7995068578,12978.0,1121.0,19126970.0,2125.0,16.37,27.45,13.25
2015-05-29,1474.0,1527.9,1474.0,1514.55,1503.099235226,21575.0,1576.0,32429366.0,4666.0,21.63,53.9,40.55
2015-06-01,1515.0,1532.4,1499.0,1519.05,1517.3840966281,19870.0,1408.0,30150422.0,3293.0,16.57,33.4,4.05
2015-06-02,1508.0,1518.1,1472.1,1479.25,1487.3771570796,18080.0,1504.0,26891779.0,2945.0,16.29,46.0,-28.75
2015-06-03,1479.25,1479.8,1448.0,1461.65,1459.7711873081,19540.0,1324.0,28523929.0,4975.0,25.46,31.8,-17.6
2015-06-04,1462.1,1474.0,1437.0,1466.3,1457.0909659371,30385.0,1093.0,44273709.0,17566.0,57.81,37.0,4.2
2015-06-05,1466.35,1466.35,1430.35,1434.4,1437.7048901187,37586.0,1987.0,54037576.0,17552.0,46.7,36.0,-31.95
2015-06-08,1436.0,1442.0,1421.25,1431.65,1431.4861472887,12669.0,1029.0,18135498.0,3358.0,26.51,20.75,-4.35
2015-06-09,1411.0,1445.55,1411.0,1441.05,1436.0880176555,15406.0,1153.0,22124372.0,2789.0,18.1,34.55,30.05
2015-06-10,1436.55,1452.0,1433.05,1439.6,1440.4013477089,18550.0,985.0,26719445.0,6210.0,33.48,18.95,3.05
2015-06-11,1437.0,1450.45,1402.7,1409.6,1423.3741027347,28559.0,1951.0,40650141.0,6814.0,23.86,47.75,-27.4
2015-06-12,1407.0,1409.4,1378.0,1403.5,1394.71867794,14311.0,1315.0,19959819.0,2798.0,19.55,31.4,-3.5
2015-06-15,1403.0,1415.0,1371.0,1374.5,1385.2941721854,15100.0,1404.0,20917942.0,3496.0,23.15,44.0,-28.5
2015-06-16,1369.0,1390.0,1366.0,1386.9,1377.9099594848,16537.0,1231.0,22786497.0,2694.0,16.29,24.0,17.9
2015-06-17,1388.5,1427.25,1381.05,1408.55,1402.9336775034,21501.0,1402.0,30164477.0,4987.0,23.19,46.2,20.05
2015-06-18,1417.95,1420.0,1404.5,1414.2,1413.2149597855,37300.0,1597.0,52712918.0,21078.0,56.51,15.5,-3.75
2015-06-19,1423.0,1431.65,1415.4,1423.85,1424.0501993024,8028.0,719.0,11432275.0,1482.0,18.46,16.25,0.85
2015-06-22,1426.6,1439.0,1422.75,1427.25,1428.281652235,8546.0,661.0,12206095.0,2050.0,23.99,16.25,0.65
2015-06-23,1433.3,1454.0,1420.0,1448.25,1444.8113194635,14612.0,1175.0,21111583.0,3775.0,25.83,34.0,14.95
2015-06-24,1447.1,1460.0,1405.0,1410.0,1427.719194233,14843.0,1460.0,21191636.0,5331.0,35.92,55.0,-37.1
2015-06-25,1418.0,1419.95,1397.7,1407.95,1409.180371523,31169.0,1843.0,43922743.0,9020.0,28.94,22.25,-10.05
2015-06-26,1412.0,1434.75,1405.0,1419.4,1419.4519591141,23480.0,1393.0,33328732.0,4396.0,18.72,29.75,7.4
2015-06-29,1411.0,1415.0,1377.0,1408.15,1397.2089526242,17224.0,1447.0,24065527.0,1869.0,10.85,38.0,-2.85
2015-06-30,1414.0,1449.0,1407.0,1440.65,1429.6568379897,12277.0,1093.0,17551897.0,2293.0,18.68,42.0,26.65
2015-07-01,1450.0,1470.0,1428.0,1465.55,1457.7041548015,29147.0,2272.0,42487703.0,9002.0,30.88,42.0,15.55
2015-07-02,1474.9,1481.7,1465.8,1473.95,1472.7323187108,26808.0,2088.0,39481008.0,5936.0,22.14,15.9,-0.95
2015-07-03,1475.0,1486.0,1466.0,1481.7,1477.8076943073,19235.0,1209.0,28425631.0,3256.0,16.93,20.0,6.7
2015-07-06,1475.0,1509.65,1464.1,1503.7,1490.5669726649,29303.0,2217.0,43678084.0,7851.0,26.79,45.55,28.7
2015-07-07,1500.0,1515.0,1491.65,1500.0,1503.5011629083,19778.0,1889.0,29736246.0,4179.0,21.13,23.35,0.0
2015-07-08,1500.0,1500.0,1459.85,1466.0,1471.4086821452,24464.0,2149.0,35996542.0,5827.0,23.82,40.15,-34.0
2015-07-09,1478.0,1499.3,1476.0,1485.7,1486.4509230593,17442.0,1658.0,25926677.0,3576.0,20.5,23.3,7.7
2015-07-10,1494.0,1497.75,1465.0,1472.65,1474.0636346965,16359.0,1450.0,24114207.0,5320.0,32.52,32.75,-21.35
2015-07-13,1475.0,1486.0,1466.4,1477.95,1477.2271464724,16201.0,1247.0,23932557.0,3055.0,18.86,19.6,2.95
2015-07-14,1478.0,1488.5,1464.0,1478.4,1475.4703908409,15198.0,1285.0,22424199.0,3131.0,20.6,24.5,0.4
2015-07-15,1485.0,1510.0,1478.5,1495.9,1497.8172562993,23574.0,1651.0,35309544.0,9330.0,39.58,31.5,10.9
2015-07-16,1505.9,1508.3,1486.55,1498.1,1496.2872221928,18853.0,1340.0,28209503.0,4196.0,22.26,21.75,-7.8
2015-07-17,1490.0,1506.0,1470.2,1484.1,1484.3866714366,39134.0,2284.0,58089988.0,2420.0,6.18,35.8,-5.9
2015-07-20,1441.0,1463.55,1433.25,1455.55,1449.2589609451,74741.0,3925.0,108319064.0,13739.0,18.38,30.3,14.55
2015-07-21,1458.0,1472.05,1432.0,1438.45,1446.951373494,20750.0,1536.0,30024241.0,5467.0,26.35,40.05,-19.55
2015-07-22,1440.0,1447.75,1423.5,1435.2,1435.343263965,31955.0,1731.0,45866394.0,9286.0,29.06,24.25,-4.8
2015-07-23,1439.9,1442.0,1421.15,1423.6,1426.3547234954,67196.0,1515.0,95845332.0,50870.0,75.7,20.85,-16.3
2015-07-24,1423.05,1428.0,1401.25,1406.5,1411.5190095535,20516.0,1367.0,28958724.0,6004.0,29.26,26.75,-16.55
2015-07-27,1407.9,1407.9,1366.0,1369.2,1383.5645791246,22275.0,1973.0,30818901.0,10631.0,47.73,41.9,-38.7
2015-07-28,1370.0,1383.5,1355.0,1359.35,1365.3285270852,19974.0,1179.0,27271072.0,7534.0,37.72,28.5,-10.65
2015-07-29,1360.0,1375.0,1351.0,1369.9,1362.0278338468,47065.0,1413.0,64103840.0,30918.0,65.69,24.0,9.9
2015-07-30,1371.35,1380.0,1361.7,1370.7,1369.4421678107,29283.0,1355.0,40101375.0,10839.0,37.01,18.3,-0.65
2015-07-31,1371.15,1392.8,1368.7,1383.15,1384.3567490663,33738.0,2036.0,46705428.0,12187.0,36.12,24.1,12.0
2015-08-03,1386.0,1405.4,1376.0,1388.0,1391.4689563502,23322.0,1514.0,32451839.0,7493.0,32.13,29.4,2.0
2015-08-04,1390.0,1393.8,1366.25,1375.9,1379.4242619378,20188.0,1328.0,27847817.0,5216.0,25.84,27.55,-14.1
2015-08-05,1381.0,1396.8,1376.2,1380.9,1383.2060376492,26136.0,1609.0,36151473.0,8797.0,33.66,20.6,-0.1
2015-08-06,1382.0,1414.9,1380.2,1400.3,1403.3646400438,32879.0,1886.0,46141226.0,7143.0,21.73,34.7,18.3
2015-08-07,1405.35,1412.95,1391.0,1399.65,1404.7922317557,10839.0,719.0,15226543.0,1871.0,17.26,21.95,-5.7
2015-08-10,1400.0,1408.55,1373.65,1384.15,1392.4004402642,14991.0,912.0,20873475.0,2665.0,17.78,34.9,-15.85
2015-08-11,1380.0,1380.0,1361.5,1372.55,1371.1200528285,22715.0,1330.0,31144992.0,5305.0,23.35,18.5,-7.45
2015-08-12,1373.0,1373.85,1357.0,1365.4,1362.3270562679,70893.0,1114.0,96579452.0,55709.0,78.58,16.85,-7.6
2015-08-13,1372.0,1378.65,1358.0,1364.1,1366.3612443762,46899.0,1467.0,64080976.0,28052.0,59.81,20.65,-7.9
2015-08-14,1366.85,1385.4,1366.25,1375.3,1377.8899557262,18747.0,1070.0,25831303.0,4514.0,24.08,19.15,8.45
2015-08-17,1375.3,1384.0,1361.25,1368.2,1370.0696542344,69845.0,1180.0,95692515.0,56082.0,80.29,22.75,-7.1
2015-08-18,1373.05,1393.65,1370.0,1389.05,1385.0103284693,16653.0,1246.0,23064577.0,3687.0,22.14,23.65,16.0
2015-08-19,1393.05,1452.0,1393.05,1447.55,1432.3480796106,62253.0,3297.0,89167965.0,17818.0,28.62,58.95,54.5
2015-08-20,1448.95,1448.95,1405.35,1411.5,1420.7999476987,15296.0,1156.0,21732556.0,2604.0,17.02,43.6,-37.45
2015-08-21,1400.0,1421.8,1381.3,1405.35,1401.4645881767,24088.0,1405.0,33758479.0,2362.0,9.81,40.5,5.35
2015-08-24,1384.95,1395.0,1357.8,1375.7,1370.5280926565,77102.0,2302.0,105670457.0,48238.0,62.56,37.2,-9.25
2015-08-25,1374.0,1394.5,1320.0,1363.5,1342.9782372338,56105.0,2477.0,75347794.0,32413.0,57.77,74.5,-10.5
2015-08-26,1365.0,1379.2,1350.0,1361.1,1360.7073515944,36033.0,1985.0,49030368.0,18277.0,50.72,29.2,-3.9
2015-08-27,1366.45,1379.85,1328.4,1370.8,1352.5729832936,20950.0,2092.0,28336404.0,2984.0,14.24,51.45,4.35
2015-08-28,1370.8,1387.95,1358.0,1363.2,1373.4092090859,14616.0,1111.0,20073749.0,2995.0,20.49,29.95,-7.6
2015-08-31,1368.0,1368.0,1325.95,1334.55,1339.9185634653,34444.0,3119.0,46152155.0,12188.0,35.38,42.05,-33.45
2015-09-01,1330.0,1342.65,1318.25,1331.7,1327.5265836347,29868.0,2171.0,39650564.0,4331.0,14.5,24.4,1.7
2015-09-02,1345.0,1367.0,1340.0,1354.6,1355.5656608435,28335.0,2363.0,38409953.0,3487.0,12.31,27.0,9.6
2015-09-03,1355.35,1397.95,1355.35,1395.4,1389.3775355362,32291.0,2100.0,44864390.0,7572.0,23.45,42.6,40.05
2015-09-04,1395.4,1395.4,1336.5,1350.85,1351.8286175048,27284.0,1926.0,36883292.0,7887.0,28.91,58.9,-44.55
2015-09-07,1352.0,1360.15,1334.35,1347.65,1348.3398855802,27268.0,1622.0,36766532.0,9131.0,33.49,25.8,-4.35
2015-09-08,1347.6,1353.0,1330.4,1347.25,1343.0651062685,11151.0,847.0,14976519.0,2540.0,22.78,22.6,-0.35
2015-09-09,1362.2,1384.95,1353.85,1382.05,1376.7428386261,15430.0,1252.0,21243142.0,3339.0,21.64,31.1,19.85
2015-09-10,1365.0,1386.0,1346.55,1381.95,1366.8079492043,12127.0,1180.0,16575280.0,2092.0,17.25,39.45,16.95
