Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,67.0,70.0,65.9,68.75,67.995335001,14791.0,164.0,1005719.0,12502.0,84.52,4.1,1.75
2015-04-06,71.0,74.0,69.85,72.05,72.2915038233,11770.0,253.0,850871.0,8020.0,68.14,4.15,1.05
2015-04-07,73.0,74.0,68.0,72.65,72.3361939498,4661.0,153.0,337159.0,3041.0,65.24,6.0,-0.35
2015-04-08,72.55,76.1,72.55,74.2,75.1802115338,36779.0,372.0,2765053.0,21990.0,59.79,3.55,1.65
2015-04-09,76.6,76.6,74.1,75.0,74.881330742,8747.0,84.0,654987.0,6835.0,78.14,2.5,-1.6
2015-04-10,74.0,75.0,73.55,74.15,74.2431459904,17508.0,83.0,1299849.0,11158.0,63.73,1.45,0.15
2015-04-13,76.0,76.0,74.3,74.55,75.2373704238,7621.0,141.0,573384.0,6521.0,85.57,1.7,-1.45
2015-04-15,76.0,83.7,74.0,79.95,79.4452715366,94978.0,1100.0,7545553.0,58641.0,61.74,9.7,3.95
2015-04-16,81.4,85.9,80.3,81.05,83.0126929121,24817.0,684.0,2060126.0,13665.0,55.06,5.6,-0.35
2015-04-17,81.05,84.0,79.5,80.2,82.0470677548,5269.0,162.0,432306.0,4026.0,76.41,4.5,-0.85
2015-04-20,80.0,80.9,76.0,76.7,79.0088196384,6803.0,193.0,537497.0,5256.0,77.26,4.9,-3.3
2015-04-21,76.7,78.0,76.0,76.2,77.025625,3200.0,125.0,246482.0,2410.0,75.31,2.0,-0.5
2015-04-22,79.5,79.5,75.0,75.9,76.2843615495,3485.0,96.0,265851.0,3335.0,95.7,4.5,-3.6
2015-04-23,78.2,78.3,75.2,77.6,76.8988991238,4451.0,149.0,342277.0,2463.0,55.34,3.1,-0.6
2015-04-24,76.0,76.0,71.35,73.6,73.7218037459,9824.0,308.0,724243.0,5623.0,57.24,4.65,-2.4
