Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,9.85,9.85,9.85,9.85,9.84992987377,2139.0,7.0,21069.0,2139.0,100.0,0.0,0.0
2015-04-06,10.34,10.34,10.34,10.34,10.335483871,155.0,6.0,1602.0,155.0,100.0,0.0,0.0
2015-04-07,10.85,10.85,10.85,10.85,10.8498084291,1305.0,7.0,14159.0,1305.0,100.0,0.0,0.0
2015-04-08,11.39,11.39,11.39,11.39,11.3899554235,16825.0,12.0,191636.0,16825.0,100.0,0.0,0.0
2015-04-09,11.95,11.95,11.95,11.95,11.9499711816,8675.0,17.0,103666.0,8675.0,100.0,0.0,0.0
2015-04-10,12.54,12.54,12.54,12.54,12.5326086957,92.0,5.0,1153.0,92.0,100.0,0.0,0.0
2015-04-13,13.14,13.14,13.14,13.14,13.14,50.0,2.0,657.0,50.0,100.0,0.0,0.0
2015-04-15,13.55,13.55,12.5,13.5,13.4943170327,24723.0,29.0,333620.0,24250.0,98.09,1.05,-0.05
2015-04-16,13.0,13.6,12.85,13.0,13.1244535641,11209.0,25.0,147112.0,11209.0,100.0,0.75,0.0
2015-04-17,13.0,13.0,12.99,12.99,12.9900117509,1702.0,6.0,22109.0,1702.0,100.0,0.01,-0.01
2015-04-20,13.0,13.0,13.0,13.0,13.0,3822.0,11.0,49686.0,3822.0,100.0,0.0,0.0
2015-04-21,12.8,12.8,12.35,12.4,12.3854289072,1702.0,13.0,21080.0,1102.0,64.75,0.45,-0.4
2015-04-22,11.78,12.48,11.78,11.78,11.9775980087,4821.0,16.0,57744.0,3421.0,70.96,0.7,0.0
2015-04-23,11.2,11.8,11.2,11.26,11.4709447415,2805.0,19.0,32176.0,1815.0,64.71,0.6,0.06
2015-04-24,11.82,11.82,11.0,11.0,11.0084210526,475.0,7.0,5229.0,475.0,100.0,0.82,-0.82
2015-04-27,11.0,11.0,11.0,11.0,11.0,2.0,2.0,22.0,2.0,100.0,0.0,0.0
2015-04-28,11.0,11.54,10.45,11.54,11.0455341506,571.0,11.0,6307.0,471.0,82.49,1.09,0.54
2015-04-29,11.12,11.12,11.12,11.12,11.12,1000.0,3.0,11120.0,1000.0,100.0,0.0,0.0
2015-04-30,10.57,11.64,10.57,11.64,10.5951219512,205.0,6.0,2172.0,200.0,97.56,1.07,1.07
2015-05-04,12.0,12.35,11.1,11.1,11.1428571429,105.0,7.0,1170.0,105.0,100.0,1.25,-0.9
2015-05-05,10.51,10.8,9.99,9.99,10.5178861789,1230.0,17.0,12937.0,673.0,54.72,0.81,-0.52
