Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,937.1,949.65,916.8,946.95,936.065822785,2765.0,506.0,2588222.0,1517.0,54.86,32.85,9.85
2015-04-06,953.9,976.0,928.3,961.15,946.352094241,3056.0,180.0,2892052.0,2748.0,89.92,47.7,7.25
2015-04-07,965.15,971.55,947.0,950.2,953.451724138,870.0,225.0,829503.0,568.0,65.29,24.55,-14.95
2015-04-08,960.0,960.0,940.1,948.35,948.66194332,494.0,114.0,468639.0,260.0,52.63,19.9,-11.65
2015-04-09,956.1,980.0,948.35,971.15,966.702194357,638.0,205.0,616756.0,525.0,82.29,31.65,15.05
2015-04-10,981.0,981.0,960.95,965.25,966.522274882,1055.0,187.0,1019681.0,720.0,68.25,20.05,-15.75
2015-04-13,959.0,1020.0,956.0,1003.55,998.783905967,2212.0,645.0,2209310.0,948.0,42.86,64.0,44.55
2015-04-15,1000.0,1040.0,1000.0,1025.75,1022.5559322,3245.0,983.0,3318194.0,1697.0,52.3,40.0,25.75
2015-04-16,1034.0,1053.05,1031.6,1042.25,1041.16597126,2157.0,512.0,2245795.0,1093.0,50.67,21.45,8.25
2015-04-17,1035.0,1107.0,1035.0,1066.15,1080.29117056,6467.0,1401.0,6986243.0,2495.0,38.58,72.0,31.15
2015-04-20,1097.0,1105.0,1057.0,1060.5,1074.62940907,2183.0,677.0,2345916.0,1224.0,56.07,48.0,-36.5
2015-04-21,1047.35,1050.0,1040.0,1048.7,1046.19206146,781.0,214.0,817076.0,483.0,61.84,10.0,1.35
2015-04-22,1060.95,1083.9,1049.75,1079.3,1066.09560724,1161.0,386.0,1237737.0,754.0,64.94,34.15,18.35
2015-04-23,1085.0,1098.0,1076.95,1089.4,1087.52352551,1509.0,375.0,1641073.0,815.0,54.01,21.05,4.4
2015-04-24,1089.95,1109.95,1039.0,1072.15,1078.94707521,2154.0,784.0,2324052.0,794.0,36.86,70.95,-17.8
2015-04-27,1074.75,1078.0,982.05,996.95,1013.18617385,2922.0,862.0,2960530.0,1283.0,43.91,95.95,-77.8
2015-04-28,998.0,999.45,951.0,979.55,988.099029126,1030.0,333.0,1017742.0,424.0,41.17,48.45,-18.45
2015-04-29,999.0,1052.0,960.1,1006.35,1023.03605313,4216.0,1237.0,4313120.0,1046.0,24.81,91.9,7.35
2015-04-30,940.95,974.0,925.15,942.45,948.0515921,7443.0,1489.0,7056348.0,3183.0,42.77,48.85,1.5
2015-05-04,954.95,965.0,945.0,954.9,956.303461356,2109.0,603.0,2016844.0,699.0,33.14,20.0,-0.05
2015-05-05,953.45,964.85,950.0,957.75,958.444444444,612.0,213.0,586568.0,320.0,52.29,14.85,4.3
