Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-06,1.2,1.2,1.11,1.11,1.14,1310.0,8.0,1499.0,1310.0,100.0,0.09,-0.09
2015-04-07,1.11,1.11,1.11,1.11,1.11,1000.0,2.0,1110.0,1000.0,100.0,0.0,0.0
2015-04-15,1.06,1.06,1.06,1.06,1.06,1000.0,4.0,1060.0,1000.0,100.0,0.0,0.0
2015-04-16,1.01,1.01,1.01,1.01,1.01,500.0,2.0,505.0,500.0,100.0,0.0,0.0
2015-04-20,0.96,0.96,0.96,0.96,0.96,2100.0,3.0,2016.0,2100.0,100.0,0.0,0.0
2015-04-21,1.0,1.0,1.0,1.0,1.0,200.0,4.0,200.0,200.0,100.0,0.0,0.0
2015-04-24,0.95,1.05,0.95,0.95,0.95,13100.0,16.0,12455.0,13100.0,100.0,0.1,0.0
2015-04-27,0.92,0.92,0.91,0.91,0.92,5538.0,5.0,5089.0,5538.0,100.0,0.01,-0.01
2015-04-28,0.87,0.87,0.87,0.87,0.87,1000.0,3.0,870.0,1000.0,100.0,0.0,0.0
2015-04-29,0.87,0.87,0.85,0.85,0.86,15000.0,6.0,12900.0,15000.0,100.0,0.02,-0.02
2015-04-30,0.81,0.81,0.81,0.81,0.81,2100.0,3.0,1701.0,2100.0,100.0,0.0,0.0
2015-05-13,0.77,0.77,0.77,0.77,0.77,100.0,1.0,77.0,100.0,100.0,0.0,0.0
2015-06-08,0.74,0.74,0.74,0.74,0.74,1200.0,2.0,888.0,1200.0,100.0,0.0,0.0
2015-06-15,0.71,0.71,0.71,0.71,0.71,2550.0,2.0,1810.0,2550.0,100.0,0.0,0.0
2015-06-22,0.68,0.68,0.68,0.68,0.68,1000.0,2.0,680.0,1000.0,100.0,0.0,0.0
2015-06-29,0.65,0.65,0.65,0.65,0.65,500.0,1.0,325.0,500.0,100.0,0.0,0.0
2015-07-06,0.62,0.62,0.62,0.62,0.62,500.0,1.0,310.0,500.0,100.0,0.0,0.0
2015-07-13,0.59,0.59,0.59,0.59,0.59,500.0,1.0,295.0,500.0,100.0,0.0,0.0
2015-07-20,0.58,0.58,0.58,0.58,0.58,50100.0,2.0,29058.0,50100.0,100.0,0.0,0.0
2015-07-27,0.56,0.56,0.56,0.56,0.56,2000.0,2.0,1120.0,2000.0,100.0,0.0,0.0
2015-08-17,0.58,0.58,0.58,0.58,0.58,800.0,1.0,464.0,800.0,100.0,0.0,0.0
2015-09-07,0.6,0.6,0.6,0.6,0.6,5.0,1.0,3.0,5.0,100.0,0.0,0.0
2015-10-12,0.63,0.63,0.63,0.63,0.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0
2015-10-26,0.6,0.6,0.6,0.6,0.6,210000.0,5.0,126000.0,210000.0,100.0,0.0,0.0
