Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,32.05,32.05,31.9,31.9,31.9657142857,175.0,8.0,5594.0,175.0,100.0,0.15,-0.15
2015-04-06,30.9,30.9,30.9,30.9,30.8928571429,28.0,5.0,865.0,28.0,100.0,0.0,0.0
2015-04-07,30.9,30.9,30.9,30.9,30.9,500.0,2.0,15450.0,500.0,100.0,0.0,0.0
2015-04-13,30.1,32.4,30.0,32.4,30.9011274935,1153.0,16.0,35629.0,1153.0,100.0,2.4,2.3
2015-04-15,33.95,34.0,30.8,34.0,32.2965509205,8582.0,53.0,277169.0,8582.0,100.0,3.2,0.05
2015-04-16,35.45,35.7,33.2,35.6,35.3277909739,2105.0,34.0,74365.0,2105.0,100.0,2.5,0.15
2015-04-17,34.75,34.75,33.85,34.15,34.3216,1250.0,16.0,42902.0,1250.0,100.0,0.9,-0.6
2015-04-20,32.45,35.75,32.45,35.75,32.4811881188,505.0,6.0,16403.0,505.0,100.0,3.3,3.3
2015-04-21,37.35,37.35,37.35,37.35,37.2,5.0,2.0,186.0,5.0,100.0,0.0,0.0
2015-04-22,37.5,37.5,37.5,37.5,37.5,50.0,2.0,1875.0,50.0,100.0,0.0,0.0
2015-04-23,36.35,38.85,36.35,38.35,38.2,5.0,4.0,191.0,5.0,100.0,2.5,2.0
2015-04-29,36.5,36.5,36.5,36.5,36.5,300.0,4.0,10950.0,300.0,100.0,0.0,0.0
2015-05-04,36.5,36.5,36.0,36.0,36.2142857143,700.0,6.0,25350.0,700.0,100.0,0.5,-0.5
2015-05-06,35.5,35.5,35.5,35.5,35.5,28.0,4.0,994.0,28.0,100.0,0.0,0.0
2015-05-07,35.5,37.0,33.75,33.75,35.0706766917,665.0,14.0,23322.0,665.0,100.0,3.25,-1.75
2015-05-08,35.4,35.4,35.4,35.4,35.4,5.0,2.0,177.0,5.0,100.0,0.0,0.0
2015-05-12,33.65,33.65,33.65,33.65,33.6,5.0,1.0,168.0,5.0,100.0,0.0,0.0
2015-05-13,32.0,35.3,32.0,33.05,33.7853820598,1505.0,9.0,50847.0,1505.0,100.0,3.3,1.05
2015-05-14,32.05,34.7,32.05,34.25,34.25,12.0,2.0,411.0,12.0,100.0,2.65,2.2
2015-05-19,35.9,35.95,35.9,35.95,35.945026178,1146.0,7.0,41193.0,1146.0,100.0,0.05,0.05
