Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,2.48,2.48,2.48,2.48,2.48,1000.0,2.0,2480.0,1000.0,100.0,0.0,0.0
2015-04-06,2.52,2.52,2.52,2.52,2.51875,320.0,6.0,806.0,320.0,100.0,0.0,0.0
2015-04-07,2.64,2.64,2.64,2.64,2.63967611336,741.0,10.0,1956.0,741.0,100.0,0.0,0.0
2015-04-08,2.77,2.77,2.77,2.77,2.5,2.0,4.0,5.0,1.0,50.0,0.0,0.0
2015-04-09,2.9,2.9,2.9,2.9,2.9,1150.0,4.0,3335.0,1150.0,100.0,0.0,0.0
2015-04-10,3.04,3.04,3.04,3.04,3.0399323181,2955.0,15.0,8983.0,2955.0,100.0,0.0,0.0
2015-04-13,3.19,3.19,3.19,3.19,3.19,1000.0,6.0,3190.0,1000.0,100.0,0.0,0.0
2015-04-15,3.34,3.34,3.34,3.34,3.33990147783,1015.0,4.0,3390.0,1015.0,100.0,0.0,0.0
2015-04-16,3.5,3.5,3.5,3.5,3.5,28430.0,25.0,99505.0,28430.0,100.0,0.0,0.0
2015-04-17,3.67,3.67,3.67,3.67,3.66993464052,14994.0,22.0,55027.0,14994.0,100.0,0.0,0.0
2015-04-20,3.85,3.85,3.85,3.85,3.85,3700.0,12.0,14245.0,3700.0,100.0,0.0,0.0
2015-04-21,4.04,4.04,4.04,4.04,4.03999485597,7776.0,20.0,31415.0,7776.0,100.0,0.0,0.0
2015-04-22,4.24,4.24,4.24,4.24,4.23956546598,1749.0,8.0,7415.0,1749.0,100.0,0.0,0.0
2015-04-23,4.45,4.45,4.45,4.45,4.45,3200.0,10.0,14240.0,3200.0,100.0,0.0,0.0
2015-04-24,4.67,4.67,4.67,4.67,4.66999296199,39784.0,65.0,185791.0,39784.0,100.0,0.0,0.0
2015-04-27,4.9,4.9,4.9,4.9,4.9,10840.0,30.0,53116.0,10840.0,100.0,0.0,0.0
2015-04-28,5.14,5.14,5.14,5.14,5.139977489,19546.0,40.0,100466.0,19546.0,100.0,0.0,0.0
2015-04-29,5.39,5.39,5.39,5.39,5.38993839836,4870.0,17.0,26249.0,4870.0,100.0,0.0,0.0
