Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,8.2,8.2,8.2,8.2,8.2,15.0,2.0,123.0,15.0,100.0,0.0,0.0
2015-04-07,7.8,7.8,7.8,7.8,7.8,115.0,4.0,897.0,115.0,100.0,0.0,0.0
2015-04-08,8.0,8.19,8.0,8.19,8.03,300.0,6.0,2409.0,300.0,100.0,0.19,0.19
2015-04-09,7.79,7.79,7.79,7.79,7.788,250.0,2.0,1947.0,250.0,100.0,0.0,0.0
2015-04-16,7.43,7.43,7.43,7.43,7.4,15.0,2.0,111.0,15.0,100.0,0.0,0.0
2015-04-21,7.1,7.1,7.1,7.1,7.1,10.0,2.0,71.0,10.0,100.0,0.0,0.0
2015-04-24,6.75,6.75,6.75,6.75,6.7,10.0,2.0,67.0,10.0,100.0,0.0,0.0
2015-04-28,6.43,6.43,6.43,6.43,6.4,10.0,2.0,64.0,10.0,100.0,0.0,0.0
2015-04-30,6.12,6.12,6.12,6.12,6.12,1000.0,6.0,6120.0,1000.0,100.0,0.0,0.0
2015-05-06,6.42,6.42,6.42,6.42,6.41935483871,1054.0,2.0,6766.0,1054.0,100.0,0.0,0.0
2015-05-08,6.74,6.74,6.74,6.74,6.74,5000.0,16.0,33700.0,5000.0,100.0,0.0,0.0
2015-05-11,7.07,7.07,7.07,7.07,7.06930693069,101.0,2.0,714.0,101.0,100.0,0.0,0.0
2015-05-12,7.42,7.42,7.42,7.42,7.41052631579,95.0,1.0,704.0,95.0,100.0,0.0,0.0
2015-05-14,7.15,7.79,7.15,7.79,7.57666666667,300.0,2.0,2273.0,300.0,100.0,0.64,0.64
2015-05-15,8.0,8.0,8.0,8.0,8.0,400.0,2.0,3200.0,400.0,100.0,0.0,0.0
2015-05-19,7.6,7.6,7.6,7.6,7.6,100.0,1.0,760.0,100.0,100.0,0.0,0.0
2015-05-20,7.22,7.98,7.22,7.98,7.87142857143,350.0,2.0,2755.0,350.0,100.0,0.76,0.76
2015-05-21,7.6,7.6,7.6,7.6,7.6,450.0,7.0,3420.0,450.0,100.0,0.0,0.0
2015-05-26,7.25,7.98,7.25,7.98,7.6,30.0,2.0,228.0,15.0,50.0,0.73,0.73
2015-05-27,7.6,7.6,7.6,7.6,7.6,500.0,1.0,3800.0,500.0,100.0,0.0,0.0
2015-05-28,7.22,7.22,7.22,7.22,7.2,15.0,1.0,108.0,15.0,100.0,0.0,0.0
2015-06-02,7.58,7.58,7.58,7.58,7.58,200.0,1.0,1516.0,200.0,100.0,0.0,0.0
2015-06-11,7.21,7.21,7.21,7.21,7.19047619048,21.0,2.0,151.0,21.0,100.0,0.0,0.0
2015-06-18,7.22,7.57,6.85,7.57,6.93316195373,389.0,6.0,2697.0,379.0,97.43,0.72,0.35
2015-06-19,7.9,7.9,7.89,7.9,7.89502762431,905.0,5.0,7145.0,900.0,99.45,0.01,0.0
2015-06-22,8.29,8.29,7.51,7.51,7.66,100.0,3.0,766.0,100.0,100.0,0.78,-0.78
2015-06-24,7.14,7.88,7.14,7.88,7.85287356322,435.0,14.0,3416.0,420.0,96.55,0.74,0.74
2015-06-25,8.27,8.27,8.27,8.27,8.26666666667,225.0,2.0,1860.0,225.0,100.0,0.0,0.0
2015-06-29,7.86,8.68,7.86,7.9,8.22857142857,455.0,15.0,3744.0,355.0,78.02,0.82,0.04
2015-06-30,8.29,8.29,8.29,8.29,8.28712871287,101.0,2.0,837.0,101.0,100.0,0.0,0.0
2015-07-01,8.69,8.69,7.88,7.89,7.95495495495,111.0,3.0,883.0,100.0,90.09,0.81,-0.8
2015-07-03,8.28,8.28,8.28,8.28,8.2,5.0,1.0,41.0,5.0,100.0,0.0,0.0
