Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,6.86,6.86,6.86,6.86,6.86,8000.0,4.0,54880.0,8000.0,100.0,0.0,0.0
2015-04-17,6.52,6.52,6.52,6.52,6.52,16000.0,7.0,104320.0,16000.0,100.0,0.0,0.0
2015-04-20,6.2,6.2,6.2,6.2,6.2,8000.0,3.0,49600.0,8000.0,100.0,0.0,0.0
2015-05-26,5.89,5.89,5.89,5.89,5.89,24000.0,6.0,141360.0,24000.0,100.0,0.0,0.0
2015-06-10,5.6,5.6,5.6,5.6,5.6,4000.0,1.0,22400.0,4000.0,100.0,0.0,0.0
2015-07-03,5.88,5.88,5.88,5.88,5.88,4000.0,1.0,23520.0,4000.0,100.0,0.0,0.0
2015-07-07,6.0,6.0,6.0,6.0,6.0,88000.0,7.0,528000.0,88000.0,100.0,0.0,0.0
2015-07-08,5.7,5.7,5.7,5.7,5.7,8000.0,2.0,45600.0,8000.0,100.0,0.0,0.0
2015-07-09,5.6,5.6,5.6,5.6,5.6,24000.0,5.0,134400.0,24000.0,100.0,0.0,0.0
2015-07-14,5.32,5.32,5.32,5.32,5.32,4000.0,1.0,21280.0,4000.0,100.0,0.0,0.0
2015-07-29,5.15,5.15,5.15,5.15,5.15,4000.0,1.0,20600.0,4000.0,100.0,0.0,0.0
2015-07-30,5.05,5.05,4.9,4.9,4.98,8000.0,2.0,39800.0,8000.0,100.0,0.15,-0.15
2015-07-31,4.8,4.8,4.8,4.8,4.8,4000.0,1.0,19200.0,4000.0,100.0,0.0,0.0
2015-08-05,4.7,4.7,4.7,4.7,4.7,8000.0,2.0,37600.0,8000.0,100.0,0.0,0.0
2015-08-06,4.8,4.8,4.8,4.8,4.8,4000.0,1.0,19200.0,4000.0,100.0,0.0,0.0
2015-08-07,4.9,4.9,4.9,4.9,4.9,4000.0,1.0,19600.0,4000.0,100.0,0.0,0.0
2015-08-10,5.0,5.0,5.0,5.0,5.0,4000.0,1.0,20000.0,4000.0,100.0,0.0,0.0
2015-08-11,5.1,5.1,5.1,5.1,5.1,12000.0,3.0,61200.0,12000.0,100.0,0.0,0.0
2015-08-13,5.0,5.1,5.0,5.0,5.03,12000.0,3.0,60400.0,12000.0,100.0,0.1,0.0
