Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,47.8,47.9,47.8,47.9,47.8090909091,11000.0,26.0,525900.0,11000.0,100.0,0.1,0.1
2015-04-06,47.5,49.0,47.5,48.0,48.030620155,64500.0,65.0,3097975.0,64500.0,100.0,1.5,0.5
2015-04-07,39.35,57.4,39.35,50.05,49.1666666667,30.0,11.0,1475.0,10.0,33.33,18.05,10.7
2015-04-08,48.1,48.6,48.1,48.6,48.3285714286,35000.0,64.0,1691500.0,35000.0,100.0,0.5,0.5
2015-04-09,48.15,48.7,48.15,48.7,48.42,40000.0,58.0,1936800.0,40000.0,100.0,0.55,0.55
2015-04-10,47.5,48.1,47.5,48.1,47.8,45000.0,30.0,2151000.0,45000.0,100.0,0.6,0.6
2015-04-13,44.5,48.0,44.5,48.0,47.9932183106,10027.0,16.0,481228.0,10019.0,99.92,3.5,3.5
2015-04-16,48.0,48.0,47.8,47.8,47.805,4000.0,24.0,191220.0,4000.0,100.0,0.2,-0.2
2015-04-17,47.5,48.35,47.5,48.35,48.0482820976,276500.0,231.0,13285350.0,276500.0,100.0,0.85,0.85
2015-04-20,40.15,44.0,38.7,38.7,39.6601281025,4996.0,106.0,198142.0,2845.0,56.95,5.3,-1.45
2015-04-21,40.0,40.0,38.55,39.4,39.5097957812,50583.0,22.0,1998524.0,50563.0,99.96,1.45,-0.6
2015-04-22,40.0,40.0,34.2,34.65,35.9446447741,36329.0,38.0,1305833.0,35725.0,98.34,5.8,-5.35
2015-04-23,39.95,40.5,35.25,38.45,40.4102268358,5202.0,40.0,210214.0,5101.0,98.06,5.25,-1.5
2015-04-27,35.3,40.0,35.3,40.0,39.8402820991,120525.0,121.0,4801750.0,120525.0,100.0,4.7,4.7
2015-04-28,41.0,41.0,41.0,41.0,41.0,10.0,2.0,410.0,10.0,100.0,0.0,0.0
2015-04-29,41.0,41.0,41.0,41.0,41.0,9500.0,4.0,389500.0,9500.0,100.0,0.0,0.0
2015-05-04,41.0,49.1,40.0,49.1,49.0161574148,87514.0,81.0,4289600.0,86705.0,99.08,9.1,8.1
2015-05-05,45.0,50.15,42.0,50.15,50.0802705049,234968.0,151.0,11767261.0,234384.0,99.75,8.15,5.15
2015-05-06,49.8,49.9,49.8,49.9,49.8540229885,87000.0,30.0,4337300.0,87000.0,100.0,0.1,0.1
2015-05-08,53.95,53.95,49.95,49.95,49.950709858,10002.0,6.0,499607.0,10001.0,99.99,4.0,-4.0
2015-05-11,50.0,50.0,50.0,50.0,50.0,500.0,1.0,25000.0,500.0,100.0,0.0,0.0
2015-05-14,41.25,49.5,41.25,49.5,49.2489357585,31008.0,16.0,1527111.0,31004.0,99.99,8.25,8.25
2015-05-15,50.0,50.0,49.95,50.0,49.988961039,38500.0,21.0,1924575.0,38500.0,100.0,0.05,0.0
2015-05-19,47.5,49.5,42.4,49.45,49.4872508574,20119.0,20.0,995634.0,20109.0,99.95,7.1,1.95
2015-05-20,49.0,49.0,49.0,49.0,49.0,18500.0,3.0,906500.0,18500.0,100.0,0.0,0.0
2015-05-25,41.5,41.5,41.5,41.5,41.5,30.0,3.0,1245.0,30.0,100.0,0.0,0.0
2015-05-28,47.0,48.05,47.0,48.05,47.9013513514,74000.0,23.0,3544700.0,74000.0,100.0,1.05,1.05
2015-05-29,39.5,53.95,39.5,49.9,49.8779603158,14061.0,10.0,701334.0,14030.0,99.78,14.45,10.4
2015-06-01,49.9,49.9,49.9,49.9,49.9,31000.0,10.0,1546900.0,31000.0,100.0,0.0,0.0
2015-06-02,50.0,50.0,50.0,50.0,50.0,25250.0,6.0,1262500.0,25250.0,100.0,0.0,0.0
2015-06-08,50.0,50.0,50.0,50.0,50.0,40000.0,1.0,2000000.0,40000.0,100.0,0.0,0.0
2015-06-11,49.5,49.5,47.0,49.5,48.5,50000.0,7.0,2425000.0,50000.0,100.0,2.5,0.0
2015-06-16,49.6,49.6,48.0,48.0,48.8563380282,35500.0,12.0,1734400.0,35500.0,100.0,1.6,-1.6
2015-06-17,48.0,48.0,48.0,48.0,48.0,3250.0,4.0,156000.0,3250.0,100.0,0.0,0.0
2015-06-18,55.0,55.0,55.0,55.0,55.0,1.0,1.0,55.0,1.0,100.0,0.0,0.0
2015-06-19,45.0,45.0,45.0,45.0,45.0,1.0,1.0,45.0,1.0,100.0,0.0,0.0
2015-06-23,50.0,50.0,50.0,50.0,50.0,20000.0,18.0,1000000.0,20000.0,100.0,0.0,0.0
2015-06-24,49.0,50.0,49.0,50.0,49.5,28500.0,36.0,1410750.0,28500.0,100.0,1.0,1.0
2015-06-29,50.0,50.0,50.0,50.0,50.0,12000.0,1.0,600000.0,12000.0,100.0,0.0,0.0
2015-07-07,50.0,50.0,50.0,50.0,50.0,12000.0,1.0,600000.0,12000.0,100.0,0.0,0.0
2015-07-13,49.5,49.5,49.5,49.5,49.5,41500.0,35.0,2054250.0,41500.0,100.0,0.0,0.0
2015-07-15,49.5,49.5,49.5,49.5,49.5,20500.0,12.0,1014750.0,20500.0,100.0,0.0,0.0
2015-07-17,40.0,48.9,40.0,48.9,48.8045454545,30800.0,8.0,1503180.0,30200.0,98.05,8.9,8.9
2015-07-20,49.0,49.0,49.0,49.0,49.0,12000.0,1.0,588000.0,12000.0,100.0,0.0,0.0
2015-07-22,41.2,41.2,41.2,41.2,41.2,10000.0,1.0,412000.0,10000.0,100.0,0.0,0.0
2015-07-29,42.0,42.0,42.0,42.0,42.0,1.0,1.0,42.0,1.0,100.0,0.0,0.0
2015-07-30,48.9,48.9,48.9,48.9,48.9,12000.0,2.0,586800.0,12000.0,100.0,0.0,0.0
2015-07-31,48.9,48.9,48.9,48.9,48.9,18800.0,1.0,919320.0,18800.0,100.0,0.0,0.0
2015-08-06,42.0,58.0,42.0,54.0,49.63,800.0,4.0,39700.0,,0.0,16.0,12.0
2015-08-11,54.0,54.0,54.0,54.0,54.0,1.0,1.0,54.0,1.0,100.0,0.0,0.0
2015-08-14,53.0,53.0,53.0,53.0,53.0,42000.0,10.0,2226000.0,42000.0,100.0,0.0,0.0
2015-08-17,51.4,52.25,51.4,52.25,51.87,59000.0,59.0,3060600.0,55000.0,93.22,0.85,0.85
2015-08-19,51.6,51.7,51.5,51.7,51.62,50000.0,52.0,2581000.0,50000.0,100.0,0.2,0.1
2015-08-20,50.95,50.95,50.5,50.7,50.65,35000.0,11.0,1772750.0,35000.0,100.0,0.45,-0.25
2015-08-21,50.05,50.05,50.05,50.05,50.05,4500.0,9.0,225225.0,4500.0,100.0,0.0,0.0
2015-08-25,49.95,49.95,49.95,49.95,49.95,3000.0,7.0,149850.0,3000.0,100.0,0.0,0.0
2015-09-22,47.5,47.5,47.5,47.5,47.0,1.0,1.0,47.0,1.0,100.0,0.0,0.0
2015-09-24,49.5,49.5,45.5,45.5,47.5,2000.0,2.0,95000.0,,0.0,4.0,-4.0
2015-09-28,44.0,44.0,44.0,44.0,44.0,10500.0,1.0,462000.0,10500.0,100.0,0.0,0.0
2015-09-30,41.8,41.8,41.8,41.8,41.8,501.0,2.0,20941.0,501.0,100.0,0.0,0.0
2015-10-01,39.75,39.75,39.75,39.75,39.75,12500.0,7.0,496875.0,12500.0,100.0,0.0,0.0
2015-10-05,37.8,37.8,37.8,37.8,37.0,1.0,1.0,37.0,1.0,100.0,0.0,0.0
2015-10-06,35.95,35.95,35.95,35.95,35.94,50.0,1.0,1797.0,50.0,100.0,0.0,0.0
2015-10-08,34.2,34.2,34.2,34.2,34.2,2769.0,8.0,94699.0,2769.0,100.0,0.0,0.0
2015-10-09,32.5,35.8,32.5,34.9,33.56,1296.0,12.0,43499.0,1295.0,99.92,3.3,2.4
2015-10-12,36.0,36.1,36.0,36.0,36.02,650.0,5.0,23410.0,650.0,100.0,0.1,0.0
2015-10-13,36.0,36.0,34.2,35.1,35.5,29000.0,13.0,1029390.0,28800.0,99.31,1.8,-0.9
2015-10-16,36.8,36.8,36.8,36.8,36.8,200.0,2.0,7360.0,200.0,100.0,0.0,0.0
2015-10-19,36.0,38.55,35.35,36.0,35.71,1141.0,6.0,40745.0,1141.0,100.0,3.2,0.0
2015-10-27,34.55,37.7,34.55,37.7,34.66,281.0,3.0,9740.0,281.0,100.0,3.15,3.15
