Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,5.7,5.72,5.66,5.68,5.69998200971,50027.0,32.0,285153.0,20.0,0.04,0.06,-0.02
2015-04-06,5.7,5.96,5.46,5.47,5.71219329241,50659.0,38.0,289374.0,605.0,1.19,0.5,-0.23
2015-04-07,5.22,5.74,5.2,5.74,5.49382287752,51885.0,52.0,285047.0,1780.0,3.43,0.54,0.52
2015-04-08,5.85,6.02,5.47,5.9,5.85786879482,150741.0,58.0,883021.0,100520.0,66.68,0.55,0.05
2015-04-09,5.63,6.15,5.61,6.07,5.90753016749,121737.0,172.0,719165.0,64734.0,53.18,0.54,0.44
2015-04-10,6.1,6.3,5.81,6.3,6.10220151343,55371.0,54.0,337885.0,5090.0,9.19,0.49,0.2
2015-04-13,6.6,6.6,6.04,6.36,6.32096661175,52803.0,60.0,333766.0,2472.0,4.68,0.56,-0.24
2015-04-15,6.6,6.67,6.6,6.67,6.61117647059,51000.0,28.0,337170.0,1000.0,1.96,0.07,0.07
2015-04-16,6.7,6.72,6.5,6.5,6.70293814841,50508.0,36.0,338552.0,504.0,1.0,0.22,-0.2
2015-04-17,6.5,6.52,6.18,6.18,6.50618488935,50203.0,49.0,326630.0,200.0,0.4,0.34,-0.32
2015-04-20,6.2,6.48,6.19,6.48,6.35540920716,78200.0,72.0,496993.0,28200.0,36.06,0.29,0.28
2015-04-21,6.25,6.8,6.16,6.8,6.47046901226,63154.0,64.0,408636.0,12650.0,20.03,0.64,0.55
2015-04-22,6.81,7.14,6.79,7.14,6.81867947935,50783.0,47.0,346273.0,781.0,1.54,0.35,0.33
2015-04-23,7.0,7.41,6.91,7.12,7.01604268099,53607.0,46.0,376109.0,2600.0,4.85,0.5,0.12
2015-04-24,7.13,7.47,7.05,7.47,7.12335526316,53504.0,44.0,381128.0,3500.0,6.54,0.42,0.34
2015-04-27,7.47,7.84,7.45,7.84,7.54637873754,60200.0,49.0,454292.0,10196.0,16.94,0.39,0.37
2015-04-28,8.2,8.23,7.5,8.23,8.20590566786,30276.0,49.0,248442.0,8309.0,27.44,0.73,0.03
2015-04-29,8.64,8.64,8.23,8.64,8.39948088721,55094.0,51.0,462761.0,5090.0,9.24,0.41,0.0
2015-04-30,9.07,9.07,8.21,8.52,8.66266576476,127138.0,231.0,1101354.0,52634.0,41.4,0.86,-0.55
2015-05-04,8.15,8.55,8.1,8.23,8.2330165448,528323.0,263.0,4349692.0,269195.0,50.95,0.45,0.08
2015-05-05,7.82,7.82,7.82,7.82,7.81951793063,1701.0,8.0,13301.0,1701.0,100.0,0.0,0.0
2015-05-06,7.43,7.43,7.43,7.43,7.4,25.0,2.0,185.0,25.0,100.0,0.0,0.0
2015-05-07,7.06,7.06,7.06,7.06,7.05806451613,310.0,4.0,2188.0,310.0,100.0,0.0,0.0
2015-05-08,6.71,6.71,6.71,6.71,6.70997229917,3610.0,12.0,24223.0,3610.0,100.0,0.0,0.0
2015-05-11,6.38,6.38,6.38,6.38,6.37987716763,5536.0,7.0,35319.0,5536.0,100.0,0.0,0.0
2015-05-12,6.07,6.67,6.07,6.08,6.07124166145,27133.0,17.0,164731.0,26668.0,98.29,0.6,0.01
2015-05-13,6.1,6.36,6.1,6.36,6.10948412698,50400.0,23.0,307918.0,398.0,0.79,0.26,0.26
2015-05-14,6.11,6.64,6.11,6.64,6.58421052632,1900.0,4.0,12510.0,1700.0,89.47,0.53,0.53
2015-05-15,6.93,6.93,6.6,6.88,6.83003952569,1518.0,5.0,10368.0,1518.0,100.0,0.33,-0.05
2015-05-18,7.2,7.22,6.6,6.78,6.71163575042,593.0,16.0,3980.0,592.0,99.83,0.62,-0.42
