Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,0.08,0.09,0.08,0.08,0.0800583657588,10280.0,8.0,823.0,10280.0,100.0,0.01,0.0
2015-04-06,0.08,0.09,0.08,0.09,0.0873521987512,15054.0,20.0,1315.0,15054.0,100.0,0.01,0.01
2015-04-07,0.08,0.1,0.08,0.1,0.0913688469319,2966.0,16.0,271.0,2966.0,100.0,0.02,0.02
2015-04-08,0.09,0.09,0.09,0.09,0.0898954703833,2870.0,4.0,258.0,2870.0,100.0,0.0,0.0
2015-04-09,0.08,0.09,0.08,0.09,0.0816871329418,1873.0,8.0,153.0,1873.0,100.0,0.01,0.01
2015-04-10,0.08,0.09,0.08,0.08,0.0860598834928,132524.0,36.0,11405.0,132524.0,100.0,0.01,0.0
2015-04-13,0.07,0.09,0.07,0.09,0.0894144384077,56322.0,38.0,5036.0,56322.0,100.0,0.02,0.02
2015-04-15,0.08,0.1,0.08,0.09,0.0833955483884,401832.0,59.0,33511.0,401832.0,100.0,0.02,0.01
2015-04-16,0.08,0.09,0.08,0.09,0.0899118511263,5105.0,6.0,459.0,5105.0,100.0,0.01,0.01
2015-04-17,0.08,0.09,0.08,0.08,0.0805882352941,17000.0,8.0,1370.0,17000.0,100.0,0.01,0.0
2015-04-20,0.08,0.09,0.08,0.09,0.0896780955798,105901.0,19.0,9497.0,105901.0,100.0,0.01,0.01
2015-04-21,0.08,0.1,0.08,0.09,0.0947960896613,10127.0,12.0,960.0,10127.0,100.0,0.02,0.01
2015-04-22,0.08,0.1,0.08,0.1,0.08013136289,6090.0,10.0,488.0,6090.0,100.0,0.02,0.02
2015-04-23,0.09,0.11,0.09,0.11,0.0905720542472,52058.0,9.0,4715.0,52058.0,100.0,0.02,0.02
2015-04-24,0.11,0.11,0.1,0.1,0.100893569902,116499.0,38.0,11754.0,116499.0,100.0,0.01,-0.01
2015-04-27,0.1,0.1,0.1,0.1,0.0998925886144,1862.0,10.0,186.0,1862.0,100.0,0.0,0.0
2015-04-28,0.1,0.1,0.09,0.09,0.0909818036393,10002.0,10.0,910.0,10002.0,100.0,0.01,-0.01
2015-04-29,0.09,0.1,0.08,0.1,0.0868589658381,376150.0,30.0,32672.0,376150.0,100.0,0.02,0.01
2015-04-30,0.09,0.1,0.09,0.1,0.0909090909091,55.0,4.0,5.0,55.0,100.0,0.01,0.01
2015-05-04,0.1,0.1,0.1,0.1,0.1,35100.0,6.0,3510.0,35100.0,100.0,0.0,0.0
2015-05-05,0.09,0.1,0.09,0.09,0.0900547128473,83527.0,19.0,7522.0,83527.0,100.0,0.01,0.0
2015-05-06,0.08,0.09,0.08,0.09,0.0874899312225,16139.0,14.0,1412.0,16139.0,100.0,0.01,0.01
2015-05-07,0.08,0.09,0.08,0.09,0.0800535923631,11942.0,10.0,956.0,11942.0,100.0,0.01,0.01
2015-05-08,0.08,0.09,0.08,0.09,0.0874814814815,67500.0,12.0,5905.0,67500.0,100.0,0.01,0.01
2015-05-11,0.08,0.1,0.08,0.09,0.087795765878,1606.0,6.0,141.0,1606.0,100.0,0.02,0.01
2015-05-12,0.08,0.1,0.08,0.1,0.0757575757576,66.0,2.0,5.0,66.0,100.0,0.02,0.02
2015-05-13,0.09,0.1,0.09,0.09,0.0901739130435,11500.0,6.0,1037.0,11500.0,100.0,0.01,0.0
2015-05-14,0.08,0.1,0.08,0.09,0.0905112851221,8684.0,9.0,786.0,8684.0,100.0,0.02,0.01
2015-05-15,0.08,0.1,0.08,0.1,0.0992309171313,52010.0,5.0,5161.0,52010.0,100.0,0.02,0.02
2015-05-18,0.1,0.1,0.09,0.09,0.0899997787902,2667151.0,47.0,240043.0,2667151.0,100.0,0.01,-0.01
2015-05-19,0.08,0.09,0.08,0.08,0.0883379247016,54450.0,7.0,4810.0,54450.0,100.0,0.01,0.0
2015-05-20,0.08,0.09,0.08,0.09,0.083573241572,58703.0,10.0,4906.0,58703.0,100.0,0.01,0.01
2015-05-21,0.08,0.09,0.08,0.09,0.08,2050.0,2.0,164.0,2050.0,100.0,0.01,0.01
2015-05-22,0.08,0.08,0.08,0.08,0.0795454545455,1320.0,8.0,105.0,1320.0,100.0,0.0,0.0
2015-05-25,0.08,0.08,0.07,0.08,0.072430616652,62515.0,15.0,4528.0,62515.0,100.0,0.01,0.0
2015-05-26,0.07,0.09,0.07,0.07,0.0784063454438,65811.0,10.0,5160.0,65811.0,100.0,0.02,0.0
2015-05-27,0.07,0.08,0.07,0.07,0.0699922931409,14273.0,4.0,999.0,14273.0,100.0,0.01,0.0
2015-05-28,0.07,0.08,0.07,0.08,0.0726360519453,226623.0,12.0,16461.0,226623.0,100.0,0.01,0.01
2015-05-29,0.08,0.09,0.08,0.09,0.0808771929825,28500.0,3.0,2305.0,28500.0,100.0,0.01,0.01
2015-06-01,0.08,0.09,0.08,0.09,0.0817811831641,192636.0,11.0,15754.0,192636.0,100.0,0.01,0.01
2015-06-02,0.09,0.09,0.08,0.08,0.0811139374994,97887.0,8.0,7940.0,97887.0,100.0,0.01,-0.01
2015-06-03,0.07,0.09,0.07,0.07,0.0753911047039,93645.0,9.0,7060.0,93645.0,100.0,0.02,0.0
2015-06-04,0.07,0.08,0.07,0.08,0.0762870574446,78493.0,10.0,5988.0,78493.0,100.0,0.01,0.01
2015-06-05,0.08,0.09,0.07,0.07,0.0795006570302,3044.0,7.0,242.0,3044.0,100.0,0.02,-0.01
2015-06-08,0.07,0.08,0.06,0.07,0.0707615414968,121648.0,10.0,8608.0,121648.0,100.0,0.02,0.0
2015-06-09,0.07,0.07,0.07,0.07,0.0699895537979,6701.0,2.0,469.0,6701.0,100.0,0.0,0.0
2015-06-10,0.08,0.08,0.08,0.08,0.0799928736861,134712.0,3.0,10776.0,134712.0,100.0,0.0,0.0
2015-06-11,0.08,0.09,0.07,0.09,0.0800003324344,240649.0,12.0,19252.0,240649.0,100.0,0.02,0.01
2015-06-12,0.09,0.09,0.09,0.09,0.09,1000.0,1.0,90.0,1000.0,100.0,0.0,0.0
2015-06-16,0.08,0.08,0.08,0.08,0.0799975708625,329335.0,17.0,26346.0,329335.0,100.0,0.0,0.0
2015-06-17,0.08,0.09,0.07,0.09,0.079637805461,106683.0,10.0,8496.0,106683.0,100.0,0.02,0.01
2015-06-18,0.08,0.08,0.08,0.08,0.0799880614834,6701.0,2.0,536.0,6701.0,100.0,0.0,0.0
2015-06-19,0.07,0.09,0.07,0.08,0.0701192424597,42770.0,6.0,2999.0,42770.0,100.0,0.02,0.01
2015-06-22,0.08,0.08,0.07,0.07,0.0799204771372,25150.0,3.0,2010.0,25150.0,100.0,0.01,-0.01
2015-06-23,0.07,0.08,0.07,0.08,0.0787946428571,40320.0,7.0,3177.0,40320.0,100.0,0.01,0.01
2015-06-24,0.07,0.09,0.07,0.09,0.0876470898633,56853.0,8.0,4983.0,56853.0,100.0,0.02,0.02
2015-06-25,0.08,0.09,0.08,0.08,0.0803571428571,2800.0,7.0,225.0,2800.0,100.0,0.01,0.0
2015-06-26,0.09,0.09,0.09,0.09,0.09,23600.0,3.0,2124.0,23600.0,100.0,0.0,0.0
2015-07-01,0.09,0.09,0.09,0.09,0.09,100.0,1.0,9.0,100.0,100.0,0.0,0.0
2015-07-02,0.08,0.1,0.08,0.1,0.0870391897128,110973.0,13.0,9659.0,110973.0,100.0,0.02,0.02
2015-07-03,0.09,0.1,0.09,0.1,0.0903191107924,27890.0,8.0,2519.0,27890.0,100.0,0.01,0.01
2015-07-06,0.09,0.09,0.09,0.09,0.09,111300.0,27.0,10017.0,111300.0,100.0,0.0,0.0
2015-07-07,0.08,0.09,0.08,0.09,0.0820973184346,95131.0,6.0,7810.0,95131.0,100.0,0.01,0.01
2015-07-08,0.09,0.09,0.08,0.09,0.0891500904159,11060.0,5.0,986.0,11060.0,100.0,0.01,0.0
2015-07-09,0.08,0.1,0.08,0.1,0.0862218789225,10357.0,7.0,893.0,10357.0,100.0,0.02,0.02
2015-07-13,0.09,0.1,0.09,0.1,0.0951650038373,7818.0,6.0,744.0,7818.0,100.0,0.01,0.01
2015-07-15,0.09,0.1,0.09,0.1,0.0925373134328,20100.0,6.0,1860.0,20100.0,100.0,0.01,0.01
2015-07-16,0.09,0.1,0.09,0.09,0.0960664819945,18050.0,5.0,1734.0,18050.0,100.0,0.01,0.0
2015-07-17,0.09,0.09,0.08,0.08,0.0848385066098,103255.0,8.0,8760.0,103255.0,100.0,0.01,-0.01
2015-07-20,0.08,0.09,0.08,0.08,0.0800825423029,121150.0,28.0,9702.0,121150.0,100.0,0.01,0.0
2015-07-21,0.07,0.09,0.07,0.08,0.084205749504,94756.0,8.0,7979.0,94756.0,100.0,0.02,0.01
2015-07-22,0.08,0.08,0.08,0.08,0.08,1400.0,1.0,112.0,1400.0,100.0,0.0,0.0
2015-07-23,0.09,0.09,0.08,0.08,0.0826549614259,37590.0,3.0,3107.0,37590.0,100.0,0.01,-0.01
2015-07-24,0.07,0.08,0.07,0.08,0.0797230259308,182833.0,16.0,14576.0,182833.0,100.0,0.01,0.01
2015-07-27,0.07,0.09,0.07,0.09,0.0751808900783,20178.0,12.0,1517.0,20178.0,100.0,0.02,0.02
2015-07-28,0.09,0.09,0.09,0.09,0.09,1000.0,1.0,90.0,1000.0,100.0,0.0,0.0
2015-07-29,0.09,0.1,0.08,0.09,0.0898577902797,25596.0,4.0,2300.0,25596.0,100.0,0.02,0.0
2015-07-30,0.08,0.08,0.08,0.08,0.0799869675002,12277.0,3.0,982.0,12277.0,100.0,0.0,0.0
2015-07-31,0.08,0.09,0.08,0.09,0.0885714285714,14000.0,4.0,1240.0,14000.0,100.0,0.01,0.01
2015-08-03,0.09,0.1,0.09,0.09,0.0900199600798,50100.0,6.0,4510.0,50100.0,100.0,0.01,0.0
2015-08-04,0.08,0.09,0.08,0.09,0.0851604637226,48391.0,7.0,4121.0,48391.0,100.0,0.01,0.01
2015-08-05,0.08,0.09,0.08,0.09,0.0835524550577,18635.0,6.0,1557.0,18635.0,100.0,0.01,0.01
2015-08-06,0.09,0.09,0.08,0.09,0.0899390243902,11152.0,4.0,1003.0,11152.0,100.0,0.01,0.0
2015-08-07,0.08,0.1,0.08,0.09,0.0835475578406,1556.0,8.0,130.0,1556.0,100.0,0.02,0.01
2015-08-10,0.08,0.1,0.08,0.1,0.0999916621503,95948.0,11.0,9594.0,95948.0,100.0,0.02,0.02
2015-08-11,0.09,0.11,0.09,0.11,0.100554144539,17324.0,8.0,1742.0,17324.0,100.0,0.02,0.02
2015-08-12,0.1,0.11,0.1,0.11,0.100196575058,52906.0,10.0,5301.0,52906.0,100.0,0.01,0.01
2015-08-13,0.11,0.11,0.1,0.1,0.100244072524,160608.0,19.0,16100.0,160608.0,100.0,0.01,-0.01
2015-08-14,0.11,0.11,0.09,0.09,0.105244530666,228867.0,15.0,24087.0,228867.0,100.0,0.02,-0.02
2015-08-17,0.09,0.1,0.09,0.1,0.0968478356309,22778.0,5.0,2206.0,22778.0,100.0,0.01,0.01
2015-08-18,0.11,0.11,0.1,0.1,0.107824731941,134765.0,22.0,14531.0,134765.0,100.0,0.01,-0.01
2015-08-19,0.1,0.1,0.09,0.1,0.0982182628062,112250.0,15.0,11025.0,112250.0,100.0,0.01,0.0
2015-08-20,0.1,0.11,0.1,0.1,0.1022213328,74955.0,17.0,7662.0,74955.0,100.0,0.01,0.0
2015-08-21,0.1,0.1,0.09,0.09,0.0900016917611,5911.0,8.0,532.0,5911.0,100.0,0.01,-0.01
2015-08-24,0.08,0.08,0.08,0.08,0.079954246497,17485.0,2.0,1398.0,17485.0,100.0,0.0,0.0
2015-08-25,0.07,0.09,0.07,0.07,0.0756872545519,5602.0,5.0,424.0,5602.0,100.0,0.02,0.0
2015-08-27,0.07,0.07,0.07,0.07,0.06999245484,45062.0,7.0,3154.0,45062.0,100.0,0.0,0.0
