Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-01,51.5,54.75,51.5,54.75,53.6481481481,378.0,4.0,20279.0,378.0,100.0,3.25,3.25
2015-04-06,54.7,54.7,54.1,54.1,54.2,600.0,4.0,32520.0,600.0,100.0,0.6,-0.6
2015-04-07,50.5,58.35,50.0,58.35,53.7163636364,275.0,8.0,14772.0,200.0,72.73,8.35,7.85
2015-04-08,57.0,57.6,55.0,55.45,55.9534883721,860.0,16.0,48120.0,785.0,91.28,2.6,-1.55
2015-04-09,50.0,59.0,50.0,54.1,53.6409707352,1401.0,38.0,75151.0,1110.0,79.23,9.0,4.1
2015-04-10,62.4,62.4,52.5,52.95,52.8922261484,2264.0,86.0,119748.0,2107.0,93.07,9.9,-9.45
2015-04-13,56.9,56.9,53.0,53.05,53.7336448598,428.0,12.0,22998.0,427.0,99.77,3.9,-3.85
2015-04-15,48.15,53.65,47.85,53.55,49.4924137931,3625.0,18.0,179410.0,2825.0,77.93,5.8,5.4
2015-04-16,52.15,56.35,51.1,55.35,51.9205298013,302.0,10.0,15680.0,301.0,99.67,5.25,3.2
2015-04-17,51.45,55.5,51.45,53.75,53.0404040404,198.0,6.0,10502.0,99.0,50.0,4.05,2.3
2015-04-20,50.1,52.0,50.1,52.0,51.05,40.0,4.0,2042.0,20.0,50.0,1.9,1.9
2015-04-21,54.0,54.0,54.0,54.0,54.0,622.0,4.0,33588.0,622.0,100.0,0.0,0.0
2015-04-22,54.5,55.5,54.0,55.35,54.4,1600.0,14.0,87040.0,1600.0,100.0,1.5,0.85
2015-04-23,51.55,51.55,51.55,51.55,51.55,80.0,2.0,4124.0,80.0,100.0,0.0,0.0
2015-04-28,50.0,50.5,47.5,50.5,48.5125827815,1510.0,20.0,73254.0,1001.0,66.29,3.0,0.5
2015-04-29,47.65,47.65,47.45,47.45,47.4831460674,356.0,6.0,16904.0,356.0,100.0,0.2,-0.2
2015-04-30,47.15,53.65,47.15,50.0,52.2891246684,754.0,22.0,39426.0,677.0,89.79,6.5,2.85
2015-05-05,50.0,53.15,50.0,53.0,52.5940660823,1483.0,32.0,77997.0,1421.0,95.82,3.15,3.0
2015-05-06,52.95,52.95,50.0,50.25,50.7723577236,246.0,29.0,12490.0,200.0,81.3,2.95,-2.7
2015-05-07,50.05,50.05,50.0,50.0,50.0003968254,2520.0,22.0,126001.0,2500.0,99.21,0.05,-0.05
2015-05-08,52.0,53.75,52.0,53.2,52.2507122507,702.0,10.0,36680.0,701.0,99.86,1.75,1.2
2015-05-11,54.5,54.5,53.35,53.35,53.9991341991,1155.0,9.0,62369.0,1100.0,95.24,1.15,-1.15
