CompanyName,Codes
20 Microns Ltd.,533022
3i Infotech Ltd.,532628
3m India Ltd.,523395
7seas Technologies Ltd-$,590116
8k Miles Software Services Ltd.,512161
A.f. Enterprises Ltd,538351
A.k. Spintex Ltd,539300
A.k.capital Services Ltd.,530499
A2z Infra Engineering Limited,533292
Aadhaar Ventures India Ltd.,531611
Aadi Industries Ltd.,530027
Aagam Capital Ltd.,531866
Aananda Lakshmi Spinning Mills Ltd,539096
Aanchal Ispat Ltd,538812
Aarey Drugs & Pharmaceuticals Ltd.,524412
Aarti Drugs Ltd.,524348
Aarti Industries Ltd.,524208
Aarvee Denims & Exports Ltd.,514274
Aarya Global Shares And Securities Ltd.,531731
Aashee Infotech Ltd.,519319
Aaswa Trading & Exports Ltd.,512038
Aban Offshore Ltd.,523204
Abans Enterprises Ltd,512165
Abb India Limited,500002
Abbott India Ltd.,500488
Abc Bearings Ltd.-$,505665
Abc Gas (international) Ltd.,513119
Abc India Ltd.-$,520123
Abg Shipyard Ltd.,532682
Abhinav Capital Services Ltd.,532057
Abhinav Leasing & Finance Ltd,538952
Abhishek Corporation Ltd.,532831
Abhishek Finlease Ltd,538935
Abirami Financial Services (india) Ltd.,511756
Abl Biotechnologies Ltd.,526955
Abm Knowledgeware Ltd.,531161
Acc Ltd.,500410
Accel Frontline Ltd.,532774
Accel Transmatic Ltd.,517494
Accelya Kale Solutions Limitd,532268
Accentia Technologies Ltd.-$,531897
Acclaim Industries Limited,526347
Accurate Transformers Ltd.,530513
Ace Edutrend Ltd,530093
Ace Software Exports Ltd.-$,531525
Ace Tours Worldwide Ltd,536492
Achal Investments Ltd,538570
Aci Infocom Ltd.,517356
Acil Cotton Industries Limited,530901
Acknit Industries Ltd.,530043
Acme Resources Ltd,539391
Acropetal Technologies Ltd.,533330
Acrow India Ltd.,513149
Acrysil Ltd.,524091
Action Construction Equipment Ltd.,532762
Action Financial Services (india) Ltd.,511706
Ad-manum Finance Ltd.,511359
Adani Enterprises Ltd.,512599
Adani Ports And Special Economic Zone Ltd.,532921
Adani Power Ltd.,533096
Adani Transmission Ltd,539254
Adarsh Mercantile Ltd,538563
Adarsh Plant Protect Ltd.,526711
Adc India Communications Limited-$,523411
Adcc Infocad Ltd,538734
Addi Industries Ltd.-$,507852
Adf Foods Ltd.-$,519183
Adhbhut Infrastructure Ltd,539189
Adhunik Industries Ltd,538365
Adhunik Metaliks Ltd.,532727
Adi Finechem Ltd.,530117
Adi Rasayan Ltd.,531592
Adinath Bio-labs Ltd.,590088
Adinath Exim Resources Ltd.,532056
Adinath Textiles Ltd.,514113
Aditya Birla Chemicals (india) Ltd.,500057
Aditya Birla Fashion And Retail Ltd,535755
Aditya Birla Money Ltd.-$,532974
Aditya Birla Nuvo Ltd.,500303
Aditya Forge Ltd.,522150
Aditya Ispat Ltd.,513513
Aditya Spinners Ltd.,521141
Adlabs Entertainment Ltd,539056
Ador Fontech Ltd.-$,530431
Ador Multiproducts Ltd.,523120
Ador Welding Ltd.,517041
Ads Diagnostic Ltd.,523031
Advance Lifestyles Ltd.,521048
Advance Metering Technology Ltd.,534612
Advance Petrochemicals Ltd.,506947
Advance Powerinfra Tech Limited,531047
Advanced Micronic Devices Ltd.-$,517552
Advani Hotels & Resorts (india) Ltd.,523269
Advanta Limited,532840
Advent Computer Services Ltd.,531429
Advik Laboratories Ltd.,531686
Aegis Logistics Ltd.,500003
Aftek Ltd.,530707
Agarwal Industrial Corporation Ltd.,531921
Agc Networks Limited,500463
Agi Infra Ltd,539042
Agio Paper & Industries Ltd.-$,516020
Agri- Tech (india) Ltd,537292
Agrimony Commodities Ltd,537492
Agro Dutch Industries Ltd.,519281
Agro Tech Foods Ltd.,500215
Ahlcon Parenterals (india) Ltd.,524448
Ahluwalia Contracts (india) Ltd.,532811
Ahmedabad Steelcraft Ltd.,522273
Ai Champdany Industries Ltd.,532806
Aia Engineering Ltd.,532683
Aikyam Intellectual Property Consultancy Limited,506822
Aimco Pesticides Ltd.,524288
Aishwarya Telecom Ltd.,532975
Ajanta Pharma Ltd.,532331
Ajanta Soya Ltd.,519216
Ajcon Global Services Ltd.,511692
Ajel Ltd.,530713
Ajmera Realty & Infra India Ltd.,513349
Ajwa Fun World & Resort Ltd.,526628
Akar Tools Ltd.,530621
Akashdeep Metal Industries Ltd,538778
Akme Star Housing Finance Ltd,539017
Aksh Optifibre Ltd.,532351
Aksharchem (india) Ltd.-$,524598
Akzo Nobel India Limited,500710
Alacrity Securities Ltd,535916
Alan Scott Industries Ltd,539115
Alang Industrial Gases Ltd.,531517
Alankit Ltd,531082
Albert David Ltd.-$,524075
Alchemist Corporation Ltd.,531409
Alchemist Ltd.,526707
Alchemist Realty Ltd.,532114
Alembic Ltd.,506235
Alembic Pharmaceuticals Ltd.,533573
Alfa Ica (india) Ltd.,530973
Alfa Transformers Ltd.,517546
Alfavision Overseas (india) Ltd.,531156
Alfred Herbert (india) Ltd.,505216
Alicon Castalloy Limited,531147
Alka Diamond Industries Ltd.,531581
Alka India Ltd.,530889
Alka Securities Ltd.,532166
Alkali Metals Ltd.,533029
Alkyl Amines Chemicals Ltd.-$,506767
Allahabad Bank,532480
Allcargo Logistics Ltd.,532749
